Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Kokkinakis T.|AUS|Right-Handed|1.7|Popyrin A.|AUS|Right-Handed|2.13|0.0|3.0|16.0|6.0|-3.0
hard|Laaksonen H.|CHE|Right-Handed|1.35|Bonadio R.|ITA|Right-Handed|3.14|0.0|3.0|111.0|-3.0|5.0
hard|Moraing M.|DEU|Left-Handed|1.53|Mukund S.|IND|Right-Handed|2.41|0.0|4.0|95.0|6.0|13.0
hard|Couacaud E.|FRA|Right-Handed|1.87|Grenier H.|FRA|Right-Handed|1.88|0.0|1.0|-208.0|-7.0|-13.0
hard|Gunneswaran P.|IND|Left-Handed|1.71|Kolar Z.|CZE|Right-Handed|2.07|0.0|7.0|-225.0|4.0|3.0
hard|Elias G.|PRT|Right-Handed|2.05|Uchida K.|JPN|Right-Handed|1.75|0.0|2.0|110.0|2.0|3.0
hard|Bolt A.|AUS|Left-Handed|1.63|Olivo R.|ARG|Right-Handed|2.23|0.0|-2.0|104.0|11.0|3.0
indoors|Ilkel C.|TUR|Right-Handed|1.33|Molleker R.|DEU|Right-Handed|3.1|0.0|5.0|-116.0|7.0|-2.0
hard|Etcheverry T.|ARG|Right-Handed|1.45|Haase R.|NLD|Right-Handed|2.66|0.0|-10.0|385.0|5.0|5.0
hard|Millman J.|AUS|Right-Handed|2.23|O'Connell C.|AUS|Right-Handed|1.62|0.0|5.0|45.0|1.0|0.0
hard|Sweeny D.|AUS|Right-Handed|1.84|Kopriva V.|CZE|Right-Handed|1.92|0.0|-1.0|-319.0|-6.0|-8.0
hard|Lestienne C.|FRA|Right-Handed|1.65|Cachin P.|ARG|Right-Handed|2.22|0.0|2.0|-49.0|0.0|-5.0
hard|Purcell M.|AUS|Right-Handed|1.56|Cecchinato M.|ITA|Right-Handed|2.36|0.0|-4.0|-344.0|-3.0|0.0
hard|Ymer M.|SWE|Right-Handed|1.64|Thompson J.|AUS|Right-Handed|2.2|0.0|-4.0|113.0|-7.0|0.0
indoors|Berankis R.|LTU|Right-Handed|1.46|Valkusz M.|HUN|Right-Handed|2.58|0.0|10.0|355.0|2.0|-8.0
hard|Tabilo A.|CHL|Left-Handed|1.43|Milojevic N.|SRB|Right-Handed|2.76|0.0|-2.0|216.0|-1.0|0.0
hard|Kicker N.|ARG|Right-Handed|1.99|Delbonis F.|ARG|Left-Handed|1.79|0.0|-4.0|-111.0|-15.0|-15.0
hard|Kotov P.|RUS|Right-Handed|1.25|Olivieri G.|ARG|Right-Handed|3.94|0.0|-1.0|256.0|13.0|16.0
hard|Goffin D.|BEL|Right-Handed|2.14|Bublik A.|KAZ|Right-Handed|1.7|0.0|5.0|-260.0|-7.0|-18.0
hard|Gaston H.|FRA|Left-Handed|1.32|Gerasimov E.|BLR|Right-Handed|3.32|0.0|-7.0|255.0|-18.0|-23.0
