Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
grass|Halys Q.|FRA|Right-Handed|1.54|Tabilo A.|CHL|Left-Handed|2.4|0.0|2.0|-41.0|3.0|3.0
hard|Wu Y.|CHN|Right-Handed|1.6|Gomez E.|ECU|Right-Handed|2.26|0.0|-9.0|-346.0|-1.0|-2.0
clay|Cachin P.|ARG|Right-Handed|2.09|Gasquet R.|FRA|Right-Handed|1.71|0.0|-9.0|-441.0|-2.0|2.0
grass|O'Connell C.|AUS|Right-Handed|1.16|Sugita Y.|JPN|Right-Handed|4.95|0.0|-8.0|-131.0|6.0|8.0
clay|Shevchenko A.|KAZ|Right-Handed|2.01|Gombos N.|SVK|Right-Handed|1.75|0.0|-9.0|-204.0|-15.0|-8.0
grass|Thompson J.|AUS|Right-Handed|1.7|Popyrin A.|AUS|Right-Handed|2.09|0.0|3.0|132.0|4.0|-13.0
grass|Griekspoor T.|NLD|Right-Handed|1.13|Moraing M.|DEU|Left-Handed|5.74|0.0|-4.0|743.0|1.0|-10.0
clay|Moutet C.|FRA|Left-Handed|1.61|Guinard M.|FRA|Right-Handed|2.25|0.0|-1.0|22.0|-13.0|-21.0
grass|Berrettini M.|ITA|Right-Handed|1.39|Otte O.|DEU|Right-Handed|3.04|0.0|-2.0|2860.0|16.0|3.0
grass|Gojowczyk P.|DEU|Right-Handed|1.44|Kuhn N.|DEU|Right-Handed|2.72|0.0|10.0|411.0|8.0|3.0
grass|Medvedev D.|RUS|Right-Handed|1.23|Mannarino A.|FRA|Left-Handed|4.24|0.0|-7.0|7302.0|4.0|18.0
clay|Etcheverry T.|ARG|Right-Handed|1.51|Marterer M.|DEU|Left-Handed|2.46|0.0|-3.0|431.0|-2.0|5.0
