Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Bonzi B.|FRA|Right-Handed|3.19|Carreno-Busta P.|ESP|Right-Handed|1.36|0.0|-7.0|32.0|-2.0|-3.0
hard|Giustino L.|ITA|Right-Handed|2.45|Coppejans K.|BEL|Right-Handed|1.51|0.0|5.0|75.0|15.0|0.0
hard|De Minaur A.|AUS|Right-Handed|1.17|Mannarino A.|FRA|Left-Handed|5.19|0.0|-11.0|739.0|-10.0|3.0
hard|Djokovic N.|SRB|Right-Handed|1.01|Couacaud E.|FRA|Right-Handed|24.18|0.0|9.0|4768.0|2.0|4.0
clay|Ugo Carabelli C.|ARG|Right-Handed|2.34|De Jong J.|NLD|Right-Handed|1.55|0.0|2.0|175.0|13.0|5.0
hard|Tomic B.|AUS|Right-Handed|1.26|Berrettini J.|ITA|Right-Handed|3.38|0.0|4.0|234.0|6.0|5.0
hard|Dimitrov G.|BGR|Right-Handed|1.26|Djere L.|SRB|Right-Handed|3.97|0.0|4.0|637.0|-1.0|3.0
clay|Tabilo A.|CHL|Left-Handed|1.18|Roca Batalla O.|ESP|Right-Handed|4.45|0.0|-5.0|587.0|0.0|15.0
hard|Rublev A.|RUS|Right-Handed|1.22|Ruusuvuori E.|FIN|Right-Handed|4.38|0.0|1.0|2989.0|-9.0|0.0
