Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Machac T.|CZE|Right-Handed|1.33|Kolar Z.|CZE|Right-Handed|3.18|0.0|-3.0|-83.0|-3.0|-2.0
grass|Mannarino A.|FRA|Left-Handed|4.68|Medvedev D.|RUS|Right-Handed|1.19|0.0|7.0|-5253.0|-4.0|-18.0
clay|Coria F.|ARG|Right-Handed|1.14|Safwat M.|EGY|Right-Handed|5.37|0.0|0.0|249.0|-10.0|0.0
hard|Lamasine T.|FRA|Right-Handed|2.11|Hoang A.|FRA|Right-Handed|1.65|0.0|1.0|-262.0|-7.0|0.0
hard|Tomic B.|AUS|Right-Handed|1.99|Sweeny D.|AUS|Right-Handed|1.75|0.0|8.0|231.0|28.0|26.0
clay|Munar J.|ESP|Right-Handed|1.21|Pellegrino A.|ITA|Right-Handed|4.15|0.0|0.0|568.0|-5.0|-2.0
clay|Bourgue M.|FRA|Right-Handed|1.57|Janvier M.|FRA|Right-Handed|2.34|0.0|2.0|89.0|3.0|-5.0
grass|Griekspoor T.|NLD|Right-Handed|1.76|Popyrin A.|AUS|Right-Handed|2.07|0.0|1.0|362.0|7.0|-8.0
clay|Paire B.|FRA|Right-Handed|1.89|Pouille L.|FRA|Right-Handed|1.86|0.0|2.0|358.0|-4.0|11.0
clay|Molcan A.|SVK|Left-Handed|1.21|Coppejans K.|BEL|Right-Handed|4.24|0.0|-3.0|337.0|5.0|-2.0
grass|Gasquet R.|FRA|Right-Handed|3.65|Tsitsipas S.|GRC|Right-Handed|1.29|0.0|11.0|-4080.0|-10.0|-10.0
clay|Cachin P.|ARG|Right-Handed|1.36|Collarini A.|ARG|Left-Handed|3.58|0.0|-4.0|464.0|-3.0|0.0
grass|Fucsovics M.|HUN|Right-Handed|1.53|Wu Y.|CHN|Right-Handed|2.51|0.0|7.0|-119.0|2.0|5.0
clay|Sachko V.|UKR|Right-Handed|1.37|Marchenko I.|UKR|Right-Handed|2.94|0.0|-10.0|-243.0|-14.0|-2.0
grass|De Minaur A.|AUS|Right-Handed|1.24|Djere L.|SRB|Right-Handed|4.1|0.0|-4.0|1095.0|-13.0|-5.0
