Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Otte O.|DEU|Right-Handed|1.31|Dellien H.|BOL|Right-Handed|3.3|0.0|-3.0|-89.0|4.0|13.0
clay|Gaston H.|FRA|Left-Handed|1.85|Sachko V.|UKR|Right-Handed|1.89|0.0|-2.0|394.0|0.0|-10.0
clay|Masur D.|DEU|Right-Handed|1.31|Baez S.|ARG|Right-Handed|3.3|0.0|5.0|-639.0|8.0|13.0
clay|Safranek V.|CZE|Right-Handed|1.31|Lopez San Martin A.|ESP|Right-Handed|3.3|0.0|4.0|66.0|10.0|7.0
clay|Garin C.|CHL|Right-Handed|1.25|Bonadio R.|ITA|Right-Handed|3.72|0.0|-1.0|398.0|4.0|5.0
hard|Nishikori K.|JPN|Right-Handed|1.12|Mansouri S.|TUN|Right-Handed|5.82|0.0|5.0|1025.0|-13.0|-15.0
clay|Kotov P.|RUS|Right-Handed|2.45|Seyboth Wild T.|BRA|Right-Handed|1.52|0.0|-1.0|191.0|8.0|6.0
clay|Delbonis F.|ARG|Left-Handed|1.31|Sousa J.|PRT|Right-Handed|3.3|0.0|-1.0|36.0|16.0|8.0
clay|Carballes Baena R.|ESP|Right-Handed|1.31|Hanfmann Y.|DEU|Right-Handed|3.3|0.0|-2.0|-112.0|-9.0|-10.0
clay|Etcheverry T.|ARG|Right-Handed|1.31|Molcan A.|SVK|Left-Handed|3.3|0.0|0.0|480.0|9.0|18.0
clay|Cecchinato M.|ITA|Right-Handed|1.31|Cachin P.|ARG|Right-Handed|3.3|0.0|2.0|-99.0|1.0|0.0
clay|Wessels L.|DEU|Right-Handed|1.31|Munar J.|ESP|Right-Handed|3.3|0.0|-2.0|-431.0|14.0|15.0
grass|Djokovic N.|SRB|Right-Handed|1.22|Sinner J.|ITA|Right-Handed|4.4|0.0|12.0|4250.0|4.0|-1.0
grass|Alcaraz C.|ESP|Right-Handed|1.4|Medvedev D.|RUS|Right-Handed|3.03|0.0|-7.0|1785.0|-11.0|-13.0
clay|Luz O.|BRA|Right-Handed|1.31|Torebko P.|DEU|Right-Handed|3.3|0.0|-9.0|18.0|-6.0|-5.0
clay|Novak D.|AUT|Right-Handed|1.31|Kohlschreiber P.|DEU|Right-Handed|3.3|0.0|-13.0|-124.0|10.0|5.0
clay|Marterer M.|DEU|Left-Handed|1.31|Rinderknech A.|FRA|Right-Handed|3.3|0.0|0.0|-380.0|-2.0|-5.0
clay|Tabilo A.|CHL|Left-Handed|1.31|Coppejans K.|BEL|Right-Handed|3.3|0.0|-2.0|5.0|7.0|8.0
