Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Mena F.|ARG|Right-Handed|1.54|Sakamoto P.|BRA|Right-Handed|2.36|0.0|0.0|323.0|0.0|5.0
clay|Oliel Y.|ISR|Left-Handed|1.96|Safwat M.|EGY|Right-Handed|1.74|0.0|-8.0|-291.0|-5.0|8.0
clay|Halys Q.|FRA|Right-Handed|1.31|Bourgue M.|FRA|Right-Handed|3.28|0.0|-1.0|382.0|-5.0|3.0
clay|Silva F.|PRT|Left-Handed|1.4|Domingues J.|PRT|Right-Handed|2.7|0.0|-2.0|-85.0|4.0|0.0
grass|De Minaur A.|AUS|Right-Handed|1.14|Bergs Z.|BEL|Right-Handed|5.66|0.0|-1.0|1750.0|-14.0|-2.0
clay|Kovalik J.|SVK|Right-Handed|1.61|Klizan M.|SVK|Left-Handed|2.23|0.0|-2.0|-77.0|-3.0|-8.0
grass|Vukic A.|AUS|Right-Handed|3.15|Khachanov K.|RUS|Right-Handed|1.35|0.0|-1.0|-2090.0|-3.0|-10.0
grass|Kukushkin M.|KAZ|Right-Handed|1.85|Mayot H.|FRA|Right-Handed|1.89|0.0|12.0|-86.0|1.0|5.0
clay|Altmaier D.|DEU|Right-Handed|1.29|Travaglia S.|ITA|Right-Handed|3.38|0.0|-6.0|729.0|8.0|6.0
grass|Berrettini M.|ITA|Right-Handed|1.6|Shapovalov D.|CAN|Left-Handed|2.31|0.0|1.0|-223.0|20.0|11.0
clay|Peliwo F.|POL|Right-Handed|3.84|Escobedo E.|MEX|Right-Handed|1.21|0.0|0.0|-60.0|-10.0|-5.0
