Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Nadal R.|ESP|Left-Handed|2.29|De Minaur A.|AUS|Right-Handed|1.63|0.0|14.0|3685.0|16.0|2.0
clay|Ruud C.|NOR|Right-Handed|1.16|Kecmanovic M.|SRB|Right-Handed|5.28|0.0|0.0|3965.0|2.0|0.0
clay|Kotov P.|RUS|Right-Handed|1.68|Thompson J.|AUS|Right-Handed|2.18|0.0|-5.0|-160.0|4.0|8.0
clay|Bublik A.|KAZ|Right-Handed|2.91|Carballes Baena R.|ESP|Right-Handed|1.41|0.0|-2.0|539.0|0.0|15.0
clay|Ritschard A.|CHE|Right-Handed|1.69|Popko D.|KAZ|Right-Handed|2.09|0.0|2.0|-6.0|-5.0|2.0
clay|Monteiro T.|BRA|Left-Handed|5.83|Tsitsipas S.|GRC|Right-Handed|1.14|0.0|5.0|-4551.0|-11.0|-10.0
clay|Sinner J.|ITA|Right-Handed|1.04|Sonego L.|ITA|Right-Handed|12.38|0.0|-2.0|2710.0|0.0|-3.0
