Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Gabashvili T.|RUS|Right-Handed|1.41|Benchetrit E.|MAR|Right-Handed|2.68|0.0|12.0|122.0|-5.0|-5.0
hard|Millman J.|AUS|Right-Handed|2.83|Tabilo A.|CHL|Left-Handed|1.41|0.0|7.0|-112.0|4.0|-5.0
hard|Machac T.|CZE|Right-Handed|1.43|Lokoli L.|FRA|Right-Handed|2.76|0.0|-6.0|283.0|-5.0|-5.0
hard|Coric B.|HRV|Right-Handed|1.27|Hijikata R.|AUS|Right-Handed|3.77|0.0|5.0|1746.0|17.0|10.0
hard|Purcell M.|AUS|Right-Handed|2.48|Griekspoor T.|NLD|Right-Handed|1.54|0.0|-1.0|-686.0|-10.0|-3.0
hard|Baez S.|ARG|Right-Handed|2.27|Vukic A.|AUS|Right-Handed|1.63|0.0|-4.0|-40.0|-14.0|-18.0
clay|Roca Batalla O.|ESP|Right-Handed|1.56|Diez S.|CAN|Right-Handed|2.36|0.0|-1.0|-3.0|-1.0|-2.0
clay|Olivo R.|ARG|Right-Handed|1.43|Villanueva G.|ARG|Right-Handed|2.7|0.0|4.0|173.0|3.0|5.0
hard|Pospisil V.|CAN|Right-Handed|1.8|Martinez P.|ESP|Right-Handed|1.97|0.0|7.0|-87.0|12.0|8.0
hard|Kolar Z.|CZE|Right-Handed|3.69|Brouwer G.|NLD|Left-Handed|1.26|0.0|0.0|66.0|4.0|-6.0
hard|Seyboth Wild T.|BRA|Right-Handed|1.85|Kuzmanov D.|BGR|Right-Handed|1.92|0.0|-5.0|260.0|1.0|-8.0
hard|Novak D.|AUT|Right-Handed|2.88|Goffin D.|BEL|Right-Handed|1.4|0.0|-5.0|-142.0|10.0|3.0
clay|Sousa J.|PRT|Right-Handed|1.47|Forejtek J.|CZE|Right-Handed|2.57|0.0|13.0|295.0|3.0|5.0
hard|Travaglia S.|ITA|Right-Handed|1.97|Gombos N.|SVK|Right-Handed|1.8|0.0|1.0|-292.0|-5.0|-8.0
