Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Bourgue M.|FRA|Right-Handed|1.6|Geerts M.|BEL|Right-Handed|2.24|0.0|3.0|170.0|10.0|10.0
hard|Gojo B.|HRV|Right-Handed|1.07|Pacheco Mendez R.|MEX|Left-Handed|8.5|0.0|8.0|299.0|17.0|8.0
indoors|Kolar Z.|CZE|Right-Handed|1.36|Gakhov I.|RUS|Left-Handed|3.0|0.0|-2.0|350.0|-4.0|-6.0
indoors|Gasquet R.|FRA|Right-Handed|1.27|Lokoli L.|FRA|Right-Handed|3.73|0.0|8.0|596.0|1.0|-5.0
clay|Galan D.|COL|Right-Handed|2.35|Cachin P.|ARG|Right-Handed|1.59|0.0|0.0|-418.0|-5.0|6.0
hard|Van De Zandschulp B.|NLD|Right-Handed|1.6|Ivashka I.|BLR|Right-Handed|2.32|0.0|-1.0|509.0|-1.0|-5.0
indoors|Ritschard A.|CHE|Right-Handed|1.24|Andujar P.|ESP|Right-Handed|4.02|0.0|-7.0|50.0|2.0|13.0
hard|Mayot H.|FRA|Right-Handed|2.02|Sweeny D.|AUS|Right-Handed|1.74|0.0|-1.0|66.0|8.0|8.0
indoors|Copil M.|ROU|Right-Handed|2.1|Zuk K.|POL|Right-Handed|1.69|0.0|10.0|-248.0|9.0|10.0
clay|Cerundolo F.|ARG|Right-Handed|1.46|Carballes Baena R.|ESP|Right-Handed|2.72|0.0|-7.0|535.0|1.0|2.0
indoors|Goffin D.|BEL|Right-Handed|1.42|Klein L.|SVK|Right-Handed|2.83|0.0|8.0|560.0|-15.0|-13.0
hard|Duckworth J.|AUS|Right-Handed|1.2|Noguchi R.|JPN|Right-Handed|4.36|0.0|10.0|320.0|19.0|15.0
clay|Jarry N.|CHL|Right-Handed|2.51|Musetti L.|ITA|Right-Handed|1.52|0.0|5.0|-1439.0|15.0|13.0
hard|Purcell M.|AUS|Right-Handed|1.82|Ofner S.|AUT|Right-Handed|1.92|0.0|-1.0|50.0|-6.0|-6.0
indoors|De Loore J.|BEL|Right-Handed|1.59|Travaglia S.|ITA|Right-Handed|2.27|0.0|-3.0|-479.0|6.0|6.0
hard|Mejia N.|COL|Right-Handed|1.58|Mansouri S.|TUN|Right-Handed|2.27|0.0|-4.0|-7.0|-9.0|-8.0
hard|Muller A.|FRA|Right-Handed|2.13|Basilashvili N.|GEO|Right-Handed|1.71|0.0|-5.0|-130.0|-4.0|-2.0
hard|Kuzmanov D.|BGR|Right-Handed|1.61|Milojevic N.|SRB|Right-Handed|2.21|0.0|2.0|-186.0|1.0|5.0
indoors|Brouwer G.|NLD|Left-Handed|1.53|Ymer E.|SWE|Right-Handed|2.47|0.0|-1.0|113.0|-7.0|8.0
hard|Griekspoor T.|NLD|Right-Handed|1.65|Halys Q.|FRA|Right-Handed|2.24|0.0|-1.0|184.0|7.0|-3.0
