Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Koepfer D.|DEU|Left-Handed|1.52|Vavassori A.|ITA|Right-Handed|2.45|0.0|1.0|236.0|1.0|-13.0
hard|Mayot H.|FRA|Right-Handed|2.42|Lestienne C.|FRA|Right-Handed|1.53|0.0|-8.0|-253.0|-6.0|-2.0
indoors|Gerasimov E.|BLR|Right-Handed|2.16|Bourgue M.|FRA|Right-Handed|1.66|0.0|2.0|53.0|3.0|8.0
hard|Safiullin R.|RUS|Right-Handed|1.53|Popyrin A.|AUS|Right-Handed|2.49|0.0|0.0|8.0|-3.0|-11.0
hard|De Minaur A.|AUS|Right-Handed|6.6|Djokovic N.|SRB|Right-Handed|1.11|0.0|-12.0|-5510.0|-11.0|-4.0
hard|Ruusuvuori E.|FIN|Right-Handed|2.26|Khachanov K.|RUS|Right-Handed|1.64|0.0|-3.0|-2044.0|-8.0|-10.0
hard|Duckworth J.|AUS|Right-Handed|1.91|Hanfmann Y.|DEU|Right-Handed|1.88|0.0|1.0|-419.0|-4.0|-10.0
hard|Mannarino A.|FRA|Left-Handed|1.7|Sonego L.|ITA|Right-Handed|2.14|0.0|9.0|231.0|3.0|-11.0
hard|Kotov P.|RUS|Right-Handed|2.13|Musetti L.|ITA|Right-Handed|1.7|0.0|2.0|-1283.0|11.0|6.0
hard|Tsitsipas S.|GRC|Right-Handed|1.02|Diez S.|CAN|Right-Handed|17.9|0.0|-6.0|4924.0|13.0|18.0
hard|Rune H.|DNK|Right-Handed|1.3|Shevchenko A.|KAZ|Right-Handed|3.56|0.0|-1.0|4193.0|-2.0|0.0
hard|Hurkacz H.|POL|Right-Handed|1.53|Zhang Z.|CHN|Right-Handed|2.48|0.0|-2.0|1924.0|-6.0|3.0
