Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Gaston H.|FRA|Left-Handed|1.71|Gombos N.|SVK|Right-Handed|2.07|0.0|-7.0|188.0|-17.0|-20.0
hard|Piros Z.|HUN|Right-Handed|1.86|Hijikata R.|AUS|Right-Handed|1.88|0.0|1.0|-190.0|0.0|2.0
indoors|Rublev A.|RUS|Right-Handed|1.25|Mannarino A.|FRA|Left-Handed|3.95|0.0|-9.0|2389.0|-9.0|8.0
clay|Mager G.|ITA|Right-Handed|2.8|Lajovic D.|SRB|Right-Handed|1.41|0.0|-5.0|331.0|-6.0|5.0
hard|Shapovalov D.|CAN|Left-Handed|2.23|Coric B.|HRV|Right-Handed|1.65|0.0|-2.0|340.0|-10.0|-3.0
hard|Klein L.|SVK|Right-Handed|1.45|Caruso S.|ITA|Right-Handed|2.67|0.0|-6.0|-241.0|5.0|8.0
clay|Kovalik J.|SVK|Right-Handed|1.68|Vavassori A.|ITA|Right-Handed|2.11|0.0|4.0|78.0|4.0|-10.0
indoors|Tsitsipas S.|GRC|Right-Handed|1.73|Hurkacz H.|POL|Right-Handed|2.1|0.0|1.0|1635.0|8.0|-3.0
clay|Kopriva V.|CZE|Right-Handed|2.86|Carballes Baena R.|ESP|Right-Handed|1.39|0.0|-6.0|-313.0|-8.0|-5.0
clay|Skatov T.|KAZ|Right-Handed|1.68|Valkusz M.|HUN|Right-Handed|2.12|0.0|-1.0|149.0|-2.0|-10.0
indoors|Djokovic N.|SRB|Right-Handed|1.13|Khachanov K.|RUS|Right-Handed|6.03|0.0|8.0|1830.0|-7.0|-11.0
