Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Schwartzman D.|ARG|Right-Handed|1.51|Khachanov K.|RUS|Right-Handed|2.55|0.0|3.0|992.0|-23.0|-28.0
clay|Kotov P.|RUS|Right-Handed|1.65|Moroni G.|ITA|Right-Handed|2.16|0.0|-3.0|180.0|5.0|6.0
clay|Bublik A.|KAZ|Right-Handed|1.45|Wawrinka S.|CHE|Right-Handed|2.79|0.0|-10.0|1006.0|-2.0|16.0
clay|Moraing M.|DEU|Left-Handed|1.46|Bourgue M.|FRA|Right-Handed|2.6|0.0|2.0|-118.0|1.0|10.0
clay|Hurkacz H.|POL|Right-Handed|1.41|Dellien H.|BOL|Right-Handed|2.95|0.0|-7.0|2150.0|6.0|16.0
clay|De Minaur A.|AUS|Right-Handed|1.33|Zapata Miralles B.|ESP|Right-Handed|3.36|0.0|-3.0|1031.0|-13.0|0.0
clay|Carreno-Busta P.|ESP|Right-Handed|1.45|Baez S.|ARG|Right-Handed|2.78|0.0|10.0|-14.0|8.0|18.0
clay|Ramos-Vinolas A.|ESP|Left-Handed|1.55|Griekspoor T.|NLD|Right-Handed|2.44|0.0|8.0|264.0|-9.0|0.0
clay|Verdasco F.|ESP|Left-Handed|1.52|Kuzmanov D.|BGR|Right-Handed|2.43|0.0|8.0|250.0|13.0|-5.0
clay|Delbonis F.|ARG|Left-Handed|3.49|Munar J.|ESP|Right-Handed|1.31|0.0|7.0|616.0|14.0|10.0
clay|Zekic M.|SRB|Right-Handed|1.62|Lazarov A.|BGR|Right-Handed|2.22|0.0|12.0|70.0|-5.0|-6.0
clay|Bellier A.|CHE|Left-Handed|2.63|Santillan A.|AUS|Right-Handed|1.44|0.0|-1.0|-311.0|2.0|16.0
clay|Nikles J.|CHE|Right-Handed|1.67|Molleker R.|DEU|Right-Handed|2.09|0.0|2.0|-131.0|-7.0|-15.0
clay|Fognini F.|ITA|Right-Handed|1.47|Rinderknech A.|FRA|Right-Handed|2.68|0.0|9.0|413.0|-7.0|-18.0
clay|Bonadio R.|ITA|Right-Handed|1.69|Rodionov J.|AUT|Left-Handed|2.09|0.0|6.0|-126.0|-5.0|-11.0
clay|Shevchenko A.|KAZ|Right-Handed|2.48|Svrcina D.|CZE|Right-Handed|1.5|0.0|0.0|98.0|2.0|7.0
clay|Sinner J.|ITA|Right-Handed|1.36|Coric B.|HRV|Right-Handed|3.15|0.0|-4.0|2760.0|-9.0|0.0
clay|Brouwer G.|NLD|Left-Handed|1.78|Purcell M.|AUS|Right-Handed|1.95|0.0|0.0|-243.0|-3.0|6.0
clay|Celikbilek A.|TUR|Right-Handed|2.56|Milojevic N.|SRB|Right-Handed|1.49|0.0|-1.0|-251.0|-4.0|-3.0
