Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Tsitsipas S.|GRC|Right-Handed|1.84|Zverev A.|DEU|Right-Handed|1.99|0.0|-2.0|-1215.0|-1.0|-5.0
clay|Trungelliti M.|ARG|Right-Handed|2.56|Monteiro T.|BRA|Left-Handed|1.48|0.0|2.0|-304.0|0.0|-5.0
clay|Gerasimov E.|BLR|Right-Handed|2.56|Brancaccio R.|ITA|Right-Handed|1.49|0.0|5.0|432.0|14.0|13.0
clay|Guinard M.|FRA|Right-Handed|1.37|Sachko V.|UKR|Right-Handed|2.99|0.0|0.0|349.0|13.0|13.0
clay|Cachin P.|ARG|Right-Handed|2.55|Carballes Baena R.|ESP|Right-Handed|1.48|0.0|-2.0|-696.0|0.0|2.0
clay|Borges N.|PRT|Right-Handed|1.44|Kolar Z.|CZE|Right-Handed|2.67|0.0|1.0|-106.0|-1.0|0.0
clay|Alvarez Varona N.|ESP|Right-Handed|3.39|Kohlschreiber P.|DEU|Right-Handed|1.3|0.0|-17.0|-305.0|10.0|10.0
clay|Taberner C.|ESP|Right-Handed|1.12|Janvier M.|FRA|Right-Handed|6.09|0.0|-1.0|435.0|-2.0|-10.0
clay|Pellegrino A.|ITA|Right-Handed|3.09|Popyrin A.|AUS|Right-Handed|1.35|0.0|1.0|-554.0|3.0|-11.0
clay|Olivo R.|ARG|Right-Handed|2.12|Escobedo E.|MEX|Right-Handed|1.68|0.0|3.0|-150.0|-9.0|-5.0
clay|Sousa P.|PRT|Right-Handed|3.68|Mager G.|ITA|Right-Handed|1.26|0.0|7.0|-268.0|-7.0|-8.0
clay|Davidovich Fokina A.|ESP|Right-Handed|1.76|Dimitrov G.|BGR|Right-Handed|2.07|0.0|-7.0|-363.0|-1.0|-8.0
clay|Ymer E.|SWE|Right-Handed|1.61|Gimeno Valero C.|ESP|Right-Handed|2.25|0.0|4.0|391.0|-1.0|-5.0
clay|Galan D.|COL|Right-Handed|2.9|Tabilo A.|CHL|Left-Handed|1.38|0.0|2.0|-311.0|-3.0|3.0
