Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Lazarov A.|BGR|Right-Handed|1.92|Gakhov I.|RUS|Left-Handed|1.8|0.0|-4.0|-71.0|4.0|0.0
grass|Piros Z.|HUN|Right-Handed|1.97|Moraing M.|DEU|Left-Handed|1.81|0.0|-7.0|-160.0|-16.0|-18.0
grass|Caruso S.|ITA|Right-Handed|1.5|Horansky F.|SVK|Right-Handed|2.54|0.0|1.0|77.0|3.0|-6.0
grass|Svrcina D.|CZE|Right-Handed|3.76|Pospisil V.|CAN|Right-Handed|1.26|0.0|-12.0|-205.0|-20.0|-15.0
grass|Grenier H.|FRA|Right-Handed|1.35|Giannessi A.|ITA|Left-Handed|3.12|0.0|-7.0|65.0|3.0|11.0
grass|Lestienne C.|FRA|Right-Handed|2.02|Copil M.|ROU|Right-Handed|1.77|0.0|-4.0|-368.0|-10.0|-13.0
clay|Gulbis E.|LVA|Right-Handed|1.58|Lenz J.|DEU|Right-Handed|2.25|0.0|5.0|209.0|3.0|3.0
grass|Zhang Z.|CHN|Right-Handed|2.26|Escobedo E.|MEX|Right-Handed|1.61|0.0|-2.0|-226.0|5.0|8.0
grass|Bonadio R.|ITA|Right-Handed|2.5|Arnaboldi A.|ITA|Left-Handed|1.51|0.0|-8.0|117.0|9.0|0.0
grass|De Minaur A.|AUS|Right-Handed|1.19|Garin C.|CHL|Right-Handed|4.72|0.0|-5.0|578.0|-16.0|-2.0
grass|Kolar Z.|CZE|Right-Handed|1.17|Sela D.|ISR|Right-Handed|4.88|0.0|-11.0|95.0|11.0|10.0
clay|Coppejans K.|BEL|Right-Handed|4.32|Carballes Baena R.|ESP|Right-Handed|1.2|0.0|-2.0|-336.0|-9.0|-3.0
grass|Moriya H.|JPN|Right-Handed|4.52|Gojo B.|HRV|Right-Handed|1.19|0.0|6.0|77.0|-25.0|-28.0
grass|Vilella Martinez M.|ESP|Right-Handed|3.14|Celikbilek A.|TUR|Right-Handed|1.34|0.0|1.0|172.0|2.0|-7.0
grass|Kopriva V.|CZE|Right-Handed|2.77|Ramanathan R.|IND|Right-Handed|1.42|0.0|-6.0|3.0|-11.0|-10.0
grass|Kubler J.|AUS|Right-Handed|1.12|Ilkel C.|TUR|Right-Handed|6.08|0.0|2.0|15.0|-8.0|-5.0
grass|Hoang A.|FRA|Right-Handed|1.29|Harris A.|AUS|Right-Handed|3.51|0.0|-1.0|215.0|-5.0|0.0
grass|Martin A.|SVK|Right-Handed|3.17|Lacko L.|SVK|Right-Handed|1.34|0.0|-2.0|305.0|-4.0|-5.0
grass|Rodriguez Taverna S.|ARG|Right-Handed|1.51|Zekic M.|SRB|Right-Handed|2.45|0.0|-11.0|135.0|3.0|6.0
grass|Griekspoor T.|NLD|Right-Handed|1.29|Lopez F.|ESP|Left-Handed|3.55|0.0|-15.0|692.0|-3.0|0.0
grass|Pellegrino A.|ITA|Right-Handed|1.78|Serdarusic N.|HRV|Right-Handed|2.0|0.0|-1.0|-87.0|-4.0|-6.0
grass|Novak D.|AUT|Right-Handed|1.44|Forejtek J.|CZE|Right-Handed|2.72|0.0|6.0|466.0|9.0|3.0
