Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Uchiyama Y.|JPN|Right-Handed|1.81|Gomez E.|ECU|Right-Handed|1.94|0.0|-1.0|-339.0|-3.0|-2.0
clay|Andreev A.|BGR|Right-Handed|1.92|Blancaneaux G.|FRA|Right-Handed|1.83|0.0|-1.0|-227.0|-9.0|0.0
grass|Djokovic N.|SRB|Right-Handed|1.08|Rublev A.|RUS|Right-Handed|8.78|0.0|10.0|3340.0|10.0|-1.0
clay|Gaston H.|FRA|Left-Handed|1.49|Zekic M.|SRB|Right-Handed|3.23|0.0|-12.0|428.0|-11.0|-12.0
clay|Ofner S.|AUT|Right-Handed|1.34|Collarini A.|ARG|Left-Handed|3.06|0.0|-5.0|429.0|1.0|6.0
clay|Kuzmanov D.|BGR|Right-Handed|1.45|Popko D.|KAZ|Right-Handed|2.64|0.0|2.0|-80.0|-10.0|2.0
clay|Klein L.|SVK|Right-Handed|1.81|Novak D.|AUT|Right-Handed|1.92|0.0|-3.0|43.0|5.0|10.0
clay|Martinez P.|ESP|Right-Handed|1.62|Travaglia S.|ITA|Right-Handed|2.21|0.0|-5.0|261.0|-4.0|0.0
clay|Altmaier D.|DEU|Right-Handed|1.21|Taberner C.|ESP|Right-Handed|4.23|0.0|0.0|454.0|10.0|8.0
clay|Tabilo A.|CHL|Left-Handed|1.37|Olivieri G.|ARG|Right-Handed|2.98|0.0|1.0|57.0|2.0|13.0
clay|Guinard M.|FRA|Right-Handed|2.14|Gombos N.|SVK|Right-Handed|1.66|0.0|-5.0|-93.0|-4.0|3.0
hard|Marchenko I.|UKR|Right-Handed|1.61|Sweeny D.|AUS|Right-Handed|2.23|0.0|13.0|407.0|19.0|15.0
clay|Masur D.|DEU|Right-Handed|2.97|Coria F.|ARG|Right-Handed|1.37|0.0|-4.0|-276.0|5.0|3.0
hard|Schoolkate T.|AUS|Right-Handed|2.0|Celikbilek A.|TUR|Right-Handed|1.76|0.0|-7.0|-213.0|6.0|-2.0
clay|Garin C.|CHL|Right-Handed|1.34|Madaras D.|SWE|Left-Handed|3.07|0.0|5.0|566.0|0.0|-6.0
clay|Agamenone F.|ITA|Right-Handed|2.66|Marterer M.|DEU|Left-Handed|1.44|0.0|3.0|56.0|-2.0|-3.0
clay|Kotov P.|RUS|Right-Handed|1.81|Dellien H.|BOL|Right-Handed|1.94|0.0|-8.0|200.0|11.0|11.0
clay|Kovalik J.|SVK|Right-Handed|2.03|Molleker R.|DEU|Right-Handed|1.74|0.0|8.0|145.0|7.0|-2.0
clay|Rola B.|SVN|Left-Handed|3.81|Carballes Baena R.|ESP|Right-Handed|1.24|0.0|1.0|-417.0|8.0|10.0
grass|Sinner J.|ITA|Right-Handed|1.16|Safiullin R.|RUS|Right-Handed|5.4|0.0|-2.0|2682.0|1.0|3.0
clay|Rodionov J.|AUT|Left-Handed|1.28|Durasovic V.|NOR|Right-Handed|3.47|0.0|-2.0|315.0|6.0|6.0
