Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Gojo B.|HRV|Right-Handed|2.55|Mager G.|ITA|Right-Handed|1.49|0.0|-3.0|-694.0|13.0|8.0
clay|Zapata Miralles B.|ESP|Right-Handed|1.02|Sela D.|ISR|Right-Handed|16.52|0.0|-10.0|165.0|17.0|8.0
clay|Agamenone F.|ITA|Right-Handed|3.22|Galan D.|COL|Right-Handed|1.33|0.0|3.0|28.0|10.0|-3.0
clay|Sousa P.|PRT|Right-Handed|1.6|Purcell M.|AUS|Right-Handed|2.28|0.0|10.0|319.0|-5.0|-5.0
clay|Muller A.|FRA|Right-Handed|1.19|Ilkel C.|TUR|Right-Handed|4.46|0.0|-2.0|-28.0|-7.0|0.0
clay|Gasquet R.|FRA|Right-Handed|1.59|Millman J.|AUS|Right-Handed|2.35|0.0|4.0|110.0|0.0|0.0
clay|Erler A.|AUT|Right-Handed|3.19|Menendez-Maceiras A.|ESP|Right-Handed|1.31|0.0|-11.0|-262.0|8.0|10.0
clay|Giustino L.|ITA|Right-Handed|2.64|Novak D.|AUT|Right-Handed|1.46|0.0|5.0|-118.0|3.0|-3.0
clay|Giannessi A.|ITA|Left-Handed|1.66|Moraing M.|DEU|Left-Handed|2.17|0.0|2.0|167.0|-2.0|-13.0
clay|Mena F.|ARG|Right-Handed|2.67|Svrcina D.|CZE|Right-Handed|1.46|0.0|9.0|113.0|10.0|5.0
clay|Zeppieri G.|ITA|Left-Handed|1.38|Seppi A.|ITA|Right-Handed|2.89|0.0|-16.0|-341.0|0.0|-6.0
clay|Gombos N.|SVK|Right-Handed|1.61|Lestienne C.|FRA|Right-Handed|2.26|0.0|1.0|323.0|8.0|13.0
clay|Watanuki Y.|JPN|Right-Handed|5.31|Martinez P.|ESP|Right-Handed|1.15|0.0|-1.0|-871.0|-13.0|-5.0
clay|Gakhov I.|RUS|Left-Handed|1.07|Tsitsipas P.|GRC|Right-Handed|7.63|0.0|4.0|140.0|4.0|6.0
clay|Valkusz M.|HUN|Right-Handed|1.61|Gimeno Valero C.|ESP|Right-Handed|2.22|0.0|1.0|-23.0|-5.0|-5.0
clay|Ramanathan R.|IND|Right-Handed|4.98|Hanfmann Y.|DEU|Right-Handed|1.16|0.0|-2.0|-258.0|-6.0|-5.0
clay|Otte O.|DEU|Right-Handed|1.49|Pouille L.|FRA|Right-Handed|2.59|0.0|-1.0|575.0|-5.0|8.0
clay|Zhang Z.|CHN|Right-Handed|1.37|Bemelmans R.|BEL|Left-Handed|2.96|0.0|-7.0|-40.0|12.0|10.0
clay|Cecchinato M.|ITA|Right-Handed|2.95|Thiem D.|AUT|Right-Handed|1.4|0.0|1.0|180.0|-1.0|0.0
clay|Copil M.|ROU|Right-Handed|3.7|Furness E.|FRA|Right-Handed|1.27|0.0|9.0|419.0|21.0|23.0
clay|Khachanov K.|RUS|Right-Handed|1.12|Simon G.|FRA|Right-Handed|6.29|0.0|-9.0|1286.0|17.0|15.0
clay|Gerasimov E.|BLR|Right-Handed|1.44|Milojevic N.|SRB|Right-Handed|2.73|0.0|3.0|-113.0|10.0|8.0
clay|Carballes Baena R.|ESP|Right-Handed|1.26|Brancaccio R.|ITA|Right-Handed|3.6|0.0|4.0|541.0|5.0|0.0
clay|Vukic A.|AUS|Right-Handed|1.87|Vilella Martinez M.|ESP|Right-Handed|1.89|0.0|-1.0|58.0|10.0|10.0
clay|Kubler J.|AUS|Right-Handed|1.43|Bonadio R.|ITA|Right-Handed|2.74|0.0|1.0|-113.0|-7.0|-2.0
clay|Delbonis F.|ARG|Left-Handed|1.27|Berankis R.|LTU|Right-Handed|3.72|0.0|0.0|274.0|13.0|18.0
clay|Humbert U.|FRA|Left-Handed|1.47|Barrere G.|FRA|Right-Handed|2.66|0.0|-5.0|765.0|-7.0|5.0
clay|Borges N.|PRT|Right-Handed|1.19|Fabbiano T.|ITA|Right-Handed|4.66|0.0|-9.0|157.0|5.0|12.0
clay|Rodriguez Taverna S.|ARG|Right-Handed|1.56|Horansky F.|SVK|Right-Handed|2.39|0.0|-5.0|-94.0|5.0|0.0
clay|Celikbilek A.|TUR|Right-Handed|1.23|Bhambri Y.|IND|Right-Handed|4.06|0.0|-6.0|256.0|-3.0|0.0
clay|Kolar Z.|CZE|Right-Handed|1.75|Gaio F.|ITA|Right-Handed|2.03|0.0|-5.0|-115.0|-8.0|5.0
clay|Baez S.|ARG|Right-Handed|1.24|Etcheverry T.|ARG|Right-Handed|4.02|0.0|-2.0|434.0|-12.0|-26.0
clay|Paire B.|FRA|Right-Handed|2.91|Ruusuvuori E.|FIN|Right-Handed|1.41|0.0|7.0|-31.0|1.0|8.0
clay|Alvarez Varona N.|ESP|Right-Handed|1.79|Madaras D.|SWE|Left-Handed|1.95|0.0|0.0|16.0|-5.0|-3.0
clay|Elias G.|PRT|Right-Handed|1.45|Kicker N.|ARG|Right-Handed|2.68|0.0|3.0|161.0|1.0|5.0
