Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Nikles J.|CHE|Right-Handed|2.12|Ehrat S.|CHE|Right-Handed|1.64|0.0|-6.0|55.0|-4.0|-10.0
clay|Zhang Z.|CHN|Right-Handed|1.56|Muller A.|FRA|Right-Handed|2.34|0.0|0.0|-53.0|12.0|10.0
hard|Medvedev D.|RUS|Right-Handed|1.24|Kecmanovic M.|SRB|Right-Handed|4.1|0.0|2.0|6495.0|8.0|15.0
clay|Giannessi A.|ITA|Left-Handed|2.12|Andujar P.|ESP|Right-Handed|1.64|0.0|-4.0|-212.0|2.0|5.0
clay|Mager G.|ITA|Right-Handed|2.12|Taberner C.|ESP|Right-Handed|1.64|0.0|3.0|429.0|-1.0|5.0
hard|Mannarino A.|FRA|Left-Handed|1.48|Purcell M.|AUS|Right-Handed|2.57|0.0|9.0|478.0|4.0|-5.0
hard|Popyrin A.|AUS|Right-Handed|1.18|Diez S.|CAN|Right-Handed|4.63|0.0|-6.0|458.0|2.0|21.0
clay|Molleker R.|DEU|Right-Handed|1.85|Andreev A.|BGR|Right-Handed|1.84|0.0|0.0|74.0|9.0|5.0
hard|Gomez E.|ECU|Right-Handed|1.93|Couacaud E.|FRA|Right-Handed|1.81|0.0|6.0|161.0|3.0|2.0
hard|Halys Q.|FRA|Right-Handed|1.84|Berankis R.|LTU|Right-Handed|1.91|0.0|-6.0|127.0|1.0|16.0
