Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Djokovic N.|SRB|Right-Handed|1.34|Tsitsipas S.|GRC|Right-Handed|3.35|0.0|10.0|-2030.0|-9.0|-6.0
indoors|Rublev A.|RUS|Right-Handed|3.4|Medvedev D.|RUS|Right-Handed|1.33|0.0|-2.0|-535.0|-13.0|-10.0
indoors|Hijikata R.|AUS|Right-Handed|1.28|Sweeny D.|AUS|Right-Handed|3.54|0.0|0.0|249.0|5.0|8.0
indoors|Bergs Z.|BEL|Right-Handed|2.13|Van Rijthoven T.|NLD|Right-Handed|1.68|0.0|-1.0|-82.0|-6.0|-3.0
clay|Olivieri G.|ARG|Right-Handed|3.33|Etcheverry T.|ARG|Right-Handed|1.31|0.0|0.0|-344.0|-9.0|-21.0
indoors|Kukushkin M.|KAZ|Right-Handed|1.29|Erler A.|AUT|Right-Handed|3.38|0.0|8.0|89.0|-11.0|-10.0
indoors|Chung Y.|KOR|Right-Handed|1.56|Shimizu Y.|JPN|Left-Handed|2.27|0.0|2.0|11.0|16.0|15.0
