Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Lokoli L.|FRA|Right-Handed|1.86|Guinard M.|FRA|Right-Handed|1.88|0.0|3.0|-96.0|-3.0|-8.0
hard|De Minaur A.|AUS|Right-Handed|1.26|Thompson J.|AUS|Right-Handed|3.84|0.0|-5.0|1258.0|-13.0|0.0
clay|Andreev A.|BGR|Right-Handed|1.56|Olivieri G.|ARG|Right-Handed|2.3|0.0|-1.0|-99.0|-7.0|5.0
clay|Sakamoto P.|BRA|Right-Handed|3.01|Alvarez Varona N.|ESP|Right-Handed|1.36|0.0|7.0|-191.0|-2.0|-10.0
hard|Ajdukovic D.|HRV|Right-Handed|1.21|Ramanathan R.|IND|Right-Handed|4.08|0.0|-6.0|80.0|-5.0|-3.0
clay|Galan D.|COL|Right-Handed|1.51|Popko D.|KAZ|Right-Handed|2.41|0.0|0.0|16.0|-15.0|0.0
clay|Masur D.|DEU|Right-Handed|1.69|Novak D.|AUT|Right-Handed|2.09|0.0|0.0|-45.0|-2.0|0.0
clay|Ramos-Vinolas A.|ESP|Left-Handed|1.62|Blancaneaux G.|FRA|Right-Handed|2.2|0.0|10.0|348.0|1.0|8.0
clay|Klizan M.|SVK|Left-Handed|1.85|Mager G.|ITA|Right-Handed|1.88|0.0|5.0|-528.0|8.0|3.0
clay|Janvier M.|FRA|Right-Handed|4.11|Taberner C.|ESP|Right-Handed|1.21|0.0|1.0|-54.0|2.0|10.0
