Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Kukushkin M.|KAZ|Right-Handed|2.29|Ramos-Vinolas A.|ESP|Left-Handed|1.59|0.0|-1.0|-498.0|-4.0|-5.0
hard|Duckworth J.|AUS|Right-Handed|1.32|Marchenko I.|UKR|Right-Handed|3.25|0.0|-3.0|81.0|0.0|-2.0
clay|Polmans M.|AUS|Right-Handed|1.99|Hemery C.|FRA|Right-Handed|1.77|0.0|1.0|7.0|-5.0|-3.0
clay|Djokovic N.|SRB|Right-Handed|1.24|De Minaur A.|AUS|Right-Handed|4.08|0.0|12.0|5510.0|11.0|4.0
hard|Janvier M.|FRA|Right-Handed|2.29|Pacheco Mendez R.|MEX|Left-Handed|1.58|0.0|9.0|246.0|7.0|5.0
clay|Sinner J.|ITA|Right-Handed|1.13|Rune H.|DNK|Right-Handed|5.96|0.0|3.0|-1010.0|8.0|3.0
clay|Kovalik J.|SVK|Right-Handed|1.51|Travaglia S.|ITA|Right-Handed|2.46|0.0|0.0|155.0|2.0|-2.0
hard|Mejia N.|COL|Right-Handed|1.89|Pospisil V.|CAN|Right-Handed|1.86|0.0|-9.0|-185.0|-11.0|-8.0
clay|Ruud C.|NOR|Right-Handed|1.31|Humbert U.|FRA|Left-Handed|3.45|0.0|1.0|3752.0|4.0|-5.0
clay|Tsitsipas S.|GRC|Right-Handed|1.43|Khachanov K.|RUS|Right-Handed|2.85|0.0|-2.0|2145.0|2.0|-5.0
clay|Kokkinakis T.|AUS|Right-Handed|1.54|Ritschard A.|CHE|Right-Handed|2.42|0.0|-1.0|339.0|2.0|0.0
