Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Thompson J.|AUS|Right-Handed|2.57|Humbert U.|FRA|Left-Handed|1.5|0.0|4.0|-406.0|9.0|-5.0
hard|Popyrin A.|AUS|Right-Handed|3.14|Rublev A.|RUS|Right-Handed|1.36|0.0|0.0|-3940.0|8.0|8.0
hard|Musetti L.|ITA|Right-Handed|1.4|Jarry N.|CHL|Right-Handed|2.95|0.0|-5.0|566.0|-15.0|-13.0
hard|Khachanov K.|RUS|Right-Handed|1.55|Cerundolo F.|ARG|Right-Handed|2.45|0.0|5.0|1380.0|9.0|13.0
hard|Paire B.|FRA|Right-Handed|2.57|Skatov T.|KAZ|Right-Handed|1.47|0.0|9.0|-14.0|7.0|23.0
clay|Agamenone F.|ITA|Right-Handed|2.01|Olivieri G.|ARG|Right-Handed|1.74|0.0|6.0|141.0|9.0|13.0
