Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Polmans M.|AUS|Right-Handed|3.29|Millman J.|AUS|Right-Handed|1.31|0.0|-5.0|-89.0|-1.0|5.0
hard|De Jong J.|NLD|Right-Handed|1.62|Haase R.|NLD|Right-Handed|2.21|0.0|-13.0|131.0|-7.0|-11.0
hard|Martinez P.|ESP|Right-Handed|2.06|Popyrin A.|AUS|Right-Handed|1.76|0.0|1.0|161.0|-2.0|-11.0
indoors|Machac T.|CZE|Right-Handed|1.16|Vatutin A.|RUS|Right-Handed|4.91|0.0|-7.0|187.0|4.0|5.0
clay|Vavassori A.|ITA|Right-Handed|2.47|Etcheverry T.|ARG|Right-Handed|1.51|0.0|3.0|-396.0|-4.0|-3.0
indoors|Zhang Z.|CHN|Right-Handed|1.93|Karatsev A.|RUS|Right-Handed|1.86|0.0|-3.0|-814.0|2.0|8.0
indoors|Mannarino A.|FRA|Left-Handed|2.09|Wawrinka S.|CHE|Right-Handed|1.73|0.0|-3.0|679.0|0.0|-2.0
indoors|Rublev A.|RUS|Right-Handed|1.28|Djere L.|SRB|Right-Handed|3.66|0.0|-2.0|2663.0|-12.0|0.0
hard|Zapata Miralles B.|ESP|Right-Handed|2.45|Daniel T.|JPN|Right-Handed|1.54|0.0|-4.0|76.0|2.0|-8.0
clay|Kovalik J.|SVK|Right-Handed|1.71|Pellegrino A.|ITA|Right-Handed|2.07|0.0|5.0|126.0|1.0|-2.0
indoors|Hurkacz H.|POL|Right-Handed|1.23|Cerundolo F.|ARG|Right-Handed|4.14|0.0|2.0|1781.0|3.0|11.0
