Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Escobedo E.|MEX|Right-Handed|1.5|Kopriva V.|CZE|Right-Handed|2.49|0.0|5.0|148.0|13.0|7.0
hard|De Jong J.|NLD|Right-Handed|2.19|Simon G.|FRA|Right-Handed|1.62|0.0|-15.0|-322.0|0.0|-3.0
indoors|Mukund S.|IND|Right-Handed|2.55|Benchetrit E.|MAR|Right-Handed|1.47|0.0|2.0|-81.0|-10.0|-8.0
hard|Agamenone F.|ITA|Right-Handed|1.99|Popko D.|KAZ|Right-Handed|1.76|0.0|3.0|44.0|-5.0|-3.0
hard|Dimitrov G.|BGR|Right-Handed|1.69|Van De Zandschulp B.|NLD|Right-Handed|2.17|0.0|4.0|767.0|-2.0|3.0
hard|Nadal R.|ESP|Left-Handed|1.19|Griekspoor T.|NLD|Right-Handed|4.67|0.0|11.0|3909.0|0.0|-3.0
hard|Ruusuvuori E.|FIN|Right-Handed|1.66|Molcan A.|SVK|Left-Handed|2.23|0.0|0.0|-28.0|6.0|10.0
hard|Kokkinakis T.|AUS|Right-Handed|1.64|Ymer M.|SWE|Right-Handed|2.25|0.0|4.0|-388.0|9.0|10.0
hard|Caruso S.|ITA|Right-Handed|2.13|Grenier H.|FRA|Right-Handed|1.66|0.0|5.0|328.0|-5.0|-11.0
hard|Khachanov K.|RUS|Right-Handed|1.26|Gerasimov E.|BLR|Right-Handed|3.88|0.0|-3.0|1066.0|1.0|2.0
clay|Rodriguez Taverna S.|ARG|Right-Handed|1.49|Casanova H.|ARG|Right-Handed|2.53|0.0|-4.0|140.0|6.0|13.0
hard|Couacaud E.|FRA|Right-Handed|2.29|Halys Q.|FRA|Right-Handed|1.59|0.0|-1.0|3.0|0.0|-8.0
hard|Cilic M.|HRV|Right-Handed|1.3|Djere L.|SRB|Right-Handed|3.57|0.0|7.0|579.0|7.0|10.0
clay|Diaz Acosta F.|ARG|Left-Handed|1.32|Villanueva G.|ARG|Right-Handed|3.22|0.0|-6.0|-68.0|3.0|8.0
hard|Machac T.|CZE|Right-Handed|1.4|Kukushkin M.|KAZ|Right-Handed|2.8|0.0|-11.0|-182.0|1.0|0.0
