Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Djere L.|SRB|Right-Handed|1.7|Carballes Baena R.|ESP|Right-Handed|2.12|0.0|-2.0|294.0|5.0|5.0
hard|Delbonis F.|ARG|Left-Handed|1.15|Pervolarakis M.|GRC|Right-Handed|5.31|0.0|8.0|1261.0|0.0|0.0
hard|Monteiro T.|BRA|Left-Handed|2.38|Altmaier D.|DEU|Right-Handed|1.58|0.0|5.0|-8.0|-10.0|-8.0
hard|Cerundolo F.|ARG|Right-Handed|2.04|Galan D.|COL|Right-Handed|1.73|0.0|-5.0|319.0|6.0|-6.0
hard|Vavassori A.|ITA|Right-Handed|2.58|Pouille L.|FRA|Right-Handed|1.47|0.0|-2.0|-360.0|-6.0|8.0
hard|Celikbilek A.|TUR|Right-Handed|2.3|Gombos N.|SVK|Right-Handed|1.57|0.0|-4.0|-466.0|-13.0|-8.0
indoors|Lazarov A.|BGR|Right-Handed|2.99|Andreev A.|BGR|Right-Handed|1.37|0.0|0.0|-76.0|18.0|11.0
hard|Soeda G.|JPN|Right-Handed|2.1|Gulbis E.|LVA|Right-Handed|1.67|0.0|2.0|109.0|-12.0|-13.0
hard|Bachinger M.|DEU|Right-Handed|1.39|Safwat M.|EGY|Right-Handed|2.91|0.0|4.0|-218.0|3.0|8.0
hard|Serdarusic N.|HRV|Right-Handed|1.32|Statham R.|NZL|Right-Handed|3.27|0.0|-9.0|204.0|5.0|13.0
hard|Carreno-Busta P.|ESP|Right-Handed|1.07|Durasovic V.|NOR|Right-Handed|8.68|0.0|7.0|752.0|-2.0|3.0
hard|Kopriva V.|CZE|Right-Handed|1.85|Bemelmans R.|BEL|Left-Handed|1.88|0.0|-10.0|-49.0|-6.0|-5.0
hard|Laaksonen H.|CHE|Right-Handed|1.31|Kovalik J.|SVK|Right-Handed|3.33|0.0|1.0|249.0|-4.0|2.0
hard|Schwartzman D.|ARG|Right-Handed|1.95|Tsitsipas S.|GRC|Right-Handed|1.84|0.0|5.0|-3780.0|-25.0|-23.0
hard|Ignatik U.|BLR|Right-Handed|2.37|Moriya H.|JPN|Right-Handed|1.54|0.0|1.0|-257.0|17.0|15.0
hard|Krajinovic F.|SRB|Right-Handed|1.47|Tabilo A.|CHL|Left-Handed|2.65|0.0|5.0|1011.0|0.0|-3.0
hard|Berankis R.|LTU|Right-Handed|1.29|Etcheverry T.|ARG|Right-Handed|3.49|0.0|9.0|506.0|-5.0|-21.0
indoors|Zhang Z.|CHN|Right-Handed|1.4|Napolitano S.|ITA|Right-Handed|2.77|0.0|-2.0|-22.0|-3.0|-3.0
hard|Garin C.|CHL|Right-Handed|2.15|Lajovic D.|SRB|Right-Handed|1.69|0.0|-5.0|944.0|2.0|2.0
hard|Sweeny D.|AUS|Right-Handed|3.02|Silva F.|PRT|Left-Handed|1.35|0.0|-6.0|-185.0|-11.0|-8.0
hard|Trungelliti M.|ARG|Right-Handed|1.74|Moroni G.|ITA|Right-Handed|2.02|0.0|6.0|200.0|-3.0|-7.0
hard|Daniel T.|JPN|Right-Handed|2.76|Otte O.|DEU|Right-Handed|1.43|0.0|2.0|106.0|1.0|-2.0
hard|Guinard M.|FRA|Right-Handed|1.37|Schoolkate T.|AUS|Right-Handed|2.94|0.0|6.0|389.0|3.0|13.0
hard|Ugo Carabelli C.|ARG|Right-Handed|1.98|Uchiyama Y.|JPN|Right-Handed|1.77|0.0|-8.0|-264.0|5.0|2.0
hard|Seppi A.|ITA|Right-Handed|2.11|Zapata Miralles B.|ESP|Right-Handed|1.69|0.0|12.0|141.0|-4.0|8.0
