Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Davidovich Fokina A.|ESP|Right-Handed|1.17|Pella G.|ARG|Left-Handed|5.15|0.0|-9.0|1035.0|1.0|0.0
clay|Koepfer D.|DEU|Left-Handed|1.46|Kicker N.|ARG|Right-Handed|2.62|0.0|-1.0|95.0|4.0|2.0
clay|Kavcic B.|SVN|Right-Handed|1.77|Gojowczyk P.|DEU|Right-Handed|1.99|0.0|2.0|-172.0|-5.0|0.0
clay|Rublev A.|RUS|Right-Handed|1.18|Molcan A.|SVK|Left-Handed|4.92|0.0|1.0|3360.0|-3.0|10.0
clay|Alcaraz C.|ESP|Right-Handed|1.02|Ramos-Vinolas A.|ESP|Left-Handed|15.53|0.0|-14.0|6025.0|-4.0|-3.0
clay|Zapata Miralles B.|ESP|Right-Handed|1.59|Kubler J.|AUS|Right-Handed|2.37|0.0|-4.0|234.0|8.0|5.0
clay|Sonego L.|ITA|Right-Handed|1.44|Nishioka Y.|JPN|Left-Handed|2.81|0.0|-2.0|-281.0|12.0|21.0
clay|Coric B.|HRV|Right-Handed|1.35|Monteiro T.|BRA|Left-Handed|3.19|0.0|-3.0|1613.0|7.0|5.0
clay|Sachko V.|UKR|Right-Handed|1.77|Kovalik J.|SVK|Right-Handed|1.99|0.0|-6.0|-196.0|-14.0|0.0
clay|Paire B.|FRA|Right-Handed|1.51|Giustino L.|ITA|Right-Handed|2.49|0.0|-1.0|118.0|-3.0|16.0
