Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Jarry N.|CHL|Right-Handed|1.04|Pacheco Mendez R.|MEX|Left-Handed|12.58|0.0|9.0|1315.0|17.0|10.0
clay|Etcheverry T.|ARG|Right-Handed|1.32|Andreozzi G.|ARG|Right-Handed|3.39|0.0|-7.0|986.0|4.0|13.0
hard|Humbert U.|FRA|Left-Handed|1.56|Kokkinakis T.|AUS|Right-Handed|2.43|0.0|-4.0|463.0|-11.0|-5.0
clay|Dellien H.|BOL|Right-Handed|1.34|Masur D.|DEU|Right-Handed|3.11|0.0|4.0|46.0|-3.0|-3.0
clay|Thiem D.|AUT|Right-Handed|1.84|Zhang Z.|CHN|Right-Handed|1.97|0.0|2.0|285.0|-8.0|-8.0
clay|Goffin D.|BEL|Right-Handed|1.38|Sachko V.|UKR|Right-Handed|2.9|0.0|7.0|317.0|2.0|-3.0
hard|Thompson J.|AUS|Right-Handed|1.86|Mannarino A.|FRA|Left-Handed|1.94|0.0|-6.0|-518.0|3.0|3.0
clay|Djere L.|SRB|Right-Handed|1.63|Seyboth Wild T.|BRA|Right-Handed|2.27|0.0|3.0|602.0|4.0|3.0
hard|De Minaur A.|AUS|Right-Handed|1.04|Mansouri S.|TUN|Right-Handed|11.5|0.0|-5.0|1762.0|-17.0|-10.0
clay|Molcan A.|SVK|Left-Handed|2.1|Ofner S.|AUT|Right-Handed|1.74|0.0|-2.0|-337.0|-8.0|-13.0
clay|Galan D.|COL|Right-Handed|2.61|Altmaier D.|DEU|Right-Handed|1.49|0.0|2.0|-537.0|-16.0|0.0
hard|Gojo B.|HRV|Right-Handed|2.31|Garin C.|CHL|Right-Handed|1.61|0.0|-3.0|-46.0|5.0|11.0
clay|Rinderknech A.|FRA|Right-Handed|2.33|Hanfmann Y.|DEU|Right-Handed|1.6|0.0|-4.0|-93.0|0.0|3.0
clay|Casanova H.|ARG|Right-Handed|1.57|Zekic M.|SRB|Right-Handed|2.28|0.0|-7.0|-5.0|-3.0|-7.0
hard|Hong S.|KOR|Right-Handed|1.53|Tomic B.|AUS|Right-Handed|2.4|0.0|-4.0|-176.0|-26.0|-21.0
clay|Delbonis F.|ARG|Left-Handed|1.39|Giannessi A.|ITA|Left-Handed|2.83|0.0|1.0|172.0|8.0|8.0
clay|Cachin P.|ARG|Right-Handed|1.7|Ramos-Vinolas A.|ESP|Left-Handed|2.17|0.0|-7.0|169.0|1.0|-3.0
hard|Andreev A.|BGR|Right-Handed|1.55|Gojowczyk P.|DEU|Right-Handed|2.36|0.0|-10.0|-342.0|-17.0|-8.0
clay|Baez S.|ARG|Right-Handed|1.58|Carballes Baena R.|ESP|Right-Handed|2.37|0.0|-7.0|-30.0|-7.0|-13.0
