Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Seyboth Wild T.|BRA|Right-Handed|1.29|Luz O.|BRA|Right-Handed|3.33|0.0|-1.0|434.0|0.0|5.0
hard|Shimabukuro S.|JPN|Right-Handed|1.76|Moraing M.|DEU|Left-Handed|1.98|0.0|-7.0|-112.0|-9.0|-15.0
hard|Cerundolo F.|ARG|Right-Handed|1.15|Pella G.|ARG|Left-Handed|5.72|0.0|-11.0|1065.0|-1.0|2.0
hard|Mager G.|ITA|Right-Handed|1.85|Rosol L.|CZE|Right-Handed|1.89|0.0|-8.0|712.0|-6.0|-5.0
hard|Daniel T.|JPN|Right-Handed|1.56|Escobedo E.|MEX|Right-Handed|2.43|0.0|2.0|409.0|-2.0|6.0
hard|Fucsovics M.|HUN|Right-Handed|1.15|Coria F.|ARG|Right-Handed|5.54|0.0|-1.0|-8.0|9.0|8.0
hard|Hijikata R.|AUS|Right-Handed|1.98|Hanfmann Y.|DEU|Right-Handed|1.84|0.0|-9.0|-91.0|-18.0|-15.0
hard|Moutet C.|FRA|Left-Handed|2.35|Wu Y.|CHN|Right-Handed|1.6|0.0|1.0|296.0|-12.0|-8.0
hard|Khachanov K.|RUS|Right-Handed|1.06|Zapata Miralles B.|ESP|Right-Handed|10.16|0.0|1.0|1173.0|5.0|15.0
hard|Zuk K.|POL|Right-Handed|1.86|Furness E.|FRA|Right-Handed|1.87|0.0|-1.0|134.0|12.0|13.0
hard|Lehecka J.|CZE|Right-Handed|3.19|Coric B.|HRV|Right-Handed|1.36|0.0|-6.0|-1043.0|-5.0|-5.0
hard|Kubler J.|AUS|Right-Handed|1.33|Baez S.|ARG|Right-Handed|3.36|0.0|8.0|-342.0|4.0|8.0
hard|Hurkacz H.|POL|Right-Handed|1.06|Martinez P.|ESP|Right-Handed|10.61|0.0|-2.0|2059.0|5.0|11.0
hard|Svrcina D.|CZE|Right-Handed|2.66|Munar J.|ESP|Right-Handed|1.48|0.0|-5.0|-528.0|-8.0|-5.0
hard|Sonego L.|ITA|Right-Handed|1.34|Borges N.|PRT|Right-Handed|3.31|0.0|-1.0|413.0|1.0|6.0
hard|Nishioka Y.|JPN|Left-Handed|1.94|Ymer M.|SWE|Right-Handed|1.87|0.0|3.0|461.0|-11.0|-13.0
hard|Molcan A.|SVK|Left-Handed|3.72|Wawrinka S.|CHE|Right-Handed|1.28|0.0|-13.0|438.0|-6.0|-4.0
hard|Bonadio R.|ITA|Right-Handed|2.17|Guinard M.|FRA|Right-Handed|1.63|0.0|4.0|-63.0|0.0|-16.0
hard|Van De Zandschulp B.|NLD|Right-Handed|1.4|Ivashka I.|BLR|Right-Handed|3.01|0.0|-1.0|500.0|-1.0|-5.0
hard|Griekspoor T.|NLD|Right-Handed|1.36|Kotov P.|RUS|Right-Handed|3.16|0.0|3.0|306.0|-1.0|-3.0
hard|Tsitsipas S.|GRC|Right-Handed|1.14|Halys Q.|FRA|Right-Handed|5.93|0.0|-2.0|4915.0|11.0|2.0
hard|Watanuki Y.|JPN|Right-Handed|2.28|Rinderknech A.|FRA|Right-Handed|1.64|0.0|-2.0|-394.0|-23.0|-16.0
hard|Shapovalov D.|CAN|Left-Handed|1.08|Lajovic D.|SRB|Right-Handed|8.25|0.0|-8.0|1204.0|-8.0|2.0
hard|Uchida K.|JPN|Right-Handed|2.39|Paire B.|FRA|Right-Handed|1.54|0.0|-1.0|47.0|-6.0|-16.0
hard|Etcheverry T.|ARG|Right-Handed|2.35|Barrere G.|FRA|Right-Handed|1.6|0.0|-5.0|14.0|2.0|13.0
hard|Lestienne C.|FRA|Right-Handed|2.05|Monteiro T.|BRA|Left-Handed|1.78|0.0|-1.0|152.0|-1.0|-3.0
