Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Andreev A.|BGR|Right-Handed|2.0|Janvier M.|FRA|Right-Handed|1.75|0.0|-3.0|-112.0|-14.0|-13.0
indoors|Thiem D.|AUT|Right-Handed|1.28|Simon G.|FRA|Right-Handed|3.5|0.0|-8.0|-240.0|9.0|2.0
Varioussurfaces|De Minaur A.|AUS|Right-Handed|1.45|Goffin D.|BEL|Right-Handed|2.69|0.0|-9.0|895.0|-1.0|3.0
Varioussurfaces|Pospisil V.|CAN|Right-Handed|1.15|Hong S.|KOR|Right-Handed|4.22|0.0|7.0|301.0|23.0|18.0
Varioussurfaces|Griekspoor T.|NLD|Right-Handed|1.02|Kukushkin M.|KAZ|Right-Handed|12.0|0.0|-7.0|656.0|13.0|5.0
Varioussurfaces|Kubler J.|AUS|Right-Handed|1.41|Bergs Z.|BEL|Right-Handed|2.78|0.0|6.0|97.0|-9.0|-7.0
indoors|Barrere G.|FRA|Right-Handed|1.39|Moriya H.|JPN|Right-Handed|2.83|0.0|-2.0|-57.0|15.0|15.0
Varioussurfaces|Ymer E.|SWE|Right-Handed|2.01|Baez S.|ARG|Right-Handed|1.6|0.0|4.0|-823.0|9.0|13.0
indoors|Gaston H.|FRA|Left-Handed|1.07|Mertens Y.|BEL|Right-Handed|8.25|0.0|-11.0|455.0|-4.0|-15.0
hard|Lokoli L.|FRA|Right-Handed|1.47|Donskoy E.|RUS|Right-Handed|2.56|0.0|-4.0|-273.0|3.0|3.0
clay|Carballes Baena R.|ESP|Right-Handed|1.17|Zekic M.|SRB|Right-Handed|4.84|0.0|-6.0|502.0|-2.0|-2.0
Varioussurfaces|Van De Zandschulp B.|NLD|Right-Handed|1.98|Bublik A.|KAZ|Right-Handed|1.66|0.0|0.0|588.0|6.0|-10.0
Varioussurfaces|Ymer M.|SWE|Right-Handed|2.62|Schwartzman D.|ARG|Right-Handed|1.4|0.0|-6.0|-1660.0|11.0|13.0
clay|Shevchenko A.|KAZ|Right-Handed|1.5|Guinard M.|FRA|Right-Handed|2.48|0.0|-4.0|-82.0|-11.0|-11.0
clay|Pellegrino A.|ITA|Right-Handed|1.83|Molleker R.|DEU|Right-Handed|1.9|0.0|3.0|-75.0|6.0|0.0
hard|Rosol L.|CZE|Right-Handed|3.7|Duckworth J.|AUS|Right-Handed|1.26|0.0|4.0|-451.0|1.0|10.0
