Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
clay|Gasquet R.|FRA|Right-Handed|1.45|Kotov P.|RUS|Right-Handed|2.74|0.0|13.0|423.0|-7.0|-8.0
clay|Elias G.|PRT|Right-Handed|2.09|Borges N.|PRT|Right-Handed|1.69|0.0|6.0|308.0|1.0|-2.0
clay|Gakhov I.|RUS|Left-Handed|3.22|Giustino L.|ITA|Right-Handed|1.32|0.0|-5.0|-290.0|-3.0|11.0
clay|Cachin P.|ARG|Right-Handed|1.42|Brancaccio R.|ITA|Right-Handed|2.75|0.0|2.0|-38.0|5.0|2.0
clay|Garin C.|CHL|Right-Handed|1.37|Thompson J.|AUS|Right-Handed|3.06|0.0|0.0|668.0|3.0|2.0
clay|Jarry N.|CHL|Right-Handed|1.45|Melzer G.|AUT|Left-Handed|2.67|0.0|-5.0|-13.0|10.0|10.0
clay|Van De Zandschulp B.|NLD|Right-Handed|1.39|Kopriva V.|CZE|Right-Handed|2.99|0.0|4.0|775.0|14.0|10.0
clay|Piros Z.|HUN|Right-Handed|1.65|Popko D.|KAZ|Right-Handed|2.15|0.0|-4.0|-282.0|-19.0|-11.0
hard|Ritschard A.|CHE|Right-Handed|1.64|Ugo Carabelli C.|ARG|Right-Handed|2.18|0.0|6.0|-115.0|-1.0|8.0
clay|Goffin D.|BEL|Right-Handed|2.26|Andujar P.|ESP|Right-Handed|1.63|0.0|-4.0|-9.0|-10.0|0.0
clay|Arnaboldi A.|ITA|Left-Handed|1.66|Vatutin A.|RUS|Right-Handed|2.13|0.0|8.0|-42.0|3.0|2.0
clay|Mager G.|ITA|Right-Handed|1.26|Fabbiano T.|ITA|Right-Handed|3.63|0.0|-7.0|611.0|7.0|15.0
clay|O'Connell C.|AUS|Right-Handed|1.13|Lamasine T.|FRA|Right-Handed|5.66|0.0|-1.0|277.0|9.0|0.0
clay|Forejtek J.|CZE|Right-Handed|2.01|Klein L.|SVK|Right-Handed|1.74|0.0|-3.0|-149.0|-14.0|-13.0
clay|Gombos N.|SVK|Right-Handed|1.22|Roca Batalla O.|ESP|Right-Handed|4.06|0.0|0.0|470.0|10.0|20.0
clay|Trungelliti M.|ARG|Right-Handed|1.35|Geerts M.|BEL|Right-Handed|3.08|0.0|7.0|137.0|5.0|0.0
clay|Carballes Baena R.|ESP|Right-Handed|1.49|Sousa J.|PRT|Right-Handed|2.63|0.0|-5.0|45.0|3.0|-2.0
