Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Kotov P.|RUS|Right-Handed|1.45|Rosol L.|CZE|Right-Handed|2.62|0.0|-13.0|-88.0|3.0|-2.0
hard|Berrettini M.|ITA|Right-Handed|2.23|Alcaraz C.|ESP|Right-Handed|1.66|0.0|6.0|2959.0|23.0|11.0
indoors|Silva F.|PRT|Left-Handed|3.49|Pospisil V.|CAN|Right-Handed|1.28|0.0|-5.0|-793.0|-14.0|-15.0
indoors|Halys Q.|FRA|Right-Handed|1.41|Moroni G.|ITA|Right-Handed|2.75|0.0|1.0|233.0|-3.0|6.0
indoors|Hemery C.|FRA|Right-Handed|1.64|Lokoli L.|FRA|Right-Handed|2.12|0.0|-2.0|247.0|5.0|3.0
hard|Kecmanovic M.|SRB|Right-Handed|2.56|Sonego L.|ITA|Right-Handed|1.52|0.0|0.0|-1024.0|-1.0|-8.0
hard|Mannarino A.|FRA|Left-Handed|4.1|Karatsev A.|RUS|Right-Handed|1.24|0.0|5.0|-1674.0|-6.0|-5.0
clay|Galan D.|COL|Right-Handed|1.94|Ugo Carabelli C.|ARG|Right-Handed|1.81|0.0|4.0|-31.0|-11.0|6.0
clay|Dellien H.|BOL|Right-Handed|1.19|Sakamoto P.|BRA|Right-Handed|4.39|0.0|1.0|555.0|-3.0|2.0
indoors|Chung Y.|KOR|Right-Handed|1.39|Sakharov G.|FRA|Right-Handed|2.74|0.0|-8.0|-90.0|-2.0|-7.0
hard|Monfils G.|FRA|Right-Handed|1.07|Garin C.|CHL|Right-Handed|8.73|0.0|7.0|-2.0|0.0|8.0
clay|Rodriguez Taverna S.|ARG|Right-Handed|2.44|Cerundolo F.|ARG|Right-Handed|1.52|0.0|2.0|-295.0|4.0|6.0
hard|Nadal R.|ESP|Left-Handed|1.19|Khachanov K.|RUS|Right-Handed|4.84|0.0|10.0|3127.0|-2.0|-13.0
clay|Lama G.|CHL|Right-Handed|2.39|Mena F.|ARG|Right-Handed|1.54|0.0|0.0|-325.0|4.0|-3.0
