Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Czech league|||Kopriva V.|CzechRepublic|2015|69.0|178.0|right|27.0|Barton H.|CzechRepublic|2020|||right|20.0|indoors|20231219
Czech league|||Lehecka J.|CzechRepublic|2017|80.0|183.0|right|22.0|Vrbensky M.|CzechRepublic|2016|65.0|180.0|right|24.0|indoors|20231219
Czech league|||Svrcina D.|CzechRepublic|2017|68.0|178.0|right|21.0|Nicod J.|CzechRepublic|2020|||right|20.0|indoors|20231219
Czech league|||Mensik J.|CzechRepublic|2020|||right|18.0|Rikl P.|CzechRepublic|2014|80.0|185.0|right|25.0|indoors|20231219
Czech league|2.33|1.52|Loutit J.|NewZealand|2022|||left|20.0|Hudd E.|GreatBritain|2017|||right|24.0|indoors|20231219
Czech league|1.43|4.17|Becroft I.|NewZealand|2018|||right|23.0|Brown P.|USA|2017|||left|23.0|indoors|20231219
Czech league|1.08|6.74|Adams H.|USA|2011|73.0|183.0|right|30.0|Ryan Ziegann S.|Australia|2017|||right|26.0|indoors|20231219
Czech league|1.09|6.22|Bouzige M.|Australia|2017|78.0|180.0|right|25.0|Falck R.|NewZealand|2020|||right|22.0|indoors|20231219
Czech league|1.09|6.22|Dellavedova M.|Australia|2015|81.0|191.0|right|24.0|Delaney J.|Australia|2014|||right|25.0|indoors|20231219
Czech league|6.84|1.07|Shepp A.|NewZealand|2020|||right|21.0|Smith K.|USA|2016|93.0|198.0|right|26.0|indoors|20231219
Czech league|1.74|1.92|Chirita I.|Romania|2020|||right|21.0|Perruzza V.|Italy|2018|||right|24.0|indoors|20231219
Czech league|1.12|5.28|Nesterov P.|Bulgaria|2019|||right|21.0|Misasi G.|Italy|2018|||right|23.0|indoors|20231219
Czech league|1.39|2.71|Brancatelli G.|USA|2022|||right|21.0|Jermar J.|CzechRepublic|2018|||right|24.0|indoors|20231219
Czech league|1.95|1.74|Pieri S.|Italy|2021|||right|22.0|Jecan M.|Romania|2004|73.0|180.0|left|36.0|indoors|20231219
Czech league|2.91|1.35|Woerner P.|Germany|2010|||right|27.0|Noce G.|Italy|2011|||right|28.0|indoors|20231219
Czech league|7.00|1.06|Pade C.|Australia|2023|||right|19.0|Oplustil P.|CzechRepublic|2022|||right|19.0|indoors|20231219
Czech league|1.01|8.25|Dellavedova M.|Australia|2015|81.0|191.0|right|24.0|Quispe-Kim D.|NewZealand|2023|||right|19.0|indoors|20231219
Czech league|1.57|2.26|Hudd E.|GreatBritain|2017|||right|24.0|Brosset S.|France|2017|||left|26.0|indoors|20231219
Czech league|1.67|2.07|Ryan Ziegann S.|Australia|2017|||right|26.0|Gadecki T.|Australia|2021|||right||indoors|20231219
Czech league|1.22|3.77|Bradshaw J.|Australia|2021|||right|21.0|Charlton J.|Australia|2016|||right|25.0|indoors|20231219
Czech league|1.07|6.85|Smith K.|USA|2016|93.0|198.0|right|26.0|Kalyanpur A.|India|2016|78.0|188.0|right|24.0|indoors|20231219
Czech league|2.07|1.66|Loutit J.|NewZealand|2022|||left|20.0|Kuhar M.|USA|2015|||right|28.0|indoors|20231219
UTR Pro Tennis Series|2.07|1.66|Cavrak K.|Australia|2016|||right|23.0|Karakas K.|Turkey|2021|||right|18.0|hard|20231219
UTR Pro Tennis Series|1.83|1.84|Sorensen L.|Australia|2022|||right|22.0|Van Rensburg S.|Australia|2015|||right|23.0|hard|20231219
