Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Rotterdam|1.43|2.80|Rublev A.|Russia|2013|70.0|188.0|right|26.0|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|indoors|20240214
Rotterdam|1.10|7.10|Sinner J.|Italy|2015|76.0|188.0|right|23.0|Van De Zandschulp B.|Netherlands|2011|83.0|188.0|right|28.0|indoors|20240214
Rotterdam|1.19|4.77|De Minaur A.|Australia|2015|69.0|183.0|right|25.0|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|indoors|20240214
Rotterdam|1.79|2.01|Rune H.|Denmark|2018|68.0|185.0|right|21.0|Safiullin R.|Russia|2013|75.0|185.0|right|27.0|indoors|20240214
Rotterdam|2.51|1.52|Raonic M.|Canada|2005|98.0|196.0|right|33.0|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|indoors|20240214
Rotterdam|1.20|4.53|Dimitrov G.|Bulgaria|2007|81.0|191.0|right|33.0|Sonego L.|Italy|2013|76.0|191.0|right|29.0|indoors|20240214
Rotterdam|2.36|1.58|Monfils G.|France|2003|85.0|193.0|right|37.0|Shapovalov D.|Canada|2013|75.0|185.0|left|25.0|indoors|20240214
Rotterdam|2.20|1.66|Ruusuvuori E.|Finland|2014|79.0|188.0|right|25.0|Humbert U.|France|2014|73.0|188.0|left|26.0|indoors|20240214
Delray Beach|2.54|1.52|Hijikata R.|Australia|2016|68.0|178.0|right|23.0|Arnaldi M.|Italy|2018|||right|23.0|hard|20240214
Delray Beach|1.68|2.18|Kypson P.|USA|2015|79.0|188.0|right|24.0|Lestienne C.|France|2009|77.0|180.0|right|32.0|hard|20240214
Delray Beach|1.96|1.84|Michelsen A.|USA|2021|||right|19.0|Kokkinakis T.|Australia|2010|84.0|193.0|right|28.0|hard|20240214
Delray Beach|1.31|3.41|Giron M.|USA|2008|77.0|180.0|right|31.0|Nava E.|USA|2016|74.0|183.0|right|22.0|hard|20240214
Buenos Aires|2.29|1.62|Diaz Acosta F.|Argentina|2017|73.0|183.0|left|23.0|Cerundolo F.|Argentina|2016|78.0|185.0|right|26.0|clay|20240214
Buenos Aires|2.17|1.68|Lajovic D.|Serbia|2005|83.0|183.0|right|34.0|Tabilo A.|Chile|2013|75.0|188.0|left|27.0|clay|20240214
Buenos Aires|1.31|3.43|Etcheverry T.|Argentina|2014|82.0|196.0|right|25.0|Galan D.|Colombia|2011|72.0|191.0|right|28.0|clay|20240214
Buenos Aires|1.24|4.06|Baez S.|Argentina|2016|70.0|170.0|right|23.0|Zapata Miralles B.|Spain|2012|82.0|183.0|right|27.0|clay|20240214
Manama challenger|1.04|10.33|Gasquet R.|France|2002|79.0|183.0|right|38.0|Buldorini P.|Italy|2022|||right|20.0|hard|20240214
Manama challenger|1.59|2.29|Harris B.|GreatBritain|2013|86.0|191.0|right|29.0|Elias G.|Portugal|2006|76.0|183.0|right|33.0|hard|20240214
Manama challenger|1.81|1.93|Shelbayh A.|Jordan|2019|||left|20.0|Fognini F.|Italy|2002|79.0|178.0|right|37.0|hard|20240214
Manama challenger|1.90|1.83|Rincon D.|Spain|2019|||left|21.0|Lokoli L.|France|2010|78.0|188.0|right|29.0|hard|20240214
Manama challenger|1.71|2.07|Kukushkin M.|Kazakhstan|2005|72.0|183.0|right|36.0|Ritschard A.|Switzerland|2009|82.0|193.0|right|30.0|hard|20240214
Manama challenger|1.23|3.89|Mensik J.|CzechRepublic|2020|||right|18.0|Fatic N.|BosniaandHerzeg.|2010|88.0|191.0|right|29.0|hard|20240214
Manama challenger|1.57|2.22|Dzumhur D.|BosniaandHerzeg.|2008|68.0|175.0|right|32.0|Andreev A.|Bulgaria|2015|66.0|180.0|right|23.0|hard|20240214
Manama challenger|2.11|1.68|Trungelliti M.|Argentina|2006|78.0|178.0|right|34.0|Dougaz A.|Tunisia|2013|80.0|188.0|left|27.0|hard|20240214
Bangalore challenger|1.54|2.32|Hong S.|SouthKorea|2012|65.0|175.0|right|27.0|Zakharov A.|Russia|2017|80.0|185.0|right|24.0|hard|20240214
Bangalore challenger|2.14|1.66|Roca Batalla O.|Spain|2008|75.0|173.0|right|31.0|Boyer T.|USA|2016|||right|23.0|hard|20240214
Bangalore challenger|2.38|1.51|Kasnikowski M.|Poland|2020|||right|21.0|Bonzi B.|France|2013|76.0|185.0|right|28.0|hard|20240214
Bangalore challenger|3.16|1.34|Ramanathan R.|India|2009|80.0|188.0|right|29.0|Nardi L.|Italy|2018|||right|21.0|hard|20240214
