Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
ATP Cup|2.06|1.75|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|Bautista-Agut R.|Spain|2002|75.0|183.0|right|36.0|hard|20220109
ATP Cup|2.33|1.60|Shapovalov D.|Canada|2013|75.0|185.0|left|25.0|Carreno-Busta P.|Spain|2006|78.0|188.0|right|33.0|hard|20220109
Adelaide|1.60|2.36|Monfils G.|France|2003|85.0|193.0|right|37.0|Khachanov K.|Russia|2011|87.0|198.0|right|28.0|hard|20220109
Melbourne Summer Set 1|1.15|5.63|Nadal R.|Spain|2001|85.0|185.0|left|38.0|Cressy M.|USA|2015|88.0|201.0|right|27.0|hard|20220109
Bendigo challenger|1.51|2.48|Escobedo E.|Mexico|2010|82.0|185.0|right|28.0|Couacaud E.|France|2012|78.0|183.0|right|29.0|hard|20220109
Traralgon challenger|1.48|2.55|Machac T.|CzechRepublic|2016|73.0|183.0|right|23.0|Fratangelo B.|USA|2009|79.0|183.0|right|31.0|hard|20220109
Buenos Aires 3 challenger|1.51|2.47|Rodriguez Taverna S.|Argentina|2014|82.0|191.0|right|25.0|Diaz Acosta F.|Argentina|2017|73.0|183.0|left|23.0|clay|20220109
Forli 4 challenger|1.38|2.92|Nardi L.|Italy|2018|||right|21.0|Mukund S.|India|2012|78.0|185.0|right|27.0|indoors|20220109
Forli 4 challenger|1.19|4.16|Mansouri S.|Tunisia|2010|86.0|193.0|right|29.0|Oradini G.|Italy|2012|||left|26.0|indoors|20220109
Forli 4 challenger|1.76|1.97|Blanchet U.|France|2015|||right|25.0|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|indoors|20220109
Forli 4 challenger|3.17|1.31|Chepelev A.|Russia|2015|||left|26.0|Lavagno E.|Italy|2014|||left|26.0|indoors|20220109
UTR Pro Match Series|1.61|2.19|Nidunjianzan T.|USA|2021|||right|23.0|Moreno A.|Mexico|2007|||right|34.0|Varioussurfaces|20220109
UTR Pro Match Series|1.08|6.83|Stodder T.|Germany|2012|66.0|180.0|right|28.0|Murphy P.|USA|2021|||right|22.0|Varioussurfaces|20220109
UTR Pro Match Series|2.00|1.73|Johnson J.|USA|2017|||right|24.0|Kotzen A.|USA|2018|||right|24.0|Varioussurfaces|20220109
UTR Pro Match Series|1.53|2.38|Schachter N.|USA|2017|||right|25.0|Brown A.|USA|2015|91.0|198.0|left|25.0|Varioussurfaces|20220109
UTR Pro Tennis Series 6|1.53|2.38|Snitari I.|Moldavsko|2020|||right|22.0|Gengel M.|CzechRepublic|2014|80.0|185.0|right|28.0|hard|20220109
UTR Pro Tennis Series 6|1.53|2.38|Pichler D.|Austria|2013|70.0|178.0|right|28.0|Al Allaf K.|USA|2015|69.0|180.0|right|26.0|hard|20220109
Adelaide 2|1.53|2.38|Nys H.|Monaco|2008|78|185|right|33|Walkin B.|GreatBritain|2013|85.0|188.0|right|30.0|hard|20220109
Adelaide 2|1.26|3.73|Gerasimov E.|Belarus|2008|86.0|196.0|right|31.0|Cerundolo J.|Argentina|2016|68.0|183.0|left|22.0|hard|20220109
Adelaide 2|1.12|5.94|Monteiro T.|Brazil|2008|78.0|183.0|left|30.0|Bourchier H.|Australia|2010|78.0|185.0|right|28.0|hard|20220109
Adelaide 2|1.81|1.94|Johnson S.|USA|2005|86.0|188.0|right|34.0|Otte O.|Germany|2010|79.0|193.0|right|31.0|hard|20220109
Adelaide 2|1.02|14.00|Nishioka Y.|Japan|2011|64.0|170.0|left|28.0|Addison A.|Australia|2012|82.0|191.0|right|28.0|hard|20220109
Adelaide 2|1.02|14.00|Saville L.|Australia|2008|83|188|right|30|Fancutt T.|Australia|2012|||right|29.0|hard|20220109
Adelaide 2|2.23|1.63|Moutet C.|France|2014|68.0|175.0|left|25.0|Rune H.|Denmark|2018|68.0|185.0|right|21.0|hard|20220109
Adelaide 2|1.32|3.25|Carballes Baena R.|Spain|2009|77.0|183.0|right|31.0|Smith J.|Australia|2007|84.0|188.0|left|35.0|hard|20220109
Blumenau challenger|1.09|6.56|Pereira J.|Brazil|2005|74.0|180.0|right|33.0|Roveri Sidney G.|Brazil|2013|||left|27.0|clay|20220109
Blumenau challenger|1.16|4.25|Huertas Del Pino C.|Peru|2012|86.0|188.0|right|28.0|Merino A.|Peru|2008|78.0|183.0|left|32.0|clay|20220109
Blumenau challenger|7.00|1.08|Tumasonis G.|Brazil|2012|||left|28.0|Deckers A.|Netherlands|2017|82.0|193.0|right|24.0|clay|20220109
Blumenau challenger|1.14|4.50|Leite W.|Brazil|2008|72.0|178.0|right|32.0|Barreiros Reyes M.|Brazil|2017|||left|23.0|clay|20220109
Blumenau challenger|1.01|15.00|Zeballos F.|Bolivia|2004|75.0|185.0|right|36.0|Antunes Burckhardt M.|Brazil|2022|||right|20|clay|20220109
Blumenau challenger|1.03|12.40|Carou I.|Uruguay|2015|70.0|178.0|right|25.0|Almeida G.|Brazil|2022|||right|38|clay|20220109
Blumenau challenger|1.17|4.80|Lipovsek Puches T.|Slovenia|2010|||right|31.0|Arias B.|Bolivia|2009|76.0|185.0|right|30.0|clay|20220109
Blumenau challenger|1.05|8.32|Ribeiro E.|Brazil|2015|||right|26.0|Fernandez B.|Brazil|2021|||right|20|clay|20220109
Blumenau challenger|1.03|10.38|Nusdeo J.|Brazil|2009|||right|29|Pinto P.|Brazil|2022|||right||clay|20220109
Forli 5 challenger|1.61|2.20|Martineau M.|France|2014|76.0|183.0|right|25.0|Bondarevskiy Y.|Russia|2015|71.0|191.0|left|24.0|indoors|20220109
Forli 5 challenger|1.58|2.21|Brouwer G.|Netherlands|2013|72.0|191.0|left|28.0|Lazarov A.|Bulgaria|2015|84.0|191.0|right|26.0|indoors|20220109
Forli 5 challenger|1.50|2.43|McHugh A.|GreatBritain|2016|70.0|178.0|right|24.0|Ejupovic E.|Germany|2009|90.0|193.0|right|31.0|indoors|20220109
Forli 5 challenger|1.21|3.81|Geerts M.|Belgium|2013|73.0|178.0|right|29.0|Passaro F.|Italy|2017|||right|23.0|indoors|20220109
Forli 5 challenger|1.01|16.07|Arnaldi M.|Italy|2018|||right|23.0|Angelini L.|Italy|2021|||right|18.0|indoors|20220109
Forli 5 challenger|1.51|2.49|Yevseyev D.|Kazakhstan|2009|75.0|189.0|right|31.0|Vrbensky M.|CzechRepublic|2016|65.0|180.0|right|24.0|indoors|20220109
Forli 5 challenger|1.01|24.07|Andreev A.|Bulgaria|2015|66.0|180.0|right|23.0|Capacci C.|Italy|2022|||right|19|indoors|20220109
Forli 5 challenger|1.14|5.09|Vatutin A.|Russia|2009|69.0|178.0|right|31.0|Weis A.|Italy|2014|83.0|188.0|right|27.0|indoors|20220109
Forli 5 challenger|2.34|1.53|Setkic A.|BosniaandHerzeg.|2004|86.0|191.0|right|36.0|Sels J.|Netherlands|2010|83.0|188.0|right|29.0|indoors|20220109
Forli 5 challenger|1.12|5.50|Jahn J.|Germany|2006|73.0|178.0|right|34.0|Dragoni A.|Italy|2013|||right|27|indoors|20220109
Forli 5 challenger|1.81|1.81|Hemery C.|France|2012|83.0|191.0|right|29.0|Kumar O.|USA|2016|||left|22.0|indoors|20220109
Forli 5 challenger|1.31|3.19|Jubb P.|GreatBritain|2016|69.0|180.0|right|24.0|Dambrosi G.|Italy|2015|||right|23|indoors|20220109
Forli 5 challenger|1.21|3.93|Schurdevin L.|France|2021|||right||Droin B.|France|2022|||right|22|indoors|20220109
Forli 5 challenger|1.57|2.21|Raquillet L.|France|2022|||right|18.0|Chusseau L.|France|2022|||right|18|indoors|20220109
Forli 5 challenger|1.05|7.92|Jardin H.|France|2018|||right|23|Melzer L.|Luxembourg|2016|||left|22|indoors|20220109
Forli 5 challenger|3.66|1.23|Southcombe M.|GreatBritain|2021|||right|21.0|Weightman O.|GreatBritain|2018|||right|22.0|indoors|20220109
Forli 5 challenger|1.95|1.72|Gibbens J.|GreatBritain|2015|||right|27.0|Blaydes B.|GreatBritain|2022|||right||indoors|20220109
Forli 5 challenger|1.29|3.21|Deflandre L.|France|2021|||left|22.0|Bourne A.|France|2018|||right|26|indoors|20220109
Forli 5 challenger|1.05|7.38|Shaw M.|GreatBritain|2014|||right|25|Hou Y.|GreatBritain|2019|||right||indoors|20220109
Forli 5 challenger|1.05|7.38|Kouni R.|Tunisia|2018|||right|39.0|Ross A.|USA|2012|||right|27.0|indoors|20220109
Forli 5 challenger|1.05|7.38|Ruenger R.|Germany|2016|||right|25.0|Berg B.|Switzerland|2021|||right|48.0|indoors|20220109
Forli 5 challenger|1.05|7.38|Nadal Vives J.|Spain|2021|||right|20.0|Peters J.|Germany|2022|||right|19|indoors|20220109
Forli 5 challenger|1.05|7.38|Nadal Vives T.|Spain|2021|||right|18.0|Rao A.|USA|2022|||right|21|indoors|20220109
Forli 5 challenger|1.05|7.38|Da Silva L.|Germany|2020|||right|23|Buzgau S.|Spain|2022|||||indoors|20220109
Forli 5 challenger|1.22|3.76|Patoux B.|France|2022|||right||Teboul L.|Serbia|2021|||right||indoors|20220109
Forli 5 challenger|1.02|9.34|Jones B.|GreatBritain|2014|||right|26.0|Destefanis M.|Argentina|2014|77|183|right|27|indoors|20220109
Forli 5 challenger|1.02|9.34|Fernandez Ramis D.|Spain|2022|||||Tremblay D.|France|2020|||right||indoors|20220109
Forli 5 challenger|1.05|7.71|Sahtali T.|Algeria|2015|||right|25.0|Jovenin M.|France|2022|||right|18|indoors|20220109
Forli 5 challenger|1.05|7.71|Zielkowski E.|Sweden|2022|||right|20|Pahwa A.|India|2022|||right|20|indoors|20220109
Forli 5 challenger|1.05|7.71|Morazzi M.|Spain|2022|||right|18.0|Giovannini U.|Italy|2012|||right|26|indoors|20220109
Forli 5 challenger|1.05|7.71|Cabrera Bello I.|Spain|2020|||right|22.0|Sagar H.|India|2016|||right|29|indoors|20220109
Forli 5 challenger|1.05|7.71|Gravereau P.|France|2021|||right||Goel A.|India|2015|||right|28|indoors|20220109
Forli 5 challenger|1.05|7.71|Sakellaridis D.|Greece|2020|||right|18.0|Gochnauer S.|USA|2022|||||indoors|20220109
Forli 5 challenger|1.05|7.71|Maassen G.|USA|2013|||right|29.0|Stepanian A.|Argentina|2018|||right|24.0|indoors|20220109
Forli 5 challenger|1.05|7.71|Bonnaud A.|France|2021|||left|27.0|Lock T.|GreatBritain|2022|||right||indoors|20220109
Forli 5 challenger|1.05|7.71|Loosen T.|Germany|2021|||right||Bowles-Rokudo N.|Japan|2022|||right|19.0|indoors|20220109
Forli 5 challenger|1.05|7.71|Bonsach Ganley K.|Denmark|2020|||right|19.0|Tang J.|China|2021|||right||indoors|20220109
Forli 5 challenger|1.10|5.76|Hands T.|GreatBritain|2018|||right|27|Beecher M.|GreatBritain|2017|||right|24.0|indoors|20220109
Forli 5 challenger|1.10|5.76|Karthik P.|India|2022|||right||Chodura S.|CzechRepublic|2022|||||indoors|20220109
Forli 5 challenger|1.53|2.31|Forrestier L.|France|2018|||right|24.0|Massard L.|France|2022|||right|19.0|indoors|20220109
Forli 5 challenger|1.05|7.38|Fox D.|GreatBritain|2011|||right|30|Gethin J.|HongKong|2022|||right|20|indoors|20220109
Forli 5 challenger|1.14|4.81|Moore E.|GreatBritain|2014|||right|26.0|Quayle D.|GreatBritain|2018|||right|24|indoors|20220109
Forli 5 challenger|1.14|4.81|Raman R.|India|2008|||right|31.0|Amara Y.|Tunisia|2016|||right|23|indoors|20220109
Forli 5 challenger|1.14|4.81|Wunderlich Y.|Germany|2020|||right|21.0|Labbene Y.|Tunisia|2020|||right||indoors|20220109
Forli 5 challenger|1.14|4.81|Bassem Sobhy M.|Egypt|2018|||right|20.0|Valle F.|Italy|2021|||right|24.0|indoors|20220109
