Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Madrid|4.74|1.19|Struff J.|Germany|2008|92.0|193.0|right|34.0|Tsitsipas S.|Greece|2013|89.0|193.0|right|26.0|clay|20230504
Madrid|1.60|2.35|Karatsev A.|Russia|2009|85.0|185.0|right|30.0|Zhang Z.|China|2012|87.0|193.0|right|27.0|clay|20230504
Aix en Provence challenger|1.38|2.91|Murray A.|GreatBritain|2002|83.0|190.0|right|37.0|Lokoli L.|France|2010|78.0|188.0|right|29.0|clay|20230504
Aix en Provence challenger|1.54|2.40|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|Virtanen O.|Finland|2016|||right|23.0|clay|20230504
Aix en Provence challenger|1.26|3.66|Paul T.|USA|2013|82.0|185.0|right|27.0|Blancaneaux G.|France|2014|75.0|180.0|right|26.0|clay|20230504
Aix en Provence challenger|2.56|1.48|Fils A.|France|2020|||right|20.0|Halys Q.|France|2011|78.0|191.0|right|27.0|clay|20230504
Aix en Provence challenger|3.78|1.25|Rodionov J.|Austria|2015|86.0|191.0|left|25.0|Etcheverry T.|Argentina|2014|82.0|196.0|right|25.0|clay|20230504
Aix en Provence challenger|1.26|3.74|Van Assche L.|France|2019|||right|20.0|Mannarino A.|France|2004|79.0|180.0|left|36.0|clay|20230504
Aix en Provence challenger|2.63|1.45|Mayot H.|France|2017|71.0|178.0|right|22.0|Nakashima B.|USA|2016|77.0|185.0|right|23.0|clay|20230504
Aix en Provence challenger|1.11|6.15|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|Added D.|France|2015|72.0|183.0|right|25.0|clay|20230504
Cagliari challenger|1.56|2.34|Shelton B.|USA|2021|||left|21.0|Marozsan F.|Hungary|2016|||right|24.0|clay|20230504
Cagliari challenger|2.08|1.71|Galan D.|Colombia|2011|72.0|191.0|right|28.0|Nishioka Y.|Japan|2011|64.0|170.0|left|28.0|clay|20230504
Cagliari challenger|1.30|3.37|Kokkinakis T.|Australia|2010|84.0|193.0|right|28.0|Giannessi A.|Italy|2006|82.0|185.0|left|34.0|clay|20230504
Cagliari challenger|1.94|1.81|Gojo B.|Croatia|2013|90.0|196.0|right|26.0|Watanuki Y.|Japan|2013|63.0|180.0|right|26.0|clay|20230504
Cagliari challenger|1.79|1.95|Daniel T.|Japan|2008|80.0|191.0|right|31.0|McDonald M.|USA|2009|73.0|178.0|right|29.0|clay|20230504
Cagliari challenger|1.56|2.34|Humbert U.|France|2014|73.0|188.0|left|26.0|Pellegrino A.|Italy|2012|81.0|185.0|right|27.0|clay|20230504
Cagliari challenger|1.41|2.81|Zeppieri G.|Italy|2016|78.0|185.0|left|22.0|Bellucci M.|Italy|2018|||left|23.0|clay|20230504
Cagliari challenger|1.29|3.44|Djere L.|Serbia|2011|82.0|188.0|right|29.0|Kovalik J.|Slovakia|2007|82.0|183.0|right|31.0|clay|20230504
Prague 2 challenger|1.83|1.92|Klein L.|Slovakia|2014|85.0|193.0|right|26.0|Agamenone F.|Italy|2008|82.0|188.0|right|31.0|clay|20230504
Prague 2 challenger|3.39|1.30|Kolar Z.|CzechRepublic|2013|76.0|185.0|right|27.0|Machac T.|CzechRepublic|2016|73.0|183.0|right|23.0|clay|20230504
Prague 2 challenger|1.32|3.25|Krajinovic F.|Serbia|2008|75.0|185.0|right|32.0|Gaio F.|Italy|2008|84.0|180.0|right|32.0|clay|20230504
