Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Indian Wells|1.77|2.07|Alcaraz C.|Spain|2018|72.0|185.0|right|21.0|Medvedev D.|Russia|2011|83.0|198.0|right|28.0|hard|20230320
Biel challenger|2.02|1.75|Kukushkin M.|Kazakhstan|2005|72.0|183.0|right|36.0|Celikbilek A.|Turkey|2012|72.0|185.0|right|27.0|indoors|20230320
Biel challenger|3.66|1.26|Hassan B.|Lebanon|2013|85.0|183.0|right|29.0|Ritschard A.|Switzerland|2009|82.0|193.0|right|30.0|indoors|20230320
Biel challenger|1.15|5.03|Broady L.|GreatBritain|2009|78.0|183.0|left|30.0|Durasovic V.|Norway|2013|80.0|185.0|right|27.0|indoors|20230320
Biel challenger|2.25|1.60|Kwiatkowski T.|USA|2010|82.0|188.0|right|29.0|Dougaz A.|Tunisia|2013|80.0|188.0|left|27.0|indoors|20230320
Las Franquesas del Valles challenger|3.48|1.28|Mansouri S.|Tunisia|2010|86.0|193.0|right|29.0|Svrcina D.|CzechRepublic|2017|68.0|178.0|right|21.0|hard|20230320
Las Franquesas del Valles challenger|1.30|3.40|Andreev A.|Bulgaria|2015|66.0|180.0|right|23.0|Merida Aguilar D.|Spain|2020|||right|19.0|hard|20230320
Las Franquesas del Valles challenger|1.49|2.49|Yunchaokete B.|China|2017|||right|22.0|Echeverria J.|Spain|2016|||right|22.0|hard|20230320
Las Franquesas del Valles challenger|2.74|1.42|Jorda Sanchis D.|Spain|2009|86.0|196.0|right|30.0|Leshem E.|Israel|2012|70.0|183.0|right|27.0|hard|20230320
Saint Brieuc challenger|1.75|2.00|Herbert P.|France|2006|75.0|188.0|right|33.0|Collignon R.|Belgium|2020|||right|22.0|indoors|20230320
Saint Brieuc challenger|1.43|2.70|Onclin G.|Belgium|2016|||right|23.0|Mochizuki S.|Japan|2018|||right|21.0|indoors|20230320
Zadar challenger|1.19|4.38|Cobolli F.|Italy|2017|||right|22.0|Poljicak M.|Croatia|2020|||right|20.0|clay|20230320
Zadar challenger|1.40|2.83|Piros Z.|Hungary|2015|68.0|180.0|right|24.0|Peniston R.|GreatBritain|2012|75.0|183.0|left|28.0|clay|20230320
Zadar challenger|3.03|1.35|Ajdukovic D.|Croatia|2015|75.0|185.0|right|23.0|Droguet T.|France|2017|||right|23.0|clay|20230320
Zadar challenger|1.35|3.03|Dzumhur D.|BosniaandHerzeg.|2008|68.0|175.0|right|32.0|Jianu F.|Romania|2016|70.0|180.0|right|22.0|clay|20230320
UTR Pro Tennis Series 3|2.10|1.64|Gagliardo L.|Italy|2017|||right|24.0|Galarza J.|Argentina|2010|81.0|183.0|right|30.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.30|3.13|Tenti F.|Argentina|2016|74.0|180.0|right|27.0|Aguilar Cardozo J.|Uruguay|2022|||right||Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.29|3.20|Ciurletti A.|Italy|2014|72.0|175.0|right|26.0|Aguilar Cardozo F.|Uruguay|2022|||right|19.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.29|3.20|Vilicich B.|Argentina|2019|||right||Postay A.|Argentina|2014|||right|27.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.05|7.00|Hidalgo G.|Argentina|2008|||right|34.0|Stater A.|USA|2017|||right|25.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|2.42|1.48|Hess S.|Argentina|2018|||right|23.0|Bruna N.|Chile|2014|||right|25.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.08|6.00|Egea F.|Argentina|2012|||right||Simonit E.|Argentina|2019|||right|22.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.05|7.50|Hidalgo G.|Argentina|2008|||right|34.0|Stater A.|USA|2017|||right|25.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.16|4.45|Carraro L.|Italy|2015|||right|26.0|Grandinetti T.|Argentina|2022|||right||Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.53|2.31|Vilaro A.|Argentina|2012|74.0|178.0|right|28.0|Cundom J.|Argentina|2018|||right|23.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.02|9.50|Andreozzi G.|Argentina|2007|78.0|183.0|right|33.0|Mouilleron Salvo M.|Argentina|2019|||right|21.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|1.02|9.50|Justo G.|Argentina|2017|||right|26.0|Rocco J.|Argentina|2016|||right|27|Varioussurfaces|20230320
UTR Pro Tennis Series 3|2.38|1.49|Arcuschin R.|Argentina|2023|||right||Labuckas M.|Argentina|2018|||right|26.0|Varioussurfaces|20230320
UTR Pro Tennis Series 3|2.31|1.53|Amarilla R.|Argentina|2022|||right|23.0|Bianchi N.|Argentina|2015|78.0|180.0|right|27.0|Varioussurfaces|20230320
Biel challenger|1.54|2.36|Forti F.|Italy|2016|80.0|191.0|right|25.0|Potenza L.|Italy|2016|||right|24.0|indoors|20230320
Biel challenger|1.50|2.45|Kivattsev K.|Russia|2015|80.0|193.0|right|26.0|Drzewiecki K.|Poland|2012|88.0|191.0|right|28.0|indoors|20230320
