url|Date|Location|Info|Player|pl1_bet|pl2_bet|ply
/player/bataljin/|20220301|Turin challenger|/match-detail/?id=2045270|Bataljin L.|1.03|9.1|p2
/player/tokuda-f9c9a/|20220301|Turin challenger|/match-detail/?id=2045132|Tokuda R.|1.47|2.47|p1
/player/addison-a190e/|20220301|Turin challenger|/match-detail/?id=2045132|Addison A.|1.47|2.47|p2
/player/guerrieri/|20220301|Turin challenger|/match-detail/?id=2045780|Guerrieri A.|2.01|1.72|p1
/player/bosio-f82d1/|20220301|Turin challenger|/match-detail/?id=2045780|Bosio G.|2.01|1.72|p2
/player/tabacco-3fc98/|20220301|Turin challenger|/match-detail/?id=2045772|Tabacco G.|1.84|1.84|p1
/player/rottoli/|20220301|Turin challenger|/match-detail/?id=2045772|Rottoli L.|1.84|1.84|p2
/player/tabur/|20220301|Turin challenger|/match-detail/?id=2045694|Tabur C.|1.95|1.76|p1
/player/ehrat/|20220301|Turin challenger|/match-detail/?id=2045694|Ehrat S.|1.95|1.76|p2
/player/deckers/|20220301|Turin challenger|/match-detail/?id=2045688|Deckers A.|1.72|1.99|p1
/player/ochi-91d1b/|20220301|Turin challenger|/match-detail/?id=2045688|Ochi M.|1.72|1.99|p2
/player/shimizu-38ca9/|20220301|Turin challenger|/match-detail/?id=2045696|Shimizu Y.|1.38|2.79|p1
/player/rocha-0492a/|20220301|Turin challenger|/match-detail/?id=2045696|Rocha H.|1.38|2.79|p2
/player/sharipov-a3d0a/|20220301|Turin challenger|/match-detail/?id=2045762|Sharipov M.|1.38|2.79|p1
/player/khabibulin/|20220301|Turin challenger|/match-detail/?id=2045762|Khabibulin T.|1.38|2.79|p2
/player/palan/|20220301|Turin challenger|/match-detail/?id=2045756|Palan D.|2.26|1.57|p1
/player/bondarevskiy/|20220301|Turin challenger|/match-detail/?id=2045756|Bondarevskiy Y.|2.26|1.57|p2
/player/dembek/|20220301|Turin challenger|/match-detail/?id=2045758|Dembek M.|1.03|9.39|p1
/player/aitkulov/|20220301|Turin challenger|/match-detail/?id=2045758|Aitkulov A.|1.03|9.39|p2
/player/medjedovic/|20220301|Turin challenger|/match-detail/?id=2045760|Medjedovic H.|1.2|4.0|p1
/player/lomakin-0fb5e/|20220301|Turin challenger|/match-detail/?id=2045760|Lomakin G.|1.2|4.0|p2
/player/kivattsev/|20220301|Turin challenger|/match-detail/?id=2045764|Kivattsev K.|2.16|1.62|p1
/player/bobrov/|20220301|Turin challenger|/match-detail/?id=2045764|Bobrov B.|2.16|1.62|p2
/player/jorda-sanchis/|20220301|Turin challenger|/match-detail/?id=2045514|Jorda Sanchis D.|3.19|1.32|p1
/player/mertens/|20220301|Turin challenger|/match-detail/?id=2045514|Mertens Y.|3.19|1.32|p2
/player/cox-75b8b/|20220301|Turin challenger|/match-detail/?id=2045520|Cox D.|1.16|4.59|p1
/player/rodenas/|20220301|Turin challenger|/match-detail/?id=2045520|Rodenas P.|1.16|4.59|p2
/player/manzanera-pertusa/|20220301|Turin challenger|/match-detail/?id=2045510|Manzanera Pertusa A.|1.89|1.81|p1
