Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Krumich M.|CZE|Right-Handed|2.22|Forejtek J.|CZE|Right-Handed|1.6|0.0|-1.0|136.0|7.0|3.0|-2.0|0.6200000000000001
hard|Mirzaganiev F.|UZB|Right-Handed|3.0|Chepik A.|RUS|Right-Handed|1.3|0.0|-10.0|-67.0|1.0|-2.0|-5.0|1.7
hard|Sallay P.|HUN|Right-Handed|7.5|Tyler J.|ITA|Right-Handed|1.05|0.0|-1.0|-67.0|1.0|-2.0|-2.0|6.45
hard|Tadic V.|FRA|Right-Handed|1.17|Russo S.|ARG|Right-Handed|4.17|0.0|-10.0|-67.0|1.0|-2.0|-11.0|-3.0
hard|Cui J.|CHN|Right-Handed|2.14|Noguchi R.|JPN|Right-Handed|1.64|1.0||131.0|9.0|15.0|1.0|0.5000000000000002
hard|Watanuki Y.|JPN|Right-Handed|1.32|Te R.|CHN|Right-Handed|3.23|0.0|1.0|310.0|-17.0|-8.0|0.0|-1.91
hard|Polukhin S.|RUS|Right-Handed|1.73|Ilkel C.|TUR|Right-Handed|2.03|1.0||182.0|-5.0|2.0|-4.0|-0.2999999999999998
hard|Chen Y.|FRA|Right-Handed|1.28|Rao A.|ITA|Right-Handed|3.23|0.0|-1.0|-67.0|1.0|-2.0|2.0|-1.95
hard|Van Nunen M.|NLD|Right-Handed|1.05|Gerbaud T.|FRA|Right-Handed|7.5|1.0||67.0|-1.0|2.0|3.0|-6.45
hard|Garcia M.|ITA|Right-Handed|1.05|Trifi A.|TUN|Right-Handed|7.5|1.0||67.0|-1.0|2.0|1.0|-6.45
hard|Pokorny L.|SVK|Right-Handed|1.44|Van Wyk K.|FRA|Right-Handed|2.66|1.0||67.0|-1.0|2.0|-5.0|-1.2200000000000002
clay|Sachko V.|UKR|Right-Handed|1.39|Heller P.|DEU|Right-Handed|2.81|0.0|-5.0|-112.0|-8.0|-2.0|-5.0|-1.4200000000000002
hard|Matsumura R.|JPN|Right-Handed|1.29|Horie T.|JPN|Right-Handed|3.16|0.0|5.0|-67.0|-8.0|-2.0|2.0|-1.87
hard|Villoslada E.|FRA|Right-Handed|1.17|Mineo F.|ITA|Right-Handed|4.17|0.0|2.0|-67.0|1.0|-2.0|2.0|-3.0
hard|Speziali F.|ITA|Right-Handed|1.34|Spiridon D.|ITA|Right-Handed|2.78|0.0|2.0|-67.0|1.0|-2.0|2.0|-1.4399999999999997
clay|Marti Pujolras A.|ESP|Right-Handed|1.3|Sanchez Quilez A.|ESP|Right-Handed|3.32|1.0||67.0|-1.0|2.0|6.0|-2.0199999999999996
hard|Murat Y.|KAZ|Right-Handed|13.25|Ambarzumjan E.|DEU|Right-Handed|1.0|1.0||67.0|-1.0|2.0|-6.0|12.25
clay|Bueno G.|PER|Right-Handed|1.83|Weis A.|ITA|Right-Handed|1.89|0.0|-4.0|-67.0|-5.0|-5.0|-7.0|-0.05999999999999983
clay|Pereira T.|PRT|Right-Handed|3.35|Chazal M.|FRA|Right-Handed|1.3|1.0||67.0|5.0|10.0|-11.0|2.05
hard|Mineo F.|ITA|Right-Handed|4.17|Villoslada E.|FRA|Right-Handed|1.17|1.0||67.0|-1.0|2.0|-2.0|3.0
hard|Konov S.|BGR|Right-Handed|1.17|Radu C.|ROU|Right-Handed|4.17|0.0|4.0|-67.0|1.0|-2.0|3.0|-3.0
hard|Bourgue M.|FRA|Right-Handed|1.95|Bertrand R.|FRA|Right-Handed|1.79|1.0||128.0|5.0|5.0|9.0|0.15999999999999992
hard|Gonzalez C.|CHL|Right-Handed|2.61|Postay A.|ARG|Right-Handed|1.4|1.0||67.0|-1.0|2.0|-4.0|1.21
hard|Donskoy E.|RUS|Right-Handed|1.94|Mott B.|AUS|Right-Handed|1.79|1.0||382.0|-2.0|5.0|6.0|0.1499999999999999
hard|Simonsson F.|SWE|Right-Handed|1.05|Van Den Berg R.|NLD|Right-Handed|7.33|0.0|6.0|-261.0|-2.0|3.0|1.0|-6.28
clay|Jianu F.|ROU|Right-Handed|1.65|Mikrut L.|HRV|Right-Handed|2.17|1.0||67.0|-8.0|-3.0|2.0|-0.52
Varioussurfaces|Rankin M.|FRA|Right-Handed|1.57|Hibbert T.|AUS|Right-Handed|2.25|0.0|0.0|-67.0|1.0|-2.0|0.0|-0.6799999999999999
hard|Duran T.|TUR|Right-Handed|7.25|Dodig M.|HRV|Right-Handed|1.08|1.0||67.0|-1.0|2.0|1.0|6.17
hard|Novo I.|ARG|Right-Handed|1.4|Capalbo F.|ARG|Right-Handed|2.61|0.0|-5.0|-67.0|1.0|-2.0|-2.0|-1.21
hard|Vlasceanu E.|ROU|Right-Handed|4.17|Cervantes Tomas I.|MEX|Right-Handed|1.17|1.0||67.0|-1.0|2.0|6.0|3.0
hard|Waterbolk I.|NLD|Right-Handed|1.28|Yam C.|HKG|Right-Handed|3.23|0.0|-12.0|-67.0|1.0|-2.0|-11.0|-1.95
hard|Sumizawa D.|JPN|Right-Handed|1.21|Hung K.|ITA|Right-Handed|3.74|0.0|7.0|-67.0|-10.0|-10.0|2.0|-2.5300000000000002
clay|Heller P.|DEU|Right-Handed|2.81|Sachko V.|UKR|Right-Handed|1.39|1.0||112.0|8.0|2.0|5.0|1.4200000000000002
hard|Ambarzumjan E.|DEU|Right-Handed|1.0|Murat Y.|KAZ|Right-Handed|13.25|0.0|1.0|-67.0|1.0|-2.0|6.0|-12.25
hard|Russo S.|ARG|Right-Handed|4.17|Tadic V.|FRA|Right-Handed|1.17|1.0||67.0|-1.0|2.0|11.0|3.0
hard|Yam C.|HKG|Right-Handed|3.23|Waterbolk I.|NLD|Right-Handed|1.28|1.0||67.0|-1.0|2.0|11.0|1.95
hard|Desousa J.|NLD|Right-Handed|7.5|Etty E.|NLD|Right-Handed|1.05|0.0|2.0|-67.0|1.0|-2.0|-2.0|6.45
hard|Cooper S.|FRA|Right-Handed|7.5|Brown A.|ITA|Left-Handed|1.05|0.0|3.0|-67.0|-13.0|-15.0|3.0|6.45
hard|Aleshchev A.|RUS|Right-Handed|1.05|Gray T.|AUS|Right-Handed|7.5|1.0||67.0|-1.0|2.0|-1.0|-6.45
hard|Pivnik O.|SVK|Right-Handed|3.58|Muamba N.|CAN|Right-Handed|1.23|0.0|-8.0|-67.0|-7.0|-2.0|-1.0|2.35
hard|Borrelli L.|ITA|Right-Handed|1.4|Hernandez C.|ESP|Right-Handed|2.61|0.0|-3.0|-67.0|1.0|-2.0|-4.0|-1.21
hard|Gueymard Wayenburg S.|FRA|Right-Handed|1.85|Poullain L.|FRA|Right-Handed|1.86|0.0|-9.0|-67.0|1.0|-2.0|-7.0|-0.010000000000000009
hard|Salton D.|ITA|Left-Handed|6.25|Watt J.|NZL|Right-Handed|1.08|1.0||67.0|-1.0|2.0|-2.0|5.17
hard|Pang R.|CHN|Right-Handed|1.28|Feng L.|CHN|Right-Handed|3.23|0.0|6.0|-67.0|1.0|-2.0|1.0|-1.95
clay|Nesterov P.|BGR|Right-Handed|1.54|Safwat M.|EGY|Right-Handed|2.34|0.0|-12.0|-176.0|-5.0|3.0|-12.0|-0.7999999999999998
hard|Pankin S.|RUS|Right-Handed|1.17|Zaytsev I.|RUS|Right-Handed|4.17|0.0|1.0|-67.0|1.0|-2.0|1.0|-3.0
hard|Emulins R.|LVA|Right-Handed|3.23|Gil Garcia A.|LUX|Right-Handed|1.28|1.0||67.0|1.0|-3.0|17.0|1.95
hard|D'Agostino S.|ITA|Right-Handed|3.07|Rispoli N.|ITA|Right-Handed|1.31|1.0||67.0|-1.0|2.0|-7.0|1.7599999999999998
hard|Falck R.|NZL|Right-Handed|2.22|Bacaloni A.|ITA|Right-Handed|1.56|0.0|2.0|-67.0|1.0|-2.0|0.0|0.6600000000000001
hard|Sim S.|KOR|Right-Handed|2.22|You D.|CHN|Right-Handed|1.56|0.0|6.0|-67.0|1.0|-2.0|7.0|0.6600000000000001
hard|Ota K.|JPN|Right-Handed|9.33|Sakagawa H.|JPN|Right-Handed|1.02|1.0||67.0|-1.0|2.0|3.0|8.31
hard|Tyler J.|ITA|Right-Handed|1.05|Sallay P.|HUN|Right-Handed|7.5|1.0||67.0|-1.0|2.0|2.0|-6.45
hard|Ganta S.|IND|Right-Handed|1.0|Miessen E.|COG|Right-Handed|13.25|0.0|3.0|-67.0|1.0|-2.0|6.0|-12.25
hard|Collignon K.|BEL|Right-Handed|7.5|Karthik P.|IND|Right-Handed|1.05|0.0|1.0|-67.0|1.0|-2.0|-4.0|6.45
hard|Vasilev D.|RUS|Right-Handed|13.25|Kumaran B.|IND|Right-Handed|1.0|1.0||67.0|-1.0|2.0|-3.0|12.25
hard|Leather J.|FRA|Right-Handed|7.5|Krajci M.|SVK|Right-Handed|1.05|0.0|0.0|-67.0|1.0|-2.0|4.0|6.45
hard|Fomin I.|RUS|Right-Handed|7.33|Inui Y.|JPN|Right-Handed|1.05|1.0||67.0|2.0|0.0|-10.0|6.28
hard|Hoogland J.|NLD|Right-Handed|7.33|Thurner N.|DEU|Right-Handed|1.05|1.0||67.0|-1.0|2.0|0.0|6.28
hard|Cretu C.|ROU|Right-Handed|3.55|Ymer E.|SWE|Right-Handed|1.28|1.0||-27.0|-2.0|2.0|-5.0|2.2699999999999996
hard|Gray T.|AUS|Right-Handed|7.5|Aleshchev A.|RUS|Right-Handed|1.05|0.0|-7.0|-67.0|1.0|-2.0|1.0|6.45
hard|Larue L.|FRA|Right-Handed|7.5|Rabbouche H.|TUN|Right-Handed|1.05|0.0|-3.0|-67.0|1.0|-2.0|0.0|6.45
hard|Lorusso L.|ITA|Right-Handed|1.16|Bataljin L.|AUS|Right-Handed|4.31|0.0|-5.0|-67.0|25.0|15.0|-4.0|-3.1499999999999995
hard|Voisin A.|ITA|Right-Handed|8.67|Kikuchi Y.|JPN|Right-Handed|1.02|1.0||67.0|-1.0|2.0|6.0|7.65
hard|Musitelli F.|FRA|Right-Handed|1.4|Bertimon C.|FRA|Right-Handed|2.55|0.0|1.0|-67.0|1.0|-2.0|1.0|-1.15
clay|Martin Tiffon P.|ESP|Right-Handed|1.67|Brancaccio R.|ITA|Right-Handed|2.07|1.0||156.0|1.0|0.0|-2.0|-0.3999999999999999
clay|Romano F.|ITA|Right-Handed|4.16|Olivieri G.|ARG|Right-Handed|1.2|1.0||41.0|4.0|10.0|-7.0|2.96
hard|Dodig M.|HRV|Right-Handed|1.08|Duran T.|TUR|Right-Handed|7.25|0.0|-2.0|-67.0|1.0|-2.0|-1.0|-6.17
hard|Zhang M.|CHN|Right-Handed|1.28|Koaykul K.|THA|Right-Handed|3.23|0.0|-10.0|-67.0|1.0|-2.0|-10.0|-1.95
clay|Guerrieri A.|ITA|Left-Handed|2.97|Picchione A.|ITA|Right-Handed|1.36|1.0||67.0|-1.0|2.0|-1.0|1.61
Varioussurfaces|Filar K.|POL|Right-Handed|1.25|Cherie Ligniere E.|ITA|Right-Handed|3.75|0.0|4.0|-67.0|1.0|-2.0|6.0|-2.5
clay|Crawford O.|FRA|Right-Handed|2.02|Giustino L.|ITA|Right-Handed|1.74|0.0|-10.0|-28.0|1.0|0.0|-7.0|0.28
hard|Arce Fernandez M.|ESP|Right-Handed|2.78|Tsitsipas P.|GRC|Right-Handed|1.34|1.0||285.0|-1.0|2.0|4.0|1.4399999999999997
hard|Safonov A.|RUS|Left-Handed|1.06|Khotchenkov E.|RUS|Right-Handed|6.83|0.0|0.0|-67.0|1.0|-2.0|-2.0|-5.77
hard|Cervantes Tomas I.|MEX|Right-Handed|1.17|Vlasceanu E.|ROU|Right-Handed|4.17|0.0|-4.0|-67.0|1.0|-2.0|-6.0|-3.0
hard|Vola T.|ITA|Right-Handed|1.05|Snoussi I.|TUN|Right-Handed|7.5|1.0||67.0|-1.0|2.0|4.0|-6.45
hard|Perez B.|VEN|Left-Handed|1.49|Nakanishi S.|JPN|Right-Handed|2.39|0.0|-3.0|-67.0|6.0|6.0|-4.0|-0.9000000000000001
clay|Olivieri G.|ARG|Right-Handed|1.2|Romano F.|ITA|Right-Handed|4.16|0.0|7.0|-41.0|-4.0|-10.0|7.0|-2.96
hard|Brown A.|ITA|Left-Handed|1.05|Cooper S.|FRA|Right-Handed|7.5|1.0||67.0|13.0|15.0|-3.0|-6.45
hard|Droguet T.|FRA|Right-Handed|1.35|Gray A.|ITA|Right-Handed|3.03|0.0|-1.0|58.0|5.0|-5.0|-3.0|-1.6799999999999997
hard|Parenti L.|ITA|Right-Handed|4.68|Simonit E.|ARG|Right-Handed|1.12|1.0||67.0|-1.0|2.0|-1.0|3.5599999999999996
hard|Shimabukuro S.|JPN|Right-Handed|1.43|Bai Y.|CHN|Right-Handed|2.67|0.0|-9.0|152.0|-5.0|-2.0|-8.0|-1.24
hard|Dubrouski M.|BLR|Right-Handed|1.29|Yadav Y.|IND|Right-Handed|3.17|0.0|-6.0|-67.0|1.0|-2.0|-2.0|-1.88
