Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Sandgren T.|AUS|Right-Handed|Paul T.|AUS|Right-Handed|0.0|5.0|131.0|6.0|3.0|6.0|-0.7599999999999998
hard|Bayldon B.|AUS|Left-Handed|Volonski N.|AUS|Right-Handed|1.0||-9.0|0.5|-3.0|3.0|1.52
clay|Ofner S.|AUT|Right-Handed|Miedler L.|AUT|Right-Handed|0.0|0.0|139.0|3.0|8.0|0.0|-2.6
hard|Tessa L.|FRA|Right-Handed|Laurent T.|FRA|Right-Handed|1.0||-9.0|0.5|-3.0|0.0|1.99
Varioussurfaces|Parizzia N.|CHE|Right-Handed|Martinez L.|CHE|Right-Handed|0.0|1.0|9.0|-0.5|3.0|0.0|-2.48
hard|Silva F.|PRT|Left-Handed|Borges N.|PRT|Right-Handed|0.0|2.0|57.0|-1.0|-7.0|2.0|0.6699999999999999
clay|Smith K.|AUS|Right-Handed|Chappell N.|AUS|Left-Handed|0.0|-6.0|163.0|11.0|20.0|-5.0|-0.3600000000000001
clay|Apltauer F.|CZE|Right-Handed|Horak V.|CZE|Right-Handed|1.0||-9.0|0.5|-3.0|-2.0|2.41
clay|Galovic V.|HRV|Right-Handed|Gigante M.|ITA|Left-Handed|0.0|11.0|40.0|9.5|8.0|11.0|-1.0799999999999998
clay|Damm M.|AUS|Left-Handed|Kubik K.|CZE|Right-Handed|0.0|0.0|9.0|-0.5|3.0|-2.0|-3.0900000000000003
Varioussurfaces|Mejia N.|COL|Right-Handed|Korda S.|AUS|Right-Handed|1.0||160.0|2.0|-8.0|0.0|1.3699999999999999
indoors|Martin T.|AUS|Right-Handed|Fery A.|AUS|Right-Handed|1.0||101.0|0.0|0.0|9.0|0.9000000000000001
indoors|Gray A.|AUS|Right-Handed|Samuel T.|AUS|Right-Handed|0.0|4.0|9.0|-5.5|3.0|4.0|-0.73
indoors|Broom C.|AUS|Right-Handed|Whitehouse M.|AUS|Right-Handed|1.0||-9.0|2.0|-10.0|-5.0|1.0100000000000002
clay|Rehacek M.|CZE|Right-Handed|Forejtek J.|CZE|Right-Handed|1.0||124.0|7.5|5.0|5.0|2.48
clay|Riffice S.|AUS|Right-Handed|Karlovskiy E.|RUS|Right-Handed|0.0|-6.0|-191.0|-8.0|-3.0|-5.0|0.32000000000000006
clay|Brymer G.|AUS|Right-Handed|Boyer D.|AUS|Right-Handed|0.0|2.0|9.0|-9.0|2.0|-2.0|-1.36
clay|Kubik K.|CZE|Right-Handed|Damm M.|AUS|Left-Handed|1.0||-9.0|0.5|-3.0|2.0|3.0900000000000003
hard|Tiafoe F.|AUS|Right-Handed|Querrey S.|AUS|Right-Handed|0.0|-11.0|-400.0|-9.0|-10.0|-10.0|0.77
clay|Sonego L.|ITA|Right-Handed|Taberner C.|ESP|Right-Handed|0.0|0.0|679.0|-2.0|8.0|2.0|-2.48
clay|Arconada J.|AUS|Right-Handed|Popko D.|KAZ|Right-Handed|1.0||-142.0|-13.0|-11.0|1.0|1.0299999999999998
hard|Leshem E.|ISR|Right-Handed|Guberman Y.|ISR|Right-Handed|0.0|3.0|-41.0|-8.5|-2.0|3.0|-7.4399999999999995
hard|Di Marco C.|AUS|Right-Handed|Salmon C.|AUS|Right-Handed|1.0||-9.0|0.5|-3.0|1.0|0.55
indoors|Stoute I.|AUS|Right-Handed|Jhun A.|AUS|Right-Handed|1.0||-9.0|1.0|-5.0|-1.0|0.0
Varioussurfaces|Korda S.|AUS|Right-Handed|Mejia N.|COL|Right-Handed|0.0|-1.0|-160.0|-2.0|8.0|0.0|-1.3699999999999999
hard|Bouzige M.|AUS|Right-Handed|Sach T.|AUS|Right-Handed|0.0|1.0|9.0|-0.5|-5.0|4.0|-1.8
clay|Lehecka J.|CZE|Right-Handed|Kellovsky D.|CZE|Right-Handed|0.0|-5.0|275.0|2.0|0.0|-6.0|-2.12
clay|Kodat T.|AUS|Right-Handed|Poljak D.|CZE|Right-Handed|0.0|-8.0|9.0|-4.0|-10.0|-7.0|2.9799999999999995
clay|Rys D.|CZE|Right-Handed|Svrcina D.|CZE|Right-Handed|1.0||-30.0|10.5|7.0|1.0|4.41
indoors|Gray J.|AUS|Right-Handed|Matusevich A.|AUS|Right-Handed|0.0|2.0|9.0|-4.5|0.0|4.0|1.87
clay|Novak D.|AUT|Right-Handed|Hampel L.|AUT|Right-Handed|0.0|2.0|402.0|2.0|-5.0|3.0|-1.89
indoors|Matusevich A.|AUS|Right-Handed|Gray J.|AUS|Right-Handed|1.0||-9.0|4.5|0.0|-4.0|-1.87
indoors|Glasspool L.|AUS|Right-Handed|Paris J.|AUS|Right-Handed|0.0|2.0|9.0|6.5|6.0|2.0|-4.6499999999999995
hard|Cacao T.|PRT|Right-Handed|Vale D.|PRT|Right-Handed|1.0||-9.0|8.0|2.0|1.0|-0.3999999999999999
hard|Ma W.|AUS|Right-Handed|Jasika O.|AUS|Left-Handed|1.0||47.0|25.0|0.0|2.0|4.37
clay|Brymer G.|AUS|Right-Handed|Nedelko I.|RUS|Right-Handed|0.0|-7.0|165.0|-10.0|0.0|-9.0|-1.01
clay|Boyer D.|AUS|Right-Handed|Brymer G.|AUS|Right-Handed|1.0||-9.0|9.0|-2.0|2.0|1.36
hard|Giron M.|AUS|Right-Handed|Klahn B.|AUS|Left-Handed|1.0||-68.0|2.0|-3.0|-3.0|-0.7299999999999998
hard|Ginat R.|ISR|Right-Handed|Oliel Y.|ISR|Left-Handed|1.0||102.0|0.5|-3.0|-1.0|4.42
hard|Johnson M.|AUS|Right-Handed|Shane R.|AUS|Right-Handed|1.0||216.0|-10.5|-8.0|-6.0|2.4000000000000004
clay|Gomez A.|COL|Right-Handed|Popko D.|KAZ|Right-Handed|0.0|4.0|-327.0|-2.0|-8.0|6.0|1.04
indoors|Harris B.|AUS|Right-Handed|Hodkin S.|AUS|Right-Handed|0.0|3.0|9.0|-4.0|6.0|4.0|-1.78
hard|Dellavedova M.|AUS|Right-Handed|Addison A.|AUS|Right-Handed|0.0|-3.0|9.0|-1.0|0.0|-4.0|0.99
clay|Kolar Z.|CZE|Right-Handed|Nouza P.|CZE|Right-Handed|0.0|2.0|37.0|-10.0|-8.0|2.0|-4.03
hard|Taylor A.|AUS|Right-Handed|Delaney J.|AUS|Right-Handed|1.0||-9.0|-2.0|-10.0|6.0|2.39
clay|Murillo S.|AUS|Right-Handed|Redlicki M.|AUS|Left-Handed|1.0||-9.0|-7.5|-18.0|-5.0|4.03
hard|McCabe J.|AUS|Right-Handed|Johnson C.|AUS|Right-Handed|0.0|-4.0|9.0|-2.0|5.0|-2.0|-1.9000000000000001
clay|Truhlar J.|CZE|Right-Handed|Sklenka V.|CZE|Right-Handed|1.0||-9.0|0.5|-3.0|-5.0|0.6699999999999999
Varioussurfaces|Gruenig G.|CHE|Right-Handed|Margaroli L.|CHE|Right-Handed|0.0|-9.0|9.0|-0.5|3.0|-8.0|-2.48
Varioussurfaces|Kirkov V.|AUS|Right-Handed|Lorenzi P.|ITA|Right-Handed|1.0||-227.0|-14.0|2.0|-17.0|0.5900000000000003
Varioussurfaces|Lanz M.|CHE|Right-Handed|Von Der Schulenburg H.|CHE|Right-Handed|1.0||-9.0|0.5|-3.0|0.0|2.48
Varioussurfaces|Staeheli L.|CHE|Right-Handed|Zimmermann I.|CHE|Right-Handed|0.0|2.0|9.0|-0.5|3.0|-2.0|-2.48
hard|Mercier T.|AUS|Right-Handed|Hurrion M.|AUS|Right-Handed|1.0||-9.0|-1.0|3.0|8.0|-1.3300000000000003
hard|Addison A.|AUS|Right-Handed|Dellavedova M.|AUS|Right-Handed|1.0||-9.0|1.0|0.0|4.0|-0.99
indoors|Hodkin S.|AUS|Right-Handed|Harris B.|AUS|Right-Handed|1.0||-9.0|4.0|-6.0|-4.0|1.78
Varioussurfaces|Mochizuki S.|JPN|Right-Handed|Mmoh M.|AUS|Right-Handed|0.0|-6.0|-180.0|-12.0|0.0|-5.0|4.140000000000001
hard|Hurrion M.|AUS|Right-Handed|Mercier T.|AUS|Right-Handed|0.0|-4.0|9.0|1.0|-3.0|-8.0|1.3300000000000003
indoors|Johnson L.|AUS|Right-Handed|Canter A.|AUS|Right-Handed|0.0|2.0|9.0|4.5|-2.0|4.0|-1.9
