Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
France - Championship|||Garcian A.|France|2018|||right|22.0|Cuenin S.|France|2018|||right|20.0|indoors|20231122
France - Championship|||Huesler M.|Switzerland|2014|88.0|196.0|left|28.0|Butvilas E.|Lithuania|2021|||right|20.0|indoors|20231122
France - Championship|||Barrere G.|France|2009|80.0|183.0|right|30.0|Dzumhur D.|BosniaandHerzeg.|2008|68.0|175.0|right|32.0|indoors|20231122
France - Championship|||Middelkoop M.|Netherlands|2002|85.0|191.0|right|41.0|Napolitano S.|Italy|2010|90.0|196.0|right|29.0|indoors|20231122
France - Championship|||Bertrand R.|France|2020|||right|21.0|Cayre P.|France|2011|||right|29.0|indoors|20231122
France - Championship|||Halys Q.|France|2011|78.0|191.0|right|27.0|Wallart E.|France|2013|||right|27.0|indoors|20231122
France - Championship|||Hemery C.|France|2012|83.0|191.0|right|29.0|Fanselow S.|Germany|2007|||right|32.0|indoors|20231122
France - Championship|||Mayot H.|France|2017|71.0|178.0|right|22.0|Gojowczyk P.|Germany|2005|83.0|188.0|right|35.0|indoors|20231122
France - Championship|||Added D.|France|2015|72.0|183.0|right|25.0|Piros Z.|Hungary|2015|68.0|180.0|right|24.0|indoors|20231122
France - Championship|||Martineau M.|France|2014|76.0|183.0|right|25.0|Lestienne C.|France|2009|77.0|180.0|right|32.0|indoors|20231122
France - Championship|||Bourgue M.|France|2010|83.0|188.0|right|30.0|Vankan M.|Germany|2017|||right|23.0|indoors|20231122
France - Championship|||Bonzi B.|France|2013|76.0|185.0|right|28.0|Melzer G.|Austria|2007|80.0|188.0|left|34.0|indoors|20231122
France - Championship|||Sachko V.|Ukraine|2013|68.0|183.0|right|27.0|Willems J.|Germany|2011|||left|29.0|indoors|20231122
France - Championship|||Jebens H.|Germany|2010|91.0|196.0|right|29.0|Boutillier R.|France|2012|75.0|188.0|right|34.0|indoors|20231122
France - Championship|||Choinski J.|GreatBritain|2012|80.0|196.0|right|28.0|Haliak M.|Belarus|2014|75.0|183.0|right|26.0|indoors|20231122
France - Championship|||Bedene A.|Slovenia|2006|73.0|183.0|right|35.0|De Bakker T.|Netherlands|2004|83.0|193.0|right|35.0|indoors|20231122
France - Championship|||Muller A.|France|2012|75.0|183.0|right|27.0|Erler A.|Austria|2013|83.0|193.0|right|26.0|indoors|20231122
France - Championship|||Pouille L.|France|2009|84.0|185.0|right|30.0|Chazal M.|France|2008|72.0|175.0|right|31.0|indoors|20231122
France - Championship|||Cagnina J.|Belgium|2011|72.0|183.0|right|30.0|Arribage T.|France|2015|||right|23.0|indoors|20231122
France - Championship|||Guinard M.|France|2013|81.0|196.0|right|28.0|Olivetti A.|France|2008|104.0|203.0|right|32.0|indoors|20231122
France - Championship|||Hassan B.|Lebanon|2013|85.0|183.0|right|29.0|Peniston R.|GreatBritain|2012|75.0|183.0|left|28.0|indoors|20231122
France - Championship|||Albot R.|Moldavsko|2006|69.0|175.0|right|34.0|Royer V.|France|2018|83.0|188.0|right|23.0|indoors|20231122
France - Championship|||Shevchenko A.|Kazakhstan|2017|70.0|185.0|right|23.0|Grenier H.|France|2013|85.0|196.0|right|28.0|indoors|20231122
France - Championship|||Hoang A.|France|2011|76.0|183.0|right|28.0|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|indoors|20231122
Brasília challenger|1.75|2.00|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|Sakamoto P.|Brazil|2008|78.0|178.0|right|31.0|hard|20231122
Brasília challenger|1.20|4.35|Tabilo A.|Chile|2013|75.0|188.0|left|27.0|Buse I.|Peru|2019|||right|20.0|hard|20231122
Brasília challenger|1.35|3.04|Boyer T.|USA|2016|||right|23.0|Olivo R.|Argentina|2007|73.0|180.0|right|32.0|hard|20231122
Brasília challenger|3.13|1.34|Rodriguez Taverna S.|Argentina|2014|82.0|191.0|right|25.0|Moreno De Alboran N.|USA|2013|82.0|185.0|right|27.0|hard|20231122
Brasília challenger|1.15|5.12|Garin C.|Chile|2010|85.0|185.0|right|28.0|Reis Da Silva J.|Brazil|2015|75.0|175.0|right|24.0|hard|20231122
Brasília challenger|1.15|5.12|Alves M.|Brazil|2015|||right|23.0|Romboli F.|Brazil|2004|81.0|180.0|right|35.0|hard|20231122
Brasília challenger|2.13|1.68|Heide G.|Brazil|2018|||right|22.0|Barrios Vera M.|Chile|2013|88.0|191.0|right|26.0|hard|20231122
Valencie challenger|1.29|3.41|Bautista-Agut R.|Spain|2002|75.0|183.0|right|36.0|Pellegrino A.|Italy|2012|81.0|185.0|right|27.0|clay|20231122
