Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Great Ocean Road Open|1.42|2.87|Sinner J.|Italy|2015|76.0|188.0|right|23.0|Khachanov K.|Russia|2011|87.0|198.0|right|28.0|hard|20210206
Great Ocean Road Open|1.72|2.13|Travaglia S.|Italy|2007|80.0|185.0|right|32.0|Monteiro T.|Brazil|2008|78.0|183.0|left|30.0|hard|20210206
Murray River Open (Melbourne)|1.39|3.04|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|Moutet C.|France|2014|68.0|175.0|left|25.0|hard|20210206
Murray River Open (Melbourne)|1.74|2.11|Evans D.|GreatBritain|2005|75.0|175.0|right|34.0|Chardy J.|France|2002|75.0|188.0|right|37.0|hard|20210206
Antalya 2 challenger|1.62|2.26|Taberner C.|Spain|2013|78.0|183.0|right|27.0|Etcheverry T.|Argentina|2014|82.0|196.0|right|25.0|clay|20210206
Antalya 2 challenger|1.22|4.11|Munar J.|Spain|2012|76.0|183.0|right|27.0|Giannessi A.|Italy|2006|82.0|185.0|left|34.0|clay|20210206
Quimper 2 challenger|1.80|1.96|Zapata Miralles B.|Spain|2012|82.0|183.0|right|27.0|Gojowczyk P.|Germany|2005|83.0|188.0|right|35.0|indoors|20210206
Quimper 2 challenger|1.19|4.48|Nakashima B.|USA|2016|77.0|185.0|right|23.0|Lacko L.|Slovakia|2003|87.0|188.0|right|36.0|indoors|20210206
Quimper 2 challenger|1.33|3.04|Rune H.|Denmark|2018|68.0|185.0|right|21.0|Nava E.|USA|2016|74.0|183.0|right|22.0|indoors|20210206
Quimper 2 challenger|1.72|2.01|Elias G.|Portugal|2006|76.0|183.0|right|33.0|Brooksby J.|USA|2015|82.0|188.0|right|23.0|indoors|20210206
UTR Pro Tennis Series 4|1.72|2.01|Canas Garcia J.|Spain|2013|||right|27.0|Pla Malfeito J.|Spain|2010|||right|29.0|clay|20210206
