Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Nikles J.|CHE|Right-Handed|3.27|Marti Pujolras A.|ESP|Right-Handed|1.29|1.0||-261.0|-10.0|-15.0|2.0|1.98
clay|Cerundolo J.|ARG|Left-Handed|1.4|Soto M.|CHL|Right-Handed|2.82|0.0|0.0|-159.5|-11.0|-5.0|-3.0|-1.42
clay|Fernandez Flores D.|CHL|Right-Handed|6.19|Buse I.|PER|Right-Handed|1.09|1.0||159.5|1.0|3.0|3.0|5.1000000000000005
clay|Bertimon M.|FRA|Right-Handed|1.83|Rivet M.|FRA|Left-Handed|1.83|0.0|5.0|-159.5|-1.0|-3.0|4.0|0.0
hard|Walton A.|AUS|Right-Handed|2.93|Bolt A.|AUS|Left-Handed|1.37|0.0|-6.0|271.0|-8.0|2.0|-6.0|1.56
indoors|Grenier H.|FRA|Right-Handed|2.07|Gigante M.|ITA|Left-Handed|1.7|1.0||101.0|7.0|11.0|6.0|0.3699999999999999
hard|Martinez P.|ESP|Right-Handed|3.44|Lehecka J.|CZE|Right-Handed|1.31|1.0||-715.0|-4.0|2.0|5.0|2.13
clay|Zhang T.|CHN|Right-Handed|1.59|Zhang L.|CHN|Right-Handed|2.2|0.0|-5.0|-159.5|-1.0|-3.0|-3.0|-0.6100000000000001
hard|O'Connell C.|AUS|Right-Handed|1.77|Etcheverry T.|ARG|Right-Handed|2.04|0.0|3.0|-824.0|-4.0|-13.0|5.0|-0.27
hard|Kecmanovic M.|SRB|Right-Handed|2.03|Griekspoor T.|NLD|Right-Handed|1.77|1.0||-419.0|-10.0|-5.0|-4.0|0.2599999999999998
clay|Tang S.|CHN|Right-Handed|3.23|Haliak M.|BLR|Right-Handed|1.29|1.0||159.5|4.0|5.0|-2.0|1.94
clay|Karlovskiy E.|RUS|Right-Handed|1.41|Brunclik P.|CZE|Left-Handed|2.62|0.0|12.0|-322.5|6.0|3.0|12.0|-1.2100000000000002
clay|Stirbu C.|ROU|Right-Handed|4.98|Cina F.|ITA|Right-Handed|1.13|1.0||159.5|1.0|3.0|1.0|3.8500000000000005
clay|Monzon I.|ARG|Right-Handed|1.24|De La Fuente S.|ARG|Right-Handed|3.61|0.0|5.0|-159.5|-1.0|-3.0|4.0|-2.37
hard|Braund J.|AUS|Right-Handed|3.5|Papac T.|AUS|Right-Handed|1.28|1.0||159.5|4.0|-3.0|2.0|2.2199999999999998
indoors|Escoffier A.|FRA|Right-Handed|2.48|Mayot H.|FRA|Right-Handed|1.49|1.0||255.5|7.0|7.0|10.0|0.99
clay|Boscardin Dias P.|BRA|Right-Handed|1.53|Aguilar Cardozo J.|URY|Right-Handed|2.31|0.0|4.0|-159.5|-6.0|-8.0|-3.5|-0.78
hard|Papac T.|AUS|Right-Handed|1.28|Braund J.|AUS|Right-Handed|3.5|0.0|-2.0|-159.5|-4.0|3.0|-2.0|-2.2199999999999998
clay|Banthia S.|IND|Right-Handed|10.1|Houkes M.|NLD|Left-Handed|1.02|1.0||159.5|1.0|3.0|0.0|9.08
clay|Gaubas V.|LTU|Right-Handed|1.56|Nava E.|ITA|Right-Handed|2.33|1.0||338.5|5.0|5.0|-3.0|-0.77
hard|Shelton B.|ITA|Left-Handed|3.13|Opelka R.|ARG|Right-Handed|1.36|0.0|-8.0|-945.0|-24.0|-26.0|-5.0|1.7699999999999998
hard|Yevseyev D.|KAZ|Right-Handed|1.97|Wu T.|ITA|Right-Handed|1.72|1.0||159.5|-6.0|1.0|5.0|0.25
clay|Radulov I.|BGR|Right-Handed|2.12|Nijboer R.|NLD|Right-Handed|1.64|0.0|-5.0|-159.5|1.0|5.0|-6.0|0.4800000000000002
hard|Klintcharov A.|NZL|Right-Handed|1.44|Ryan Ziegann S.|AUS|Right-Handed|2.62|0.0|4.0|-159.5|-1.0|-3.0|2.0|-1.1800000000000002
clay|Lechno-Wasiutynski F.|POL|Right-Handed|6.86|Gengel M.|CZE|Right-Handed|1.07|1.0||159.5|-1.0|3.0|-9.0|5.79
clay|Paz J.|ARG|Right-Handed|4.63|Topo M.|DEU|Right-Handed|1.16|1.0||494.5|1.0|3.0|9.0|3.4699999999999998
clay|Karol M.|SVK|Right-Handed|1.83|Massard L.|FRA|Right-Handed|1.84|0.0|3.0|-159.5|11.0|10.0|2.0|-0.010000000000000009
clay|Andaloro F.|ITA|Right-Handed|1.35|Hernandez C.|ESP|Right-Handed|2.91|1.0||159.5|1.0|3.0|0.0|-1.56
clay|Nijboer R.|NLD|Right-Handed|1.64|Radulov I.|BGR|Right-Handed|2.12|1.0||159.5|-1.0|-5.0|6.0|-0.4800000000000002
clay|Summers M.|ARG|Left-Handed|1.92|Moroni F.|ITA|Right-Handed|1.77|1.0||159.5|1.0|3.0|2.0|0.1499999999999999
clay|Mager G.|ITA|Right-Handed|1.17|Winter Lopez B.|ESP|Right-Handed|4.41|0.0|6.0|370.5|-2.0|0.0|3.0|-3.24
clay|Pawelski M.|POL|Right-Handed|1.42|Ghazouani Durand Y.|FRA|Right-Handed|2.66|0.0|3.0|-159.5|-1.0|-3.0|-5.0|-1.2400000000000002
clay|Rivet M.|FRA|Left-Handed|1.83|Bertimon M.|FRA|Right-Handed|1.83|1.0||159.5|1.0|3.0|-4.0|0.0
Varioussurfaces|Ramirez T.|ARG|Right-Handed|3.75|Doria L.|ARG|Right-Handed|1.25|1.0||159.5|1.0|8.0|-6.5|2.5
clay|Zeng Y.|CHN|Right-Handed|5.75|Cui J.|CHN|Right-Handed|1.1|1.0||159.5|7.0|5.0|-4.0|4.65
clay|Galan D.|COL|Right-Handed|2.63|Fonio G.|ITA|Right-Handed|1.45|1.0||-38.0|-8.0|8.0|2.0|1.18
clay|Vincent A.|FRA|Right-Handed|1.19|Kumar O.|ITA|Left-Handed|4.18|1.0||462.5|1.0|3.0|4.0|-2.9899999999999998
Varioussurfaces|Otegui J.|ARG|Right-Handed|1.02|Riva M.|ARG|Right-Handed|11.0|0.0|3.0|-159.5|4.0|3.0|0.0|-9.98
hard|Rune H.|DNK|Right-Handed|1.52|Tabilo A.|CHL|Left-Handed|2.53|0.0|-5.0|4303.0|-7.0|-3.0|-6.0|-1.0099999999999998
clay|Beloborodko I.|UKR|Right-Handed|3.11|Visker N.|NLD|Right-Handed|1.32|1.0||159.5|1.0|3.0|1.0|1.7899999999999998
hard|Fritz T.|ARG|Right-Handed|1.31|Fils A.|FRA|Right-Handed|3.43|1.0||2809.0|8.0|8.0|6.0|-2.12
clay|Pujol Navarro B.|ESP|Left-Handed|7.41|Gakhov I.|RUS|Left-Handed|1.05|1.0||284.5|-1.0|-3.0|-5.0|6.36
clay|Dancu V.|ROU|Right-Handed|1.4|Cazacu D.|ROU|Left-Handed|2.68|1.0||159.5|1.0|3.0|5.0|-1.2800000000000002
indoors|Mayot H.|FRA|Right-Handed|1.49|Escoffier A.|FRA|Right-Handed|2.48|0.0|-9.0|-255.5|-7.0|-7.0|-10.0|-0.99
Varioussurfaces|Romano G.|ARG|Right-Handed|8.5|Bramajo S.|ARG|Right-Handed|1.05|1.0||159.5|1.0|3.0|-1.0|7.45
clay|Kumar O.|ITA|Left-Handed|4.18|Vincent A.|FRA|Right-Handed|1.19|0.0|0.0|-462.5|-1.0|-3.0|-4.0|2.9899999999999998
hard|Kotov P.|RUS|Right-Handed|1.16|Zhou Y.|CHN|Right-Handed|5.26|0.0|7.0|90.5|1.0|-2.0|6.0|-4.1
clay|Sim S.|KOR|Right-Handed|2.91|Huang T.|ITA|Right-Handed|1.35|1.0||159.5|1.0|3.0|3.0|1.56
