Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Vasilev A.|BGR|Right-Handed|3.56|Compagnucci T.|ITA|Right-Handed|1.25|1.0||128.0|0.0|0.0|-7.0|2.31
clay|Vilicich B.|ARG|Right-Handed|2.25|Egea F.|ARG|Right-Handed|1.58|1.0||128.0|0.0|0.0|0.0|0.6699999999999999
clay|McCormick T.|ITA|Right-Handed|1.31|Amoros Ramos P.|ESP|Right-Handed|3.14|0.0|-4.0|-128.0|0.0|0.0|-1.0|-1.83
clay|Yazdani A.|IRN|Right-Handed|4.35|Klok D.|RUS|Right-Handed|1.16|1.0||128.0|-4.0|5.0|-5.0|3.1899999999999995
clay|Samrej K.|THA|Right-Handed|1.16|Park S.|KOR|Right-Handed|4.43|0.0|7.0|-128.0|0.0|0.0|5.0|-3.2699999999999996
clay|Rodrigues P.|BRA|Right-Handed|1.48|Valente R.|ARG|Right-Handed|2.47|0.0|0.0|-128.0|0.0|0.0|-2.0|-0.9900000000000002
clay|De Vincentis M.|ITA|Left-Handed|1.06|Grosu R.|ROU|Right-Handed|7.7|0.0|8.0|-128.0|9.0|3.0|3.0|-6.640000000000001
clay|Den Ouden G.|NLD|Right-Handed|1.92|Draxl L.|CAN|Right-Handed|1.81|0.0|-4.0|-128.0|0.0|0.0|0.0|0.10999999999999988
hard|Svrcina D.|CZE|Right-Handed|2.05|Kukushkin M.|KAZ|Right-Handed|1.72|1.0||14.0|-4.0|-5.0|-15.0|0.32999999999999985
clay|Martin T.|FRA|Right-Handed|3.27|Peliwo F.|POL|Right-Handed|1.29|1.0||299.0|6.0|8.0|1.0|1.98
clay|Bravo A.|FRA|Right-Handed|10.02|Manzanera Pertusa A.|ESP|Right-Handed|1.01|1.0||128.0|0.0|0.0|-1.0|9.01
clay|Fanselow S.|DEU|Right-Handed|5.05|Kopriva V.|CZE|Right-Handed|1.15|1.0||22.0|9.0|7.0|5.0|3.9
hard|Sell K.|BRA|Right-Handed|1.48|Ficovich J.|ARG|Right-Handed|2.53|0.0|4.0|-128.0|3.0|-8.0|3.0|-1.0499999999999998
clay|Philibert N.|FRA|Right-Handed|9.6|Bax F.|FRA|Right-Handed|1.03|1.0||128.0|0.0|0.0|-6.0|8.57
hard|Mo Y.|CHN|Right-Handed|8.5|O'Connell C.|AUS|Right-Handed|1.06|1.0||-118.0|0.0|2.0|-6.0|7.4399999999999995
clay|Cavallo F.|ARG|Right-Handed|3.14|Gimenez I.|BRA|Right-Handed|1.31|0.0|-4.0|-128.0|0.0|0.0|-6.0|1.83
indoors|Fearnley J.|ITA|Right-Handed|1.14|Gueymard Wayenburg S.|FRA|Right-Handed|5.36|0.0|2.0|-128.0|0.0|0.0|2.0|-4.220000000000001
indoors|Gueymard Wayenburg S.|FRA|Right-Handed|5.36|Fearnley J.|ITA|Right-Handed|1.14|1.0||128.0|0.0|0.0|-2.0|4.220000000000001
clay|Birrell C.|AUS|Right-Handed|14.0|Jasika O.|AUS|Left-Handed|1.01|1.0||191.0|18.0|2.0|-3.0|12.99
clay|Garcia Mestre J.|ESP|Right-Handed|6.82|Marrero Curbelo I.|ESP|Right-Handed|1.07|1.0||128.0|0.0|0.0|-4.0|5.75
clay|Catini N.|ITA|Right-Handed|2.61|Wessels L.|DEU|Right-Handed|1.43|1.0||224.0|-12.0|-13.0|1.0|1.18
clay|Shin W.|KOR|Right-Handed|1.04|Bhatnagar S.|IND|Right-Handed|8.91|0.0|3.0|-128.0|0.0|0.0|-3.0|-7.87
clay|Papoe C.|ROU|Right-Handed|4.17|Tomescu D.|ROU|Right-Handed|1.17|1.0||128.0|0.0|0.0|-9.0|3.0
clay|Oliveira G.|VEN|Left-Handed|1.15|Ito T.|JPN|Right-Handed|4.55|0.0|-5.0|-127.0|4.0|5.0|-7.0|-3.4
clay|Draxl L.|CAN|Right-Handed|1.81|Den Ouden G.|NLD|Right-Handed|1.92|1.0||128.0|0.0|0.0|0.0|-0.10999999999999988
clay|Callejon Hernando S.|ESP|Right-Handed|1.77|Simundza J.|HRV|Left-Handed|1.92|0.0|-1.0|-128.0|0.0|0.0|0.0|-0.1499999999999999
clay|Agostini S.|ITA|Right-Handed|6.33|Nedelko I.|RUS|Right-Handed|1.09|1.0||300.0|-2.0|0.0|-11.0|5.24
clay|Reitano S.|ITA|Right-Handed|1.39|Di Natale G.|ITA|Right-Handed|2.78|0.0|3.0|-128.0|0.0|0.0|1.0|-1.39
clay|Meduri A.|ITA|Right-Handed|3.46|Prechtel S.|DEU|Right-Handed|1.26|1.0||128.0|0.0|0.0|-5.0|2.2
indoors|Geerts M.|BEL|Right-Handed|3.24|Bonzi B.|FRA|Right-Handed|1.31|0.0|0.0|-414.0|-3.0|-7.0|1.0|1.9300000000000002
clay|Clarke J.|FRA|Right-Handed|1.22|Colson T.|BEL|Right-Handed|4.0|1.0||126.0|4.0|3.0|2.0|-2.7800000000000002
clay|Pellegrino A.|ITA|Right-Handed|1.72|Mager G.|ITA|Right-Handed|2.05|0.0|-2.0|-790.0|4.0|-3.0|-2.0|-0.32999999999999985
clay|Bellier A.|CHE|Left-Handed|2.0|Gray A.|ITA|Right-Handed|1.71|1.0||140.0|7.0|8.0|1.0|0.29000000000000004
clay|Taguchi R.|JPN|Right-Handed|1.28|Ogura K.|JPN|Right-Handed|3.34|0.0|-6.0|-128.0|10.0|15.0|-4.0|-2.0599999999999996
clay|Winter E.|AUS|Right-Handed|1.07|Cook E.|AUS|Right-Handed|6.98|0.0|0.0|-128.0|0.0|0.0|-2.0|-5.91
clay|Popovic S.|SRB|Right-Handed|1.09|Pampanin P.|ITA|Right-Handed|5.91|0.0|-3.0|-128.0|0.0|0.0|0.0|-4.82
hard|Kukushkin M.|KAZ|Right-Handed|1.72|Svrcina D.|CZE|Right-Handed|2.05|0.0|12.0|-14.0|4.0|5.0|15.0|-0.32999999999999985
clay|Vatutin A.|RUS|Right-Handed|3.21|Popko D.|KAZ|Right-Handed|1.3|0.0|2.0|-187.0|-18.0|-13.0|4.0|1.91
clay|Nagel A.|FRA|Right-Handed|5.57|Cornut Chauvinc A.|FRA|Right-Handed|1.11|1.0||128.0|0.0|0.0|-3.0|4.46
clay|Turker M.|TUR|Right-Handed|1.09|Malakhovich M.|BLR|Right-Handed|6.33|0.0|8.0|-128.0|0.0|0.0|3.0|-5.24
indoors|Escoffier A.|FRA|Right-Handed|2.99|Pouille L.|FRA|Right-Handed|1.36|1.0||323.0|-6.0|0.0|2.0|1.6300000000000001
clay|Echeverria J.|ESP|Right-Handed|1.32|Massard L.|FRA|Right-Handed|3.07|1.0||128.0|0.0|0.0|3.0|-1.7499999999999998
clay|Justo G.|ARG|Right-Handed|1.05|Lucero J.|ARG|Right-Handed|7.8|0.0|-4.0|-128.0|0.0|0.0|-2.0|-6.75
clay|Hess S.|ARG|Right-Handed|2.46|Estevez J.|ARG|Right-Handed|1.48|1.0||128.0|0.0|0.0|5.0|0.98
clay|Vithoontien L.|JPN|Left-Handed|6.33|Olaso-De La Rica G.|ESP|Right-Handed|1.09|1.0||128.0|0.0|0.0|-11.0|5.24
clay|Negritu C.|DEU|Right-Handed|2.57|Giustino L.|ITA|Right-Handed|1.46|1.0||104.0|-2.0|13.0|-2.0|1.1099999999999999
clay|Mager G.|ITA|Right-Handed|2.05|Pellegrino A.|ITA|Right-Handed|1.72|1.0||790.0|-4.0|3.0|2.0|0.32999999999999985
clay|Kikuchi Y.|JPN|Right-Handed|2.96|Isomura K.|JPN|Right-Handed|1.34|1.0||128.0|0.0|0.0|3.0|1.6199999999999999
clay|Petrovic D.|ITA|Right-Handed|1.28|Krivoshchekov M.|RUS|Right-Handed|3.3|0.0|3.0|107.0|0.0|0.0|3.0|-2.0199999999999996
clay|Hamza Reguig S.|DZA|Right-Handed|2.04|Tessa L.|FRA|Right-Handed|1.69|0.0|-3.0|-128.0|0.0|0.0|-4.0|0.3500000000000001
clay|Bojarski A.|POL|Right-Handed|1.89|Kobierski J.|AUT|Right-Handed|1.8|1.0||128.0|0.0|0.0|1.0|0.08999999999999986
clay|Ogura K.|JPN|Right-Handed|3.34|Taguchi R.|JPN|Right-Handed|1.28|1.0||128.0|-10.0|-15.0|4.0|2.0599999999999996
clay|Isomura K.|JPN|Right-Handed|1.34|Kikuchi Y.|JPN|Right-Handed|2.96|0.0|-5.0|-128.0|0.0|0.0|-3.0|-1.6199999999999999
clay|Dellavedova M.|AUS|Right-Handed|1.4|Mckennon M.|FRA|Left-Handed|2.7|0.0|2.0|-128.0|3.0|6.0|2.0|-1.3000000000000003
clay|Chepelev A.|RUS|Left-Handed|1.64|Miletich I.|ITA|Right-Handed|2.1|0.0|6.0|-128.0|0.0|0.0|7.0|-0.4600000000000002
clay|Krivoshchekov M.|RUS|Right-Handed|3.3|Petrovic D.|ITA|Right-Handed|1.28|1.0||-107.0|0.0|0.0|-3.0|2.0199999999999996
clay|Valente R.|ARG|Right-Handed|2.47|Rodrigues P.|BRA|Right-Handed|1.48|1.0||128.0|0.0|0.0|2.0|0.9900000000000002
clay|Vrbensky M.|CZE|Right-Handed|1.24|Vatutin A.|RUS|Right-Handed|3.75|1.0||-28.0|-4.0|2.0|-7.0|-2.51
clay|Verbin P.|RUS|Right-Handed|2.18|Paz J.|ARG|Right-Handed|1.61|1.0||128.0|0.0|0.0|-7.0|0.5700000000000001
clay|Fiorentini A.|ITA|Right-Handed|1.44|Roberts J.|BHS|Right-Handed|2.59|0.0|-5.0|-128.0|-7.0|2.0|-4.0|-1.15
clay|Kopriva V.|CZE|Right-Handed|1.15|Fanselow S.|DEU|Right-Handed|5.05|0.0|-8.0|-22.0|-9.0|-7.0|-5.0|-3.9
clay|Radjenovic V.|SRB|Right-Handed|1.63|Vankan M.|DEU|Right-Handed|2.13|1.0||128.0|0.0|0.0|-4.0|-0.5
clay|Shirokyi D.|UKR|Right-Handed|1.56|Tremblay D.|FRA|Right-Handed|2.23|1.0||128.0|0.0|0.0|-5.0|-0.6699999999999999
clay|Tremblay D.|FRA|Right-Handed|2.23|Shirokyi D.|UKR|Right-Handed|1.56|0.0|3.0|-128.0|0.0|0.0|5.0|0.6699999999999999
clay|Fery A.|ITA|Right-Handed|1.07|Catry R.|FRA|Right-Handed|7.13|0.0|1.0|-245.0|0.0|0.0|0.0|-6.06
clay|Mckennon M.|FRA|Left-Handed|2.7|Dellavedova M.|AUS|Right-Handed|1.4|1.0||128.0|-3.0|-6.0|-2.0|1.3000000000000003
clay|Barrena A.|ARG|Right-Handed|2.22|La Serna J.|ARG|Left-Handed|1.57|0.0|3.0|-128.0|0.0|0.0|1.0|0.6500000000000001
clay|Arnaboldi F.|ITA|Right-Handed|2.46|Coria F.|ARG|Right-Handed|1.51|1.0||-239.0|8.0|5.0|-8.0|0.95
clay|Crisostomo G.|ITA|Right-Handed|1.03|Teszari C.|ROU|Right-Handed|9.29|0.0|1.0|-128.0|0.0|0.0|1.0|-8.26
clay|Chanta T.|THA|Right-Handed|1.14|Namigandet Tenguere L.|FRA|Right-Handed|4.88|1.0||128.0|0.0|0.0|0.0|-3.74
clay|Javia D.|IND|Right-Handed|1.09|Kesarwani M.|IND|Right-Handed|6.33|0.0|1.0|-128.0|0.0|0.0|-1.0|-5.24
clay|Jorda Sanchis D.|ESP|Right-Handed|2.99|Nicod J.|CZE|Right-Handed|1.36|1.0||128.0|8.0|11.0|10.0|1.6300000000000001
clay|Molleker R.|DEU|Right-Handed|1.48|Novak D.|AUT|Right-Handed|2.54|0.0|-4.0|-130.0|-5.0|2.0|-7.0|-1.06
Varioussurfaces|Hanfmann Y.|DEU|Right-Handed|3.5|Tabilo A.|CHL|Left-Handed|1.3|0.0|6.0|407.0|11.0|5.0|5.0|2.2
clay|Pecci A.|ITA|Right-Handed|1.15|Perfetti N.|ITA|Right-Handed|4.74|0.0|-1.0|-128.0|0.0|0.0|0.0|-3.5900000000000003
clay|Pereira T.|PRT|Right-Handed|1.44|Donnet E.|FRA|Right-Handed|2.59|0.0|-4.0|-128.0|0.0|0.0|-3.0|-1.15
clay|Malakhovich M.|BLR|Right-Handed|6.33|Turker M.|TUR|Right-Handed|1.09|1.0||128.0|0.0|0.0|-3.0|5.24
clay|Singh K.|IND|Right-Handed|1.79|Zgirovsky A.|BLR|Right-Handed|1.88|0.0|-6.0|-128.0|0.0|-6.0|-2.0|-0.08999999999999986
clay|Cid Subervi R.|ITA|Right-Handed|1.08|Tadic V.|FRA|Right-Handed|6.35|0.0|8.0|-128.0|4.0|8.0|7.0|-5.27
clay|Colombo A.|ITA|Right-Handed|7.52|Blanch D.|ITA|Right-Handed|1.06|1.0||128.0|0.0|0.0|2.0|6.459999999999999
