Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Eichenseher D.|DEU|Right-Handed|1.03|Lester F.|ITA|Right-Handed|9.31|0.0|-1.0|115.0|2.0|2.0|0.0|-8.280000000000001
clay|Rae K.|ITA|Right-Handed|1.04|Iemmi L.|ITA|Right-Handed|8.06|1.0||-115.0|-2.0|-2.0|3.0|-7.0200000000000005
clay|Giraldi C.|ESP|Right-Handed|1.01|Talan Lopatic L.|SVN|Right-Handed|11.5|0.0|1.0|115.0|2.0|2.0|2.0|-10.49
Varioussurfaces|Martinez T.|ARG|Right-Handed|1.73|Labuckas M.|ARG|Right-Handed|2.0|0.0|-3.0|115.0|2.0|2.0|-5.0|-0.27
clay|Farjat T.|ARG|Right-Handed|9.86|Guercio L.|ARG|Left-Handed|1.04|0.0|5.0|115.0|2.0|2.0|5.0|8.82
hard|Jorda Sanchis D.|ESP|Right-Handed|1.81|Diez S.|CAN|Right-Handed|1.94|0.0|-2.0|156.0|10.0|21.0|-3.0|-0.1299999999999999
clay|Vercik I.|SVK|Right-Handed|2.91|Graf D.|DEU|Right-Handed|1.34|0.0|-2.0|115.0|2.0|2.0|-4.0|1.57
clay|Rola B.|SVN|Left-Handed|1.96|Berrettini J.|ITA|Right-Handed|1.77|0.0|4.0|414.0|0.0|2.0|8.0|0.18999999999999995
clay|Nav B.|IND|Right-Handed|9.31|Tikhomirov M.|FRA|Right-Handed|1.03|1.0||-115.0|-2.0|-2.0|-10.0|8.280000000000001
clay|Delicata L.|MLT|Right-Handed|1.34|Zaorski L.|POL|Right-Handed|2.91|1.0||-115.0|-2.0|-2.0|5.0|-1.57
indoors|de Schepper K.|FRA|Left-Handed|2.32|Vatutin A.|RUS|Right-Handed|1.56|1.0||31.0|31.0|25.0|6.0|0.7599999999999998
clay|Walia D.|IND|Right-Handed|2.54|Sibanda E.|ZWE|Right-Handed|1.43|1.0||-115.0|-2.0|-2.0|3.0|1.11
clay|Trujillo Hernandez J.|COL|Right-Handed|1.04|De Dios F.|ARG|Right-Handed|8.06|1.0||-115.0|-2.0|-2.0|-3.0|-7.0200000000000005
clay|Manishimwe E.|RWA|Right-Handed|10.5|Sibanda M.|ZWE|Right-Handed|1.01|1.0||-115.0|6.0|8.0|-6.0|9.49
hard|Draper J.|ITA|Left-Handed|1.59|Humbert U.|FRA|Left-Handed|2.32|1.0||-356.0|7.0|3.0|-4.0|-0.7299999999999998
clay|Prinoth P.|ITA|Right-Handed|1.02|Matuszewski M.|POL|Right-Handed|8.67|0.0|9.0|115.0|2.0|2.0|4.0|-7.65
clay|Ross J.|FRA|Right-Handed|8.06|Hollender N.|ARG|Right-Handed|1.04|0.0|0.0|115.0|2.0|2.0|1.0|7.0200000000000005
Varioussurfaces|Mayew I.|FRA|Right-Handed|1.22|Baumgartner S.|CHE|Right-Handed|4.0|0.0|-3.0|115.0|2.0|2.0|-3.0|-2.7800000000000002
clay|Sibanda M.|ZWE|Right-Handed|1.01|Manishimwe E.|RWA|Right-Handed|10.5|0.0|8.0|115.0|-6.0|-8.0|6.0|-9.49
clay|Freire Da Silva A.|FRA|Right-Handed|1.05|Baluska Y.|LUX|Right-Handed|7.63|0.0|5.0|115.0|2.0|2.0|6.0|-6.58
clay|Huertas Del Pino A.|PER|Right-Handed|3.34|Olivo R.|ARG|Right-Handed|1.29|1.0||-140.0|3.0|3.0|-2.0|2.05
clay|Nedelchev N.|BGR|Right-Handed|8.06|Benito Fernandez N.|ESP|Right-Handed|1.04|0.0|2.0|115.0|2.0|2.0|2.0|7.0200000000000005
clay|Perez Martin I.|ESP|Right-Handed|1.03|Kreynes B.|ITA|Right-Handed|9.31|0.0|1.0|115.0|2.0|2.0|-3.0|-8.280000000000001
clay|Graf D.|DEU|Right-Handed|1.34|Vercik I.|SVK|Right-Handed|2.91|1.0||-115.0|-2.0|-2.0|4.0|-1.57
hard|Cui J.|CHN|Right-Handed|1.84|Dougaz A.|TUN|Left-Handed|1.86|1.0||-115.0|-8.0|-5.0|-1.0|-0.020000000000000018
clay|Lechno-Wasiutynski F.|POL|Right-Handed|2.91|Agostinetto G.|ITA|Right-Handed|1.34|0.0|-6.0|115.0|2.0|2.0|-8.0|1.57
indoors|Fearnley J.|FRA|Right-Handed|2.9|Mayot H.|FRA|Right-Handed|1.38|0.0|-1.0|1.0|7.0|7.0|1.0|1.52
clay|Sibanda E.|ZWE|Right-Handed|1.43|Walia D.|IND|Right-Handed|2.54|0.0|1.0|115.0|2.0|2.0|-3.0|-1.11
clay|Kerswell C.|AUS|Right-Handed|1.34|Rogowski R.|AUS|Right-Handed|2.91|1.0||-115.0|-2.0|-2.0|4.0|-1.57
clay|Kopp S.|AUT|Right-Handed|1.56|Domingues J.|PRT|Right-Handed|2.31|1.0||-85.0|6.0|5.0|-6.0|-0.75
clay|Overmyer K.|FRA|Right-Handed|2.91|Ahti V.|FIN|Right-Handed|1.34|0.0|-2.0|115.0|2.0|2.0|-5.0|1.57
clay|Rahmani K.|IRN|Left-Handed|2.91|Caruso A.|ITA|Right-Handed|1.34|0.0|-4.0|115.0|2.0|2.0|-7.0|1.57
clay|Morandais J.|GLP|Right-Handed|1.03|Allen L.|ITA|Right-Handed|9.31|0.0|1.0|115.0|2.0|2.0|-3.0|-8.280000000000001
hard|Bonadio R.|ITA|Right-Handed|1.6|Marrero Curbelo I.|ESP|Right-Handed|2.23|1.0||3.0|3.0|-5.0|6.0|-0.6299999999999999
clay|Villanueva G.|ARG|Right-Handed|1.74|Barrena A.|ARG|Right-Handed|2.0|0.0|7.0|-33.0|-6.0|-8.0|8.0|-0.26
clay|Ambrogi L.|ARG|Right-Handed|2.43|Aboian L.|ARG|Left-Handed|1.53|0.0|-5.0|115.0|2.0|2.0|-6.0|0.9000000000000001
clay|Nestola F.|FRA|Right-Handed|1.01|Larwig N.|DEU|Right-Handed|10.5|0.0|-5.0|115.0|2.0|2.0|-3.0|-9.49
hard|Wu T.|FRA|Right-Handed|3.31|McDonald M.|ITA|Right-Handed|1.3|0.0|-4.0|115.0|8.0|10.0|-3.0|2.01
Varioussurfaces|Labuckas M.|ARG|Right-Handed|2.0|Martinez T.|ARG|Right-Handed|1.73|1.0||-115.0|-2.0|-2.0|5.0|0.27
hard|Ionel N.|ROU|Right-Handed|1.81|Schiessl J.|BRA|Left-Handed|1.86|0.0|4.0|115.0|-5.0|0.0|1.0|-0.050000000000000044
clay|Dodig M.|HRV|Right-Handed|1.17|Pereira T.|PRT|Right-Handed|4.66|0.0|-1.0|115.0|2.0|2.0|-1.0|-3.49
Varioussurfaces|Palavestra I.|ITA|Right-Handed|1.4|Reznik J.|FRA|Right-Handed|2.75|1.0||-115.0|-2.0|-2.0|4.0|-1.35
clay|Larwig N.|DEU|Right-Handed|10.5|Nestola F.|FRA|Right-Handed|1.01|1.0||-115.0|-2.0|-2.0|3.0|9.49
