Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Agamenone F.|ITA|Right-Handed|McDonald M.|ARG|Right-Handed|1.0||15.5|9.0|10.0|2.0|0.74
clay|Cherie Ligniere E.|ITA|Right-Handed|de Schepper K.|FRA|Left-Handed|1.0||-3.0|-19.0|-18.0|-17.0|21.13
Varioussurfaces|Dong B.|CHN|Right-Handed|Court J.|AUS|Right-Handed|0.0|-3.0|3.0|-14.0|-3.0|-2.0|-8.46
clay|Etcheverry T.|ARG|Right-Handed|Kecmanovic M.|SRB|Right-Handed|1.0||-606.0|7.0|13.0|1.0|5.8999999999999995
Varioussurfaces|Sakellaridis S.|GRC|Right-Handed|De La Riva Bueno P.|ESP|Right-Handed|0.0|3.0|3.0|-3.0|0.0|-4.0|-1.92
Varioussurfaces|Bhatnagar S.|IND|Right-Handed|Martinez Arjona S.|ESP|Right-Handed|1.0||-3.0|3.0|0.0|1.0|5.49
Varioussurfaces|Morandais J.|GLP|Right-Handed|Agarwal R.|IND|Right-Handed|1.0||-3.0|8.0|10.0|-7.0|5.49
Varioussurfaces|Jorquera E.|CAN|Right-Handed|Ribero F.|ARG|Right-Handed|1.0||-3.0|-1.0|-3.0|-5.0|5.49
Varioussurfaces|Mruzek S.|CZE|Right-Handed|Schlagenhauf N.|DEU|Right-Handed|1.0||-3.0|3.0|0.0|2.0|8.46
Varioussurfaces|Kreynes B.|ESP|Right-Handed|Saritas G.|TUR|Right-Handed|1.0||-3.0|3.0|0.0|2.0|2.04
Varioussurfaces|Sureshkumar M.|IND|Right-Handed|Puentes Gabriel G.|ESP|Right-Handed|0.0|6.0|3.0|-19.0|-2.0|3.0|-9.540000000000001
Varioussurfaces|Bolardt A.|CZE|Right-Handed|Kalina V.|CZE|Right-Handed|0.0|5.0|3.0|-3.0|0.0|7.0|-8.01
Varioussurfaces|Donarski S.|CAN|Right-Handed|Sheehy J.|ESP|Left-Handed|0.0|3.0|3.0|-2.0|-3.0|-1.0|2.25
clay|Echargui M.|TUN|Right-Handed|Gulbis E.|LVA|Right-Handed|1.0||17.5|-10.0|-11.0|-4.0|0.98
Varioussurfaces|Bugarikj B.|ESP|Right-Handed|Khomich A.|BLR|Right-Handed|1.0||-3.0|1.0|-6.0|-4.0|8.46
Varioussurfaces|Khotchenkov E.|RUS|Right-Handed|Chaiyarin C.|THA|Right-Handed|0.0|-3.0|3.0|-3.0|0.0|4.0|-0.97
Varioussurfaces|Mishkin K.|RUS|Left-Handed|Kalender A.|HRV|Right-Handed|1.0||-3.0|3.0|0.0|-2.0|5.539999999999999
Varioussurfaces|Rezoglazov P.|UKR|Right-Handed|Chikami S.|JPN|Right-Handed|1.0||-3.0|3.0|0.0|-5.0|7.170000000000001
Varioussurfaces|Popeanga D.|RUS|Right-Handed|Catini N.|ITA|Right-Handed|1.0||-3.0|3.0|0.0|-4.0|1.4899999999999998
Varioussurfaces|Osorio J.|COL|Right-Handed|Schubert H.|CHL|Right-Handed|0.0|3.0|3.0|-3.0|0.0|2.0|-6.62
Varioussurfaces|Krstic V.|SRB|Right-Handed|Savic M.|SRB|Right-Handed|0.0|0.0|3.0|-3.0|0.0|-2.0|-8.46
Varioussurfaces|Masanovic J.|ESP|Right-Handed|Zhang L.|CHN|Right-Handed|1.0||-3.0|3.0|0.0|-3.0|8.46
Varioussurfaces|Francisco L.|ESP|Right-Handed|Ovchinnikov V.|RUS|Right-Handed|0.0|1.0|3.0|-3.0|0.0|1.0|-0.6799999999999999
Varioussurfaces|Sanchez M.|MEX|Right-Handed|Rolland D.|FRA|Right-Handed|0.0|16.0|-346.5|-3.0|0.0|13.0|-2.5999999999999996
Varioussurfaces|Juhas K.|SRB|Right-Handed|Kremenchutskyi I.|UKR|Right-Handed|0.0|3.0|3.0|-3.0|0.0|3.0|-5.029999999999999
Varioussurfaces|Shumilov E.|ISR|Right-Handed|Elia A.|ISR|Right-Handed|1.0||-3.0|3.0|0.0|-12.0|7.45
clay|Cerundolo J.|ARG|Left-Handed|Muller A.|FRA|Right-Handed|0.0|-4.0|67.5|-7.0|0.0|-5.0|-0.41000000000000014
Varioussurfaces|Thompson W.|ARG|Right-Handed|Bellegy A.|FRA|Right-Handed|0.0|0.0|3.0|-3.0|0.0|-3.0|-1.2000000000000002
Varioussurfaces|Saritas G.|TUR|Right-Handed|Kreynes B.|ESP|Right-Handed|0.0|4.0|3.0|-3.0|0.0|-2.0|-2.04
Varioussurfaces|Puric N.|SRB|Right-Handed|Markovski O.|ARG|Right-Handed|1.0||-3.0|3.0|0.0|1.0|8.46
clay|Collarini A.|ARG|Left-Handed|Rosol L.|CZE|Right-Handed|0.0|-5.0|47.0|-3.0|-8.0|-7.0|0.04999999999999982
Varioussurfaces|Katz R.|ISR|Right-Handed|Baron O.|ISR|Right-Handed|1.0||-3.0|3.0|0.0|1.0|-2.2199999999999998
Varioussurfaces|Berg L.|DEU|Right-Handed|Atturu B.|IND|Right-Handed|0.0|-5.0|3.0|-3.0|0.0|-3.0|2.2199999999999998
Varioussurfaces|Paty D.|CZE|Right-Handed|Apltauer F.|CZE|Right-Handed|0.0|4.0|3.0|-3.0|0.0|4.0|-0.5399999999999998
Varioussurfaces|Marquiselli V.|ARG|Right-Handed|Shirdel S.|IRN|Right-Handed|0.0|4.0|3.0|-3.0|0.0|-2.0|4.38
Varioussurfaces|Kos D.|IRL|Right-Handed|Kountourakis I.|GRC|Right-Handed|1.0||-3.0|3.0|0.0|6.0|-4.38
Varioussurfaces|Gabarro X.|ESP|Right-Handed|Ros Mesas M.|ESP|Right-Handed|0.0|3.0|3.0|-3.0|0.0|4.0|-5.49
Varioussurfaces|Bejenaru A.|ROU|Right-Handed|Fatu A.|ROU|Right-Handed|0.0|3.0|3.0|-3.0|0.0|1.0|-4.38
Varioussurfaces|Hernandez Mariona K.|GTM|Right-Handed|Wunderlich T.|ARG|Right-Handed|1.0||-3.0|3.0|0.0|0.0|-0.45999999999999974
Varioussurfaces|Matsuda R.|JPN|Right-Handed|Alkotop M.|JOR|Right-Handed|0.0|-1.0|3.0|-3.0|0.0|-2.0|-4.82
Varioussurfaces|Puig Molin D.|ESP|Right-Handed|Pujol Navarro B.|ESP|Left-Handed|1.0||-3.0|3.0|0.0|2.0|2.5300000000000002
Varioussurfaces|Ontica C.|ROU|Right-Handed|Luca A.|ROU|Right-Handed|0.0|9.0|3.0|-3.0|0.0|7.0|-2.2
Varioussurfaces|Baron J.|ISR|Right-Handed|Leshem R.|ISR|Right-Handed|0.0|1.0|3.0|-3.0|0.0|4.0|-1.87
Varioussurfaces|Wang C.|CHN|Right-Handed|Martini F.|ITA|Right-Handed|0.0|15.0|-328.5|-6.0|3.0|9.0|-5.49
Varioussurfaces|Todorovic L.|SRB|Right-Handed|Miklavcic L.|SVN|Right-Handed|1.0||-3.0|3.0|0.0|-2.0|5.49
Varioussurfaces|Graf D.|DEU|Right-Handed|Andrzejczak B.|POL|Right-Handed|1.0||-3.0|3.0|0.0|1.0|8.01
clay|Fatic N.|ESP|Right-Handed|Darderi L.|ITA|Right-Handed|1.0||97.5|10.0|6.0|7.0|0.3699999999999999
