Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Paulson A.|CZE|Right-Handed|1.26|Fanselow S.|DEU|Right-Handed|3.7|1.0||-41.5|-3.0|5.0|-10.0|-2.4400000000000004
clay|Adachi T.|JPN|Right-Handed|9.58|Ito T.|JPN|Right-Handed|1.03|1.0||-62.5|0.0|5.0|-14.0|8.55
clay|Chan B.|SGP|Right-Handed|6.62|Shin S.|KOR|Right-Handed|1.08|1.0||-41.5|0.0|5.0|-9.0|5.54
clay|Jones M.|THA|Right-Handed|2.03|Lumsden E.|ITA|Right-Handed|1.69|1.0||-41.5|-3.0|5.0|-5.0|0.33999999999999986
clay|Gallego J.|ARG|Right-Handed|4.77|Cundom J.|ARG|Right-Handed|1.13|1.0||-41.5|-3.0|5.0|-1.0|3.6399999999999997
clay|Gerch L.|DEU|Left-Handed|3.31|Andreev A.|BGR|Right-Handed|1.3|1.0||141.5|20.0|13.0|6.0|2.01
clay|Hess S.|ARG|Right-Handed|1.11|Loureiro J.|BRA|Right-Handed|5.5|0.0|0.0|41.5|3.0|-5.0|2.0|-4.39
clay|Bianchet S.|AUS|Right-Handed|5.67|Watt J.|NZL|Right-Handed|1.11|1.0||-41.5|-3.0|5.0|-2.0|4.56
clay|Ito T.|JPN|Right-Handed|1.03|Adachi T.|JPN|Right-Handed|9.58|0.0|17.0|62.5|0.0|-5.0|14.0|-8.55
clay|Vrbensky M.|CZE|Right-Handed|4.27|Munar J.|ESP|Right-Handed|1.2|0.0|-4.0|-457.0|-11.0|-3.0|-3.0|3.0699999999999994
clay|Guerrieri A.|ITA|Left-Handed|1.16|Avcibasi T.|TUR|Right-Handed|4.38|0.0|5.0|41.5|3.0|-5.0|5.0|-3.2199999999999998
clay|Chidekh C.|FRA|Right-Handed|1.77|Musitelli F.|FRA|Right-Handed|4.29|0.0|-1.0|-198.5|3.0|-5.0|-2.0|-2.52
clay|Manzanera Pertusa A.|ESP|Right-Handed|1.24|Pascual Ferra R.|ESP|Left-Handed|3.59|0.0|1.0|41.5|3.0|-5.0|3.0|-2.3499999999999996
clay|Tanuma R.|JPN|Right-Handed|2.24|Taguchi R.|JPN|Right-Handed|1.57|1.0||-41.5|-14.0|0.0|4.0|0.6700000000000002
clay|Giunta M.|ITA|Right-Handed|1.06|Massacri B.|ITA|Right-Handed|7.67|1.0||-41.5|-3.0|5.0|-3.0|-6.609999999999999
clay|Malakhovich M.|BLR|Right-Handed|1.16|Katibeh M.|IRN|Right-Handed|4.4|0.0|2.0|41.5|3.0|-5.0|1.0|-3.24
clay|Merida Aguilar D.|ESP|Right-Handed|1.06|Lerby C.|NLD|Right-Handed|7.15|0.0|-4.0|41.5|3.0|-5.0|-3.0|-6.09
