Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
grass|Shapovalov D.|CAN|Left-Handed|Nakashima B.|DEU|Right-Handed|1.0||1324.0|-2.0|0.0|2.0|-0.6600000000000001
Varioussurfaces|Cutting O.|DEU|Right-Handed|Casper L.|FRA|Right-Handed|0.0|-3.0|-31.0|2.0|0.0|3.5|1.2000000000000002
hard|Nidunjianzan F.|CHN|Right-Handed|Strode I.|FRA|Right-Handed|0.0|-5.0|-31.0|4.0|2.0|-6.0|0.15999999999999992
Varioussurfaces|Oumaouche R.|FRA|Left-Handed|Sandkaulen T.|DEU|Right-Handed|1.0||31.0|-2.0|0.0|1.0|-1.2000000000000002
hard|Juhas K.|SRB|Right-Handed|Frunza N.|ROU|Right-Handed|1.0||31.0|-1.0|0.0|-3.0|0.32999999999999985
hard|Coulibaly E.|CIV|Left-Handed|Handel T.|DEU|Right-Handed|1.0||31.0|-2.0|0.0|-5.0|-0.8199999999999998
hard|Sekulic P.|AUS|Right-Handed|Wassermann D.|NLD|Right-Handed|1.0||31.0|-2.0|0.0|-3.0|-0.5800000000000001
grass|Tsitsipas S.|GRC|Right-Handed|Thompson J.|AUS|Right-Handed|0.0|-3.0|4400.0|7.0|10.0|-4.0|-3.33
hard|Niedner N.|DEU|Right-Handed|Cungu R.|MNE|Right-Handed|1.0||31.0|7.0|12.0|-2.0|3.7800000000000002
grass|De Minaur A.|AUS|Right-Handed|Draper J.|FRA|Left-Handed|0.0|2.0|846.0|-11.0|-8.0|3.0|-1.0499999999999998
grass|Bautista-Agut R.|ESP|Right-Handed|Galan D.|COL|Right-Handed|1.0||-18.0|3.0|-8.0|8.0|-7.42
hard|Jirousek T.|CZE|Right-Handed|Kielan S.|POL|Right-Handed|1.0||31.0|-2.0|0.0|3.0|1.06
hard|Vlkovsky V.|CZE|Right-Handed|Rajski M.|POL|Right-Handed|1.0||31.0|-3.0|-8.0|-8.0|3.49
clay|Horansky F.|SVK|Right-Handed|Medjedovic H.|SRB|Right-Handed|1.0||307.0|-2.0|6.0|10.0|0.7799999999999998
hard|McNally J.|FRA|Right-Handed|Boitan G.|ROU|Right-Handed|1.0||31.0|3.0|-2.0|0.0|0.31000000000000005
grass|Bonzi B.|FRA|Right-Handed|Brooksby J.|DEU|Right-Handed|1.0||-161.0|-6.0|-3.0|5.0|-0.6600000000000001
hard|Alvarez Varona N.|ESP|Right-Handed|McCabe J.|AUS|Right-Handed|1.0||-157.0|1.0|3.0|2.0|-0.22999999999999998
hard|Boitan G.|ROU|Right-Handed|McNally J.|FRA|Right-Handed|0.0|-2.0|-31.0|-3.0|2.0|0.0|-0.31000000000000005
hard|Schell N.|DEU|Right-Handed|Bocchi L.|ITA|Right-Handed|0.0|0.0|-31.0|1.0|5.0|-1.0|0.1399999999999999
hard|McCabe J.|AUS|Right-Handed|Alvarez Varona N.|ESP|Right-Handed|0.0|-5.0|157.0|-1.0|-3.0|-2.0|0.22999999999999998
grass|Gasquet R.|FRA|Right-Handed|McDonald M.|FRA|Right-Handed|0.0|7.0|456.0|6.0|5.0|9.0|0.6800000000000002
hard|Kumar O.|DEU|Left-Handed|Al Allaf K.|FRA|Right-Handed|0.0|-1.0|-247.0|10.0|5.0|-4.0|-1.3500000000000003
Varioussurfaces|Rollins P.|DEU|Right-Handed|Beasley J.|FRA|Right-Handed|0.0|-1.0|-31.0|2.0|0.0|-2.0|-0.7999999999999998
hard|Safranek V.|CZE|Right-Handed|Ortenzi G.|ITA|Right-Handed|0.0|8.0|-125.0|3.0|0.0|6.0|0.25
Varioussurfaces|Johnston B.|DEU|Right-Handed|Photiades P.|CYP|Right-Handed|0.0|1.0|-31.0|2.0|0.0|1.0|1.2000000000000002
hard|Matusevich A.|DEU|Right-Handed|Gobat A.|FRA|Right-Handed|0.0|-1.0|-31.0|2.0|0.0|0.0|-4.04
hard|Ovcharenko O.|UKR|Right-Handed|Kopp S.|AUT|Right-Handed|0.0|-1.0|-31.0|2.0|0.0|-2.0|0.020000000000000018
hard|Martinez M.|CHE|Right-Handed|Von Der Schulenburg J.|CHE|Right-Handed|0.0|5.0|-31.0|-7.0|-10.0|4.0|0.3900000000000001
hard|Farren C.|FRA|Right-Handed|Tu L.|AUS|Right-Handed|1.0||31.0|-2.0|-2.0|1.0|3.26
hard|Sels J.|NLD|Right-Handed|De Jonge D.|NLD|Right-Handed|0.0|5.0|-31.0|6.0|3.0|4.0|-3.79
hard|Chazal M.|FRA|Right-Handed|Aguilar J.|CAN|Right-Handed|0.0|7.0|69.0|12.0|7.0|6.0|-0.45999999999999996
hard|Voisin E.|FRA|Right-Handed|Blanchet U.|FRA|Right-Handed|1.0||31.0|-7.0|-7.0|-1.0|0.98
clay|Moundir A.|MAR|Right-Handed|Lopez Montagud C.|ESP|Right-Handed|1.0||-297.0|12.0|6.0|5.0|-0.6000000000000001
hard|Shimabukuro S.|JPN|Right-Handed|Zink T.|FRA|Right-Handed|0.0|3.0|-232.0|-2.0|-2.0|4.0|-4.42
hard|Kuzuhara B.|DEU|Right-Handed|Vanshelboim E.|UKR|Right-Handed|0.0|-3.0|-31.0|-7.0|-3.0|-3.0|0.29000000000000004
hard|Li H.|CHN|Right-Handed|Butulija B.|SRB|Left-Handed|1.0||31.0|-2.0|0.0|-4.0|-5.65
hard|Shelbayh A.|JOR|Left-Handed|Gadamauri B.|BEL|Right-Handed|1.0||-140.0|-2.0|0.0|-4.0|1.1700000000000002
clay|Cecchinato M.|ITA|Right-Handed|Stodder T.|DEU|Right-Handed|0.0|3.0|114.0|12.0|5.0|3.0|-2.1900000000000004
hard|Sorger S.|AUT|Right-Handed|Nouza P.|CZE|Right-Handed|1.0||31.0|-9.0|-8.0|-7.0|2.79
grass|Brooksby J.|DEU|Right-Handed|Bonzi B.|FRA|Right-Handed|0.0|-2.0|161.0|6.0|3.0|-5.0|0.6600000000000001
hard|Picchione A.|ITA|Right-Handed|Dalla Valle E.|ITA|Right-Handed|0.0|-4.0|-31.0|-11.0|-8.0|0.0|-0.5599999999999998
hard|Vandermeersch C.|FRA|Right-Handed|Iradukunda G.|BDI|Right-Handed|0.0|-6.0|-31.0|2.0|0.0|-3.0|-0.32999999999999985
hard|Lipovsek Puches T.|SVN|Right-Handed|Oradini G.|ITA|Left-Handed|1.0||31.0|-2.0|0.0|5.0|1.8699999999999999
grass|Krajinovic F.|SRB|Right-Handed|Kyrgios N.|AUS|Right-Handed|1.0||230.0|-10.0|-8.0|3.0|2.5
hard|Iradukunda G.|BDI|Right-Handed|Vandermeersch C.|FRA|Right-Handed|1.0||31.0|-2.0|0.0|3.0|0.32999999999999985
hard|Manda C.|ROU|Right-Handed|Gaubas V.|LTU|Right-Handed|0.0|7.0|-31.0|2.0|0.0|7.0|-1.36
Varioussurfaces|Guiovanna N.|FRA|Right-Handed|Gentzsch T.|DEU|Right-Handed|1.0||31.0|-2.0|0.0|2.0|-1.2000000000000002
hard|Duda F.|CZE|Right-Handed|Alcala Gurri M.|ESP|Right-Handed|1.0||31.0|-2.0|0.0|4.0|1.6199999999999999
hard|Angele J.|FRA|Right-Handed|Joncour R.|FRA|Left-Handed|0.0|-2.0|-31.0|13.0|18.0|-3.0|-3.4799999999999995
hard|Martin D.|CAN|Right-Handed|Cias P.|POL|Right-Handed|1.0||-309.0|7.0|7.0|-5.0|1.0699999999999998
