Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Malgiaritta M.|CHE|Right-Handed|Gima S.|ROU|Left-Handed|1.0||-19.5|0.0|2.0|1.0|6.35
clay|Choinski J.|DEU|Right-Handed|Wessels L.|DEU|Right-Handed|0.0|2.0|269.0|-10.0|-2.0|3.0|-2.21
hard|Hunt A.|NZL|Right-Handed|Fancutt T.|AUS|Right-Handed|1.0||210.5|0.0|2.0|1.0|7.48
clay|Pennaforti G.|ITA|Right-Handed|Manda C.|ROU|Right-Handed|0.0|-9.0|19.5|0.0|-2.0|-3.0|-0.6100000000000001
clay|Ugo Carabelli C.|ARG|Right-Handed|Kirkin E.|TUR|Right-Handed|0.0|-1.0|373.0|10.0|5.0|0.0|-1.1300000000000001
Varioussurfaces|De Rueda De Genover I.|ESP|Right-Handed|Martinez Serrano M.|ESP|Right-Handed|0.0|8.0|19.5|-2.0|-2.0|6.0|-3.3600000000000003
hard|Davidovich Fokina A.|ESP|Right-Handed|Ruud C.|NOR|Right-Handed|0.0|-1.0|-3845.0|3.0|0.0|0.0|0.28
hard|Papac T.|AUS|Right-Handed|Ryan Ziegann S.|AUS|Right-Handed|0.0|5.0|19.5|-2.0|6.0|3.0|-0.030000000000000027
clay|Lavagno E.|ITA|Left-Handed|Gomez F.|ARG|Right-Handed|1.0||-19.5|0.0|2.0|-1.0|-1.2200000000000002
clay|Juhas K.|SRB|Right-Handed|Dodig M.|HRV|Right-Handed|1.0||-19.5|0.0|2.0|4.0|4.279999999999999
clay|Vankan M.|DEU|Right-Handed|Slump S.|NLD|Right-Handed|0.0|-2.0|19.5|0.0|-5.0|-2.0|-1.5199999999999998
Varioussurfaces|Kumaran B.|IND|Right-Handed|Gil Garcia A.|LUX|Right-Handed|1.0||-19.5|0.0|2.0|6.0|3.3600000000000003
clay|Erel Y.|TUR|Left-Handed|Agarwal R.|IND|Right-Handed|0.0|-3.0|19.5|4.0|8.0|-5.0|-3.7200000000000006
clay|Haliak M.|BLR|Right-Handed|Shin W.|KOR|Right-Handed|0.0|4.0|19.5|-2.0|-2.0|6.0|-2.48
clay|Loffhagen G.|ITA|Right-Handed|Tarvet O.|DEU|Right-Handed|1.0||-153.0|6.0|5.0|3.0|-2.83
hard|Paul T.|DEU|Right-Handed|Cerundolo F.|ARG|Right-Handed|0.0|3.0|780.0|4.0|0.0|1.0|-1.12
clay|Comesana F.|ARG|Right-Handed|Tirante T.|ARG|Right-Handed|0.0|-1.0|19.5|-1.0|-2.0|0.0|-0.73
hard|De Minaur A.|AUS|Right-Handed|Fritz T.|ITA|Right-Handed|0.0|-2.0|-1520.0|-17.0|-10.0|-1.0|0.3900000000000001
hard|Giron M.|DEU|Right-Handed|Rune H.|DNK|Right-Handed|0.0|10.0|-3995.0|9.0|-5.0|10.0|1.79
clay|Ambrogi L.|ARG|Right-Handed|Kolyachev N.|BGR|Right-Handed|0.0|2.0|19.5|0.0|-2.0|-1.0|-5.79
hard|Fritz T.|ITA|Right-Handed|De Minaur A.|AUS|Right-Handed|1.0||1520.0|17.0|10.0|1.0|-0.3900000000000001
clay|Samuel T.|DEU|Right-Handed|Hurrion M.|ITA|Right-Handed|0.0|-1.0|19.5|0.0|-2.0|-3.0|-4.16
clay|Basile A.|BEL|Right-Handed|Deckers A.|NLD|Right-Handed|0.0|-4.0|19.5|-5.0|-10.0|-4.0|6.5600000000000005
clay|Sorger S.|AUT|Right-Handed|Pavlovic L.|FRA|Right-Handed|0.0|-4.0|19.5|0.0|-2.0|-6.0|0.4600000000000002
clay|Shin W.|KOR|Right-Handed|Haliak M.|BLR|Right-Handed|1.0||-19.5|2.0|2.0|-6.0|2.48
hard|Hong S.|KOR|Right-Handed|Kypson P.|DEU|Right-Handed|1.0||-77.0|-14.0|-13.0|3.0|-0.18999999999999995
Varioussurfaces|Bueno Gil A.|ESP|Right-Handed|Makhlouf M.|DZA|Right-Handed|1.0||-19.5|0.0|2.0|-4.0|-1.2000000000000002
clay|Paire B.|FRA|Right-Handed|Gombos N.|SVK|Right-Handed|1.0||-81.0|-5.0|3.0|1.0|-0.9800000000000002
clay|Carraro L.|ITA|Right-Handed|Juarez F.|ITA|Right-Handed|0.0|-1.0|19.5|0.0|-2.0|0.0|2.5700000000000003
clay|Hadzimehmedovic R.|SRB|Right-Handed|Bartakovics M.|HUN|Right-Handed|0.0|-7.0|19.5|0.0|-2.0|-7.0|-1.0999999999999999
Varioussurfaces|Sherif L.|ITA|Right-Handed|Djakouris C.|CYP|Right-Handed|1.0||-19.5|0.0|2.0|-1.0|3.3600000000000003
clay|Zhu E.|DEU|Right-Handed|Trongcharoenchaikul W.|THA|Right-Handed|0.0|-4.0|278.0|-7.0|0.0|-3.0|-4.26
hard|Cazaux A.|FRA|Right-Handed|Harris L.|DEU|Right-Handed|1.0||0.0|-3.0|-8.0|-6.0|-0.009999999999999787
clay|Weightman O.|DEU|Right-Handed|Jansen W.|ITA|Left-Handed|0.0|3.0|19.5|0.0|-2.0|3.0|0.8700000000000001
Varioussurfaces|Danilov S.|RUS|Right-Handed|Egea F.|ARG|Right-Handed|1.0||-19.5|-2.0|5.0|0.0|-1.2000000000000002
Varioussurfaces|Setodji T.|FRA|Right-Handed|Hamza Reguig S.|DZA|Right-Handed|0.0|4.0|19.5|6.0|-2.0|6.0|-0.7
clay|Kielan S.|POL|Right-Handed|Kaukovalta P.|FIN|Right-Handed|1.0||-19.5|0.0|2.0|-4.0|0.10999999999999988
clay|Kelm Y.|DEU|Right-Handed|Broska F.|DEU|Right-Handed|1.0||-19.5|0.0|2.0|-5.0|1.3300000000000003
clay|Kaukovalta P.|FIN|Right-Handed|Kopp S.|AUT|Right-Handed|0.0|2.0|19.5|0.0|-2.0|1.0|1.8
Varioussurfaces|Saura Moragrega M.|ESP|Right-Handed|Tutu M.|DEU|Right-Handed|1.0||-19.5|0.0|2.0|-12.0|-1.2000000000000002
clay|Gaubas V.|LTU|Right-Handed|Vasa I.|FIN|Right-Handed|0.0|0.0|19.5|0.0|-2.0|-5.0|-2.2199999999999998
clay|Trochu P.|FRA|Right-Handed|Barroso Campos A.|ESP|Right-Handed|1.0||-19.5|5.0|7.0|-8.0|5.45
clay|Isomura K.|JPN|Right-Handed|Borg L.|SWE|Right-Handed|1.0||164.5|0.0|2.0|0.0|1.64
