Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|Bruce-Smith J.|AUS|Right-Handed|Bataljin L.|AUS|Right-Handed|0.0|-11.0|27.0|24.0|15.0|-4.0|4.15
clay|De Almeida G.|BRA|Right-Handed|De La Fuente S.|ARG|Right-Handed|0.0|-4.0|27.0|-2.0|-2.0|-4.0|5.49
Varioussurfaces|Palovic L.|SVK|Right-Handed|Michocki P.|POL|Right-Handed|0.0|-4.0|27.0|-2.0|-2.0|-4.0|-3.4299999999999997
hard|Vandecasteele Q.|ITA|Right-Handed|Bagnis F.|ARG|Left-Handed|1.0||-114.0|-3.0|2.0|-12.0|1.1700000000000002
Varioussurfaces|De Dios F.|ARG|Right-Handed|Corthey L.|ARG|Right-Handed|1.0||-27.0|2.0|2.0|-5.0|0.6500000000000001
Varioussurfaces|Howe P.|AUS|Right-Handed|Znuderl M.|SVN|Right-Handed|0.0|1.0|27.0|-2.0|-2.0|2.0|4.15
hard|Olivieri G.|ARG|Right-Handed|Shang J.|CHN|Left-Handed|1.0||-163.0|-4.0|-8.0|7.0|4.51
Varioussurfaces|Estevez J.|ARG|Right-Handed|Kohlmann de Freitas E.|BRA|Right-Handed|0.0|1.0|27.0|-2.0|-2.0|-6.0|-4.8
clay|Negritu C.|DEU|Right-Handed|Roca Batalla O.|ESP|Right-Handed|1.0||177.0|6.0|20.0|-1.0|2.4000000000000004
Varioussurfaces|Bienkiewicz J.|POL|Right-Handed|Troost S.|EST|Right-Handed|0.0|-3.0|27.0|-2.0|-2.0|1.0|-0.17999999999999994
clay|La Vela G.|ITA|Right-Handed|Poljicak M.|HRV|Right-Handed|0.0|2.0|313.0|-2.0|-2.0|3.0|1.3400000000000003
hard|Michelsen A.|ARG|Right-Handed|Ofner S.|AUT|Right-Handed|0.0|-9.0|-412.0|-4.0|-8.0|-9.0|-0.5200000000000002
clay|Del Pino M.|ARG|Left-Handed|Gobbi Brandao L.|BRA|Right-Handed|0.0|2.0|27.0|-2.0|-2.0|-3.0|-7.21
Varioussurfaces|McDaniel M.|ARG|Right-Handed|Menichella S.|ITA|Right-Handed|0.0|-5.0|27.0|-2.0|-2.0|-7.0|-1.2000000000000002
Varioussurfaces|Morandais J.|GLP|Right-Handed|Goncalves Ceolin J.|BRA|Right-Handed|1.0||-27.0|2.0|2.0|-4.0|-0.95
clay|Falcao G.|PRT|Right-Handed|Izquierdo Luque R.|ESP|Right-Handed|1.0||-27.0|2.0|2.0|12.0|2.54
clay|Romano F.|ITA|Right-Handed|Di Natale G.|ITA|Right-Handed|1.0||-27.0|2.0|2.0|-7.0|1.51
clay|Vrbensky M.|CZE|Right-Handed|Jorda Sanchis D.|ESP|Right-Handed|0.0|-7.0|-192.0|-21.0|-16.0|-6.0|-0.78
clay|Hsu J.|ITA|Right-Handed|Carnevalle L.|ARG|Right-Handed|1.0||-27.0|1.0|-3.0|5.0|7.13
Varioussurfaces|Augusto Dos Santos R.|BRA|Right-Handed|Norton W.|BRA|Right-Handed|1.0||-27.0|2.0|2.0|-3.0|1.7
clay|Leong M.|MYS|Right-Handed|Kawahashi Y.|JPN|Right-Handed|0.0|-6.0|27.0|-2.0|-2.0|-6.0|1.69
clay|Wiskandt M.|DEU|Right-Handed|Kalina V.|CZE|Right-Handed|0.0|2.0|27.0|-2.0|-2.0|3.0|-1.2900000000000003
Varioussurfaces|Sakellaridis M.|GRC|Right-Handed|Zeljenka M.|HUN|Right-Handed|1.0||-27.0|2.0|2.0|-3.0|0.27
hard|Delbonis F.|ARG|Left-Handed|Damm M.|ARG|Left-Handed|1.0||59.0|13.0|10.0|13.0|0.3799999999999999
clay|Laaksonen H.|CHE|Right-Handed|Bourgue M.|FRA|Right-Handed|0.0|4.0|75.0|-5.0|-3.0|2.0|0.8399999999999999
hard|Bagnis F.|ARG|Left-Handed|Vandecasteele Q.|ITA|Right-Handed|0.0|13.0|114.0|3.0|-2.0|12.0|-1.1700000000000002
hard|Bellucci M.|ITA|Left-Handed|Kukushkin M.|KAZ|Right-Handed|1.0||139.0|7.0|2.0|-13.0|-0.23999999999999977
clay|Chang T.|ITA|Right-Handed|Nishiwaki K.|JPN|Right-Handed|1.0||-27.0|9.0|7.0|-8.0|5.18
