Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
indoors|Hellum Lilleengen L.|NOR|Right-Handed|Ovcharenko O.|UKR|Right-Handed|1.0||-8.5|-3.5|-5.0|1.0|1.69
hard|Kirkin E.|TUR|Right-Handed|Ivashka I.|BLR|Right-Handed|1.0||-419.0|-11.0|-13.0|-5.0|7.6
indoors|Kalyanpur A.|IND|Right-Handed|Ajdukovic D.|HRV|Right-Handed|1.0||198.5|3.0|3.0|1.0|5.67
indoors|Kecmanovic M.|SRB|Right-Handed|Nagal S.|IND|Right-Handed|0.0|-1.0|809.0|6.0|5.0|-3.0|-3.8899999999999997
indoors|Molcan A.|SVK|Left-Handed|Heyman C.|BEL|Left-Handed|0.0|-2.0|-269.5|-17.0|-13.0|-4.0|0.030000000000000027
indoors|Philippov E.|RUS|Right-Handed|Dermiens G.|BEL|Right-Handed|0.0|-3.0|8.5|-1.5|0.0|-3.0|-1.69
indoors|Simon G.|FRA|Right-Handed|Thompson J.|AUS|Right-Handed|0.0|8.0|21.0|-12.0|0.0|9.0|-1.42
indoors|Trunov I.|RUS|Right-Handed|Caldes J.|ESP|Right-Handed|0.0|-2.0|8.5|-1.5|0.0|0.0|-1.69
hard|Celikbilek A.|TUR|Right-Handed|Giustino L.|ITA|Right-Handed|0.0|-6.0|-341.0|-11.0|5.0|-5.0|0.11999999999999988
indoors|Coppejans K.|BEL|Right-Handed|Humbert U.|FRA|Left-Handed|1.0||-953.0|-5.0|-8.0|4.0|5.14
indoors|Sanchez Martinez B.|DEU|Left-Handed|Matusevich A.|FRA|Right-Handed|1.0||-8.5|1.5|0.0|-1.0|2.52
indoors|Patino L.|MEX|Right-Handed|Modica S.|BEL|Right-Handed|0.0|6.0|-389.5|3.5|0.0|3.0|-1.69
indoors|Ramanathan R.|IND|Right-Handed|Halys Q.|FRA|Right-Handed|0.0|2.0|6.0|2.0|-3.0|2.0|0.7399999999999998
indoors|Stone Z.|BEL|Right-Handed|Kravchenko G.|UKR|Right-Handed|1.0||-8.5|17.0|5.0|4.0|1.69
indoors|Etcheverry T.|ARG|Right-Handed|Gunneswaran P.|IND|Left-Handed|1.0||-189.0|2.0|8.0|-9.0|0.07999999999999985
