Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Schroll P.|AUT|Right-Handed|1.7|Schwaerzler J.|AUT|Left-Handed|2.07|1.0||-105.5|0.5|-1.0|10.0|-0.3699999999999999
clay|Jasika O.|AUS|Left-Handed|1.92|Clarke J.|ARG|Right-Handed|1.77|0.0|2.0|-189.0|-22.0|-5.0|1.0|0.1499999999999999
Varioussurfaces|Amiri F.|ARG|Left-Handed|4.33|Shanmugam A.|IND|Right-Handed|1.2|1.0||-105.5|9.5|6.0|-1.0|3.13
clay|Jordan P.|ARG|Right-Handed|1.57|Stice T.|AUT|Right-Handed|2.24|1.0||-105.5|0.5|-1.0|-1.0|-0.6700000000000002
hard|Rodionov J.|AUT|Left-Handed|2.07|Rocha H.|PRT|Right-Handed|1.7|0.0|5.0|482.0|7.5|7.0|5.0|0.3699999999999999
clay|Latinovic S.|SRB|Right-Handed|2.23|Verbin P.|RUS|Right-Handed|1.57|0.0|1.0|105.5|-0.5|1.0|2.0|0.6599999999999999
clay|Shin S.|KOR|Right-Handed|3.58|Rodesch C.|LUX|Right-Handed|1.25|1.0||-105.5|-3.0|-5.0|4.0|2.33
clay|Rawat S.|IND|Right-Handed|2.91|Bar Biryukov P.|RUS|Left-Handed|1.35|1.0||-105.5|-8.0|-10.0|9.0|1.56
clay|Isomura K.|JPN|Right-Handed|1.44|Kawahashi Y.|JPN|Right-Handed|2.59|0.0|-5.0|105.5|-0.5|1.0|-5.0|-1.15
hard|Tiafoe F.|ARG|Right-Handed|3.32|Fritz T.|AUT|Right-Handed|1.34|1.0||-520.0|0.0|-5.0|0.0|1.9799999999999998
clay|Rodriguez L.|ARG|Right-Handed|3.89|Collarini A.|ARG|Left-Handed|1.2|1.0||-57.0|-1.5|-1.0|-8.0|2.6900000000000004
Varioussurfaces|Benson M.|ARG|Right-Handed|2.5|Palavestra I.|AUT|Right-Handed|1.5|1.0||-105.5|0.5|-1.0|0.0|1.0
clay|Hamza Reguig S.|DZA|Right-Handed|3.42|Tudorica A.|CAN|Right-Handed|1.26|0.0|0.0|105.5|-0.5|1.0|0.0|2.16
clay|Mo Y.|CHN|Right-Handed|4.46|Rodesch C.|LUX|Right-Handed|1.16|1.0||-105.5|0.5|-1.0|1.0|3.3
clay|Knaff A.|LUX|Right-Handed|2.34|Banerjee S.|AUT|Right-Handed|1.53|1.0||-105.5|0.5|-1.0|6.0|0.8099999999999998
clay|Kijametovic A.|ARG|Right-Handed|1.7|Rola B.|SVN|Left-Handed|2.07|1.0||-151.0|-6.5|-9.0|-5.0|-0.3699999999999999
clay|Shin S.|KOR|Right-Handed|2.12|Weber A.|FRA|Left-Handed|1.65|0.0|2.0|105.5|-3.5|-4.0|-5.0|0.4700000000000002
clay|Kivattsev K.|RUS|Right-Handed|1.93|Piraino G.|ITA|Left-Handed|1.78|1.0||-105.5|2.0|8.0|6.0|0.1499999999999999
clay|Sumizawa D.|JPN|Right-Handed|3.56|Nakagawa N.|JPN|Right-Handed|1.25|1.0||-105.5|-8.0|-5.0|-2.0|2.31
Varioussurfaces|Kotzen A.|ARG|Right-Handed|1.73|Clark E.|AUT|Right-Handed|2.0|1.0||-105.5|12.5|14.0|-2.0|-0.27
clay|Banerjee S.|ARG|Right-Handed|1.53|Sinclair C.|AUT|Right-Handed|2.29|1.0||-105.5|-3.5|-4.0|-9.0|-0.76
clay|Winter E.|AUS|Right-Handed|1.57|Sinclair C.|AUT|Right-Handed|2.24|1.0||-105.5|-3.5|-4.0|-10.0|-0.6700000000000002
clay|Banerjee S.|AUT|Right-Handed|1.53|Knaff A.|LUX|Right-Handed|2.34|0.0|-4.0|105.5|-0.5|1.0|-6.0|-0.8099999999999998
clay|Gengel M.|CZE|Right-Handed|2.07|Piros Z.|HUN|Right-Handed|1.7|0.0|1.0|-135.5|12.0|5.0|4.0|0.3699999999999999
Varioussurfaces|Filar K.|POL|Right-Handed|2.0|Hidalgo G.|ARG|Right-Handed|1.73|0.0|-10.0|105.5|-0.5|1.0|-8.0|0.27
clay|Piros Z.|HUN|Right-Handed|1.7|Gengel M.|CZE|Right-Handed|2.07|1.0||135.5|-12.0|-5.0|-4.0|-0.3699999999999999
clay|Palosi S.|ROU|Right-Handed|3.87|Draxl L.|CAN|Right-Handed|1.21|1.0||-105.5|0.5|-1.0|2.0|2.66
hard|Shimabukuro S.|JPN|Right-Handed|1.83|Wong C.|HKG|Right-Handed|1.9|0.0|3.0|85.0|-3.5|-1.0|7.0|-0.06999999999999984
Varioussurfaces|Schwarc D.|SVK|Right-Handed|1.36|Kovarik D.|CZE|Right-Handed|3.0|0.0|-4.0|105.5|-0.5|1.0|1.0|-1.64
clay|Carballes Baena R.|ESP|Right-Handed|1.43|Altmaier D.|DEU|Right-Handed|2.7|0.0|4.0|-71.0|-11.0|-8.0|6.0|-1.2700000000000002
Varioussurfaces|Mikovic N.|SVN|Right-Handed|4.33|Carraro L.|ITA|Right-Handed|1.2|1.0||-105.5|0.5|-1.0|-6.0|3.13
clay|De Krom M.|NLD|Right-Handed|1.85|Radulov I.|BGR|Right-Handed|1.83|0.0|6.0|105.5|-0.5|1.0|7.0|0.020000000000000018
Varioussurfaces|Gales R.|FRA|Right-Handed|1.5|Rankin M.|ARG|Right-Handed|2.5|0.0|3.0|105.5|-0.5|1.0|-4.0|-1.0
clay|Haim M.|AUT|Right-Handed|1.7|Haider-Maurer A.|AUT|Right-Handed|2.07|1.0||186.0|1.0|5.0|-11.0|-0.3699999999999999
clay|Nicod J.|CZE|Right-Handed|2.37|Choinski J.|AUT|Right-Handed|1.54|1.0||-126.0|-1.5|-12.0|-8.0|0.8300000000000001
Varioussurfaces|Carraro L.|ITA|Right-Handed|1.2|Mikovic N.|SVN|Right-Handed|4.33|0.0|7.0|105.5|-0.5|1.0|6.0|-3.13
hard|Medjedovic H.|SRB|Right-Handed|1.33|Landaluce M.|ESP|Right-Handed|3.14|0.0|3.0|389.0|-0.5|1.0|3.0|-1.81
clay|Nakagawa N.|JPN|Right-Handed|1.25|Sumizawa D.|JPN|Right-Handed|3.56|0.0|5.0|105.5|8.0|5.0|2.0|-2.31
Varioussurfaces|Clark E.|AUT|Right-Handed|2.0|Kotzen A.|ARG|Right-Handed|1.73|0.0|3.0|105.5|-12.5|-14.0|2.0|0.27
clay|Tkemaladze Z.|GEO|Right-Handed|2.07|Safonov A.|RUS|Left-Handed|1.67|0.0|5.0|105.5|-5.5|1.0|3.0|0.3999999999999999
clay|Samrej K.|THA|Right-Handed|1.63|Borg L.|SWE|Right-Handed|2.14|0.0|4.0|288.5|-0.5|1.0|2.0|-0.5100000000000002
