Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Oumaouche R.|FRA|Left-Handed|Tamm K.|EST|Right-Handed|0.0|0.0|-150.5|0.0|0.0|1.0|-1.24
clay|Cabral F.|PRT|Left-Handed|Freire Da Silva A.|FRA|Right-Handed|0.0|3.0|-150.5|0.0|0.0|2.0|-6.0600000000000005
clay|Madan T.|IND|Right-Handed|Eqbal I.|IND|Right-Handed|1.0||150.5|0.0|0.0|-3.0|0.9699999999999998
clay|Elias G.|PRT|Right-Handed|Furness E.|FRA|Right-Handed|1.0||213.0|10.0|13.0|7.0|0.3700000000000001
clay|Reddy R.|IND|Right-Handed|Tiwari A.|IND|Right-Handed|0.0|6.0|-150.5|0.0|0.0|1.5|-3.26
clay|Esteve Lobato E.|ESP|Right-Handed|Heliövaara H.|FIN|Right-Handed|0.0|-6.0|-150.5|1.0|0.0|-6.0|-3.8200000000000003
clay|Ragy M.|EGY|Right-Handed|Saito T.|JPN|Right-Handed|1.0||150.5|0.0|0.0|6.0|1.0899999999999999
indoors|Dubrivnyy A.|RUS|Right-Handed|Kravchuk K.|RUS|Right-Handed|0.0|-11.0|-115.0|-5.0|-8.0|-14.0|0.30000000000000004
indoors|Kravchuk K.|RUS|Right-Handed|Dubrivnyy A.|RUS|Right-Handed|1.0||115.0|5.0|8.0|14.0|-0.30000000000000004
clay|Velotti A.|ARG|Right-Handed|Sakamoto P.|BRA|Right-Handed|0.0|1.0|269.0|-6.0|-4.0|1.0|-0.8600000000000001
clay|Polukhin S.|RUS|Right-Handed|Suntic S.|SRB|Right-Handed|0.0|2.0|-150.5|0.0|0.0|2.0|-1.92
clay|Eqbal I.|IND|Right-Handed|Madan T.|IND|Right-Handed|0.0|1.0|-150.5|0.0|0.0|3.0|-0.9699999999999998
indoors|Seppi A.|ITA|Right-Handed|Norrie C.|ITA|Left-Handed|1.0||-236.0|-4.0|3.0|12.0|1.16
clay|Veremeychuk D.|UKR|Right-Handed|Vankan M.|DEU|Right-Handed|1.0||150.5|0.0|0.0|4.0|1.0899999999999999
clay|Turchetti N.|ITA|Right-Handed|Bilgin B.|TUR|Right-Handed|0.0|4.0|-150.5|-9.0|-3.0|4.0|-1.0899999999999999
indoors|Zakharov A.|RUS|Right-Handed|Bega A.|ITA|Right-Handed|1.0||247.5|12.0|12.0|-9.0|-0.010000000000000009
clay|Barr E.|ITA|Right-Handed|Wassermann D.|NLD|Right-Handed|1.0||150.5|0.0|0.0|1.5|1.0899999999999999
