Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Wimbledon|1.03|16.27|Sinner J.|Italy|2015|76.0|188.0|right|23.0|Cerundolo J.|Argentina|2016|68.0|183.0|left|22.0|grass|20230703
Wimbledon|2.12|1.74|Galan D.|Colombia|2011|72.0|191.0|right|28.0|Nishioka Y.|Japan|2011|64.0|170.0|left|28.0|grass|20230703
Wimbledon|3.19|1.36|Wawrinka S.|Switzerland|2001|79.0|182.0|right|39.0|Ruusuvuori E.|Finland|2014|79.0|188.0|right|25.0|grass|20230703
Wimbledon|2.72|1.47|Schwartzman D.|Argentina|2008|64.0|170.0|right|32.0|Kecmanovic M.|Serbia|2013|75.0|183.0|right|24.0|grass|20230703
Wimbledon|1.44|2.87|Vukic A.|Australia|2012|84.0|188.0|right|28.0|Altmaier D.|Germany|2013|88.0|191.0|right|25.0|grass|20230703
Wimbledon|1.45|2.76|Bublik A.|Kazakhstan|2011|77.0|198.0|right|27.0|McDonald M.|USA|2009|73.0|178.0|right|29.0|grass|20230703
Wimbledon|1.68|2.21|Otte O.|Germany|2010|79.0|193.0|right|31.0|Koepfer D.|Germany|2010|79.0|180.0|left|30.0|grass|20230703
Wimbledon|1.43|2.85|Ymer M.|Sweden|2014|75.0|183.0|right|26.0|Molcan A.|Slovakia|2014|73.0|178.0|left|26.0|grass|20230703
Wimbledon|2.59|1.51|Choinski J.|GreatBritain|2012|80.0|196.0|right|28.0|Lajovic D.|Serbia|2005|83.0|183.0|right|34.0|grass|20230703
Wimbledon|1.17|5.15|Ruud C.|Norway|2013|77.0|183.0|right|25.0|Lokoli L.|France|2010|78.0|188.0|right|29.0|grass|20230703
Wimbledon|3.05|1.39|Munar J.|Spain|2012|76.0|183.0|right|27.0|Isner J.|USA|2003|108.0|208.0|right|39.0|grass|20230703
Wimbledon|1.25|4.04|Wolf J.|USA|2015|79.0|183.0|right|25.0|Couacaud E.|France|2012|78.0|183.0|right|29.0|grass|20230703
Wimbledon|1.50|2.61|Broady L.|GreatBritain|2009|78.0|183.0|left|30.0|Lestienne C.|France|2009|77.0|180.0|right|32.0|grass|20230703
Wimbledon|1.50|2.60|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|Marozsan F.|Hungary|2016|||right|24.0|grass|20230703
Wimbledon|2.39|1.59|Moutet C.|France|2014|68.0|175.0|left|25.0|Gasquet R.|France|2002|79.0|183.0|right|38.0|grass|20230703
Wimbledon|6.67|1.12|Mmoh M.|USA|2012|90.0|188.0|right|26.0|Auger Aliassime F.|Canada|2015|88.0|193.0|right|24.0|grass|20230703
Wimbledon|1.01|26.20|Djokovic N.|Serbia|2003|80.0|187.0|right|37.0|Cachin P.|Argentina|2011|77.0|185.0|right|29.0|grass|20230703
Wimbledon|1.06|10.34|Hurkacz H.|Poland|2014|81.0|196.0|right|27.0|Ramos-Vinolas A.|Spain|2004|76.0|188.0|left|36.0|grass|20230703
Wimbledon|2.05|1.79|Marterer M.|Germany|2011|84.0|191.0|left|29.0|Gojo B.|Croatia|2013|90.0|196.0|right|26.0|grass|20230703
Wimbledon|1.08|8.80|Rublev A.|Russia|2013|70.0|188.0|right|26.0|Purcell M.|Australia|2013|75.0|185.0|right|26.0|grass|20230703
Wimbledon|1.89|1.93|Thompson J.|Australia|2010|82.0|183.0|right|30.0|Nakashima B.|USA|2016|77.0|185.0|right|23.0|grass|20230703
Wimbledon|1.06|10.33|Musetti L.|Italy|2017|75.0|185.0|right|22.0|Varillas J.|Peru|2012|78.0|185.0|right|28.0|grass|20230703
Wimbledon|1.67|2.23|Karatsev A.|Russia|2009|85.0|185.0|right|30.0|Van Assche L.|France|2019|||right|20.0|grass|20230703
Wimbledon|2.08|1.76|Barrios Vera M.|Chile|2013|88.0|191.0|right|26.0|Baez S.|Argentina|2016|70.0|170.0|right|23.0|grass|20230703
Karlsruhe challenger|1.64|2.19|Martinez P.|Spain|2012|76.0|185.0|right|27.0|Gombos N.|Slovakia|2008|85.0|193.0|right|34.0|clay|20230703
Karlsruhe challenger|1.47|2.56|Sachko V.|Ukraine|2013|68.0|183.0|right|27.0|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|clay|20230703
Karlsruhe challenger|1.47|2.59|Molleker R.|Germany|2015|75.0|185.0|right|23.0|Geerts M.|Belgium|2013|73.0|178.0|right|29.0|clay|20230703
Karlsruhe challenger|1.62|2.21|Riedi L.|Switzerland|2020|||right|22.0|Kopriva V.|CzechRepublic|2015|69.0|178.0|right|27.0|clay|20230703
Karlsruhe challenger|1.25|3.78|Tabilo A.|Chile|2013|75.0|188.0|left|27.0|Squire H.|Germany|2015|||right|23.0|clay|20230703
Karlsruhe challenger|1.37|2.99|Skatov T.|Kazakhstan|2016|73.0|173.0|right|23.0|Rodesch C.|Luxembourg|2016|||right|23.0|clay|20230703
Milan challenger|1.70|2.09|Onclin G.|Belgium|2016|||right|23.0|Lavagno E.|Italy|2014|||left|26.0|clay|20230703
Milan challenger|1.22|4.04|Diaz Acosta F.|Argentina|2017|73.0|183.0|left|23.0|Ferrari G.|Italy|2018|||left|23.0|clay|20230703
Milan challenger|1.36|3.01|Gaio F.|Italy|2008|84.0|180.0|right|32.0|Neuchrist M.|Austria|2009|||right|33.0|clay|20230703
Milan challenger|1.69|2.12|Tirante T.|Argentina|2016|78.0|185.0|right|23.0|Bellucci M.|Italy|2018|||left|23.0|clay|20230703
Milan challenger|2.50|1.50|Giannessi A.|Italy|2006|82.0|185.0|left|34.0|Maestrelli F.|Italy|2017|||right|21.0|clay|20230703
Santa Fe challenger|1.47|2.88|Burruchaga R.|Argentina|2018|||right|22.0|Alves M.|Brazil|2015|||right|23.0|clay|20230703
Santa Fe challenger|2.37|1.55|Kuzuhara B.|USA|2021|||right|20.0|Catarina L.|Monaco|2013|80.0|185.0|right|27.0|clay|20230703
Santa Fe challenger|2.35|1.56|Monzon I.|Argentina|2013|||right|26.0|La Serna J.|Argentina|2021|||left|20.0|clay|20230703
Santa Fe challenger|1.13|5.64|Descotte M.|Argentina|2011|87.0|191.0|right|30.0|Ratti L.|Argentina|2022|||right|20.0|clay|20230703
Santa Fe challenger|1.07|7.46|Boscardin Dias P.|Brazil|2018|73.0|180.0|right|21.0|Brown P.|USA|2017|||left|23.0|clay|20230703
Troyes challenger|1.08|11.95|Durasovic V.|Norway|2013|80.0|185.0|right|27.0|Hernandez-Aguilla A.|Spain|2004|||right|35.0|clay|20230703
Troyes challenger|1.80|1.95|Mager G.|Italy|2010|77.0|188.0|right|29.0|Moro Canas A.|Spain|2017|||right|23.0|clay|20230703
Troyes challenger|2.47|1.51|Erhard M.|France|2016|80.0|188.0|right|22.0|Lopez San Martin A.|Spain|2013|70.0|178.0|right|27.0|clay|20230703
Troyes challenger|1.77|1.98|Fonio G.|Italy|2014|80.0|183.0|right|26.0|Trungelliti M.|Argentina|2006|78.0|178.0|right|34.0|clay|20230703
Troyes challenger|1.68|2.09|Diez S.|Canada|2007|76.0|175.0|right|33.0|Donskoy E.|Russia|2006|75.0|185.0|right|34.0|clay|20230703
Troyes challenger|1.22|3.79|Martinez A.|Spain|2018|||right|23.0|Rocha F.|Portugal|2016|||right|24.0|clay|20230703
Troyes challenger|1.15|4.81|Poljak D.|CzechRepublic|2011|77.0|188.0|right|28.0|Antonescu V.|Romania|2008|82.0|183.0|right|34.0|clay|20230703
Troyes challenger|1.27|3.55|Papoe R.|Romania|2018|||right|22.0|Tomescu D.|Romania|2014|||right|25.0|clay|20230703
Troyes challenger|2.89|2.59|Zukas M.|Argentina|2011|72.0|183.0|right|28.0|Vanta V.|Romania|2015|67.0|180.0|right|26.0|clay|20230703
Troyes challenger|2.02|1.66|Marinescu M.|Romania|2017|||right|22.0|Henning B.|Germany|2013|||right|27.0|clay|20230703
Troyes challenger|2.02|1.66|Cazacu D.|Romania|2019|||left|20.0|Onofrei M.|Romania|2021|||right|18.0|clay|20230703
UTR Pro Tennis Series 3|1.33|2.90|Russo D.|USA|2023|||right|22.0|Monnou S.|Benin|2018|||right|21.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.00|1.67|Ross M.|GreatBritain|2019|||right||Osorio J.|Colombia|2013|||right|26.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.80|1.83|Muza E.|USA|2021|||right||Sysoev N.|Russia|2019|||right||Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.67|2.00|Brown L.|USA|2022|||right||Fradkin J.|USA|2022|||right||Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.60|1.40|Nortey I.|Ghana|2016|||right|25.0|Kittay B.|USA|2021|||right|21.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.40|2.60|Hurtado G.|Colombia|2019|||right||Ross J.|USA|2020|||right|23.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.15|1.57|Ekstrand A.|USA|2022|||right|21.0|Kapasi K.|USA|2023|||right|20.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.75|1.36|Rankin M.|GreatBritain|2022|||right||Gogineni V.|USA|2022|||right|21.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.33|2.90|Bonetto N.|USA|2022|||right||Koch B.|USA|2023|||right|22.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.83|1.80|Morandais J.|Guadeloupe|2018|||right|21.0|Chrysostom J.|USA|2021|||right|23.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.10|1.62|Pinzon Moreno F.|USA|2021|||right||Craig C.|USA|2022|||right|20.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.15|1.57|Dal Boni L.|USA|2023|||right|19.0|Ekstrand M.|Sweden|2022|||right|21.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|1.80|1.83|Barton J.|USA|2021|||right|22.0|Stearns P.|USA|2021|||left|20.0|Varioussurfaces|20230703
UTR Pro Tennis Series 3|2.38|1.48|Nortey I.|Ghana|2016|||right|25.0|Muza E.|USA|2021|||right||Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.40|2.60|Fekete J.|Slovakia|2019|||right|23.0|Keisidis C.|Greece|2008|||right|31.0|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.57|2.15|Iamachkine P.|Peru|2012|||right|28.0|Podorozhnyi A.|Ukraine|2021|||right||Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.57|2.15|Atlangeriev B.|Russia|2016|||right|23.0|Mashtakov M.|Ukraine|2014|73.0|178.0|right|25.0|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.27|3.20|Jurajda A.|CzechRepublic|2020|||right|21.0|Sallay P.|Hungary|2016|||right|23.0|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.80|1.83|Wright A.|GreatBritain|2022|||right||Cierny D.|Slovakia|2018|||right|24|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.01|15.00|Rumler R.|CzechRepublic|2008|||right|30.0|Benson M.|USA|2021|||right|24.0|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.80|1.83|Dziopak J.|Poland|2022|||right||Jermar J.|CzechRepublic|2018|||right|24.0|Varioussurfaces|20230703
UTR Pro Tennis Series 5|1.02|8.50|Brown O.|GreatBritain|2023|||right|21.0|Carrizo M.|Argentina|2012|||right|27|Varioussurfaces|20230703
Bloomfield Hills challenger|1.87|1.85|Schoolkate T.|Australia|2019|78.0|183.0|right|23.0|Martin A.|USA|2021|77.0|183.0|right|23.0|hard|20230703
Bloomfield Hills challenger|2.31|1.57|Boulais J.|Canada|2017|77.0|183.0|left|22.0|Chappell N.|USA|2010|82.0|178.0|left|31.0|hard|20230703
Bloomfield Hills challenger|1.77|1.97|Zhu E.|USA|2014|70.0|185.0|right|26.0|Sinclair C.|N.MarianaIsl.|2012|82.0|188.0|right|29.0|hard|20230703
Bloomfield Hills challenger|1.46|2.57|Jasika O.|Australia|2011|60.0|183.0|left|27.0|Fenty A.|USA|2018|93.0|194.0|right|24.0|hard|20230703
Bloomfield Hills challenger|1.44|2.67|McHugh A.|GreatBritain|2016|70.0|178.0|right|24.0|Ellis B.|Australia|2013|||right|25.0|hard|20230703
Bloomfield Hills challenger|1.63|2.19|Mukund S.|India|2012|78.0|185.0|right|27.0|Clark E.|USA|2015|66.0|170.0|right|26.0|hard|20230703
Bloomfield Hills challenger|3.47|1.27|Baris O.|USA|2019|||right|20.0|Langmo C.|USA|2013|84.0|191.0|right|28.0|hard|20230703
Bloomfield Hills challenger|1.89|1.82|Kingsley C.|USA|2017|75.0|188.0|right|23.0|Moriya H.|Japan|2007|65.0|168.0|right|33.0|hard|20230703
Bloomfield Hills challenger|1.81|1.91|Martin A.|USA|2021|77.0|183.0|right|23.0|Ponwith N.|USA|2012|79.0|188.0|right|26.0|hard|20230703
Bloomfield Hills challenger|1.40|2.78|Chung Y.|SouthKorea|2013|78.0|178.0|right|26.0|Kirchheimer S.|USA|2013|79.0|185.0|right|29.0|hard|20230703
Bloomfield Hills challenger|1.33|3.12|Escobedo E.|Mexico|2010|82.0|185.0|right|28.0|Cozbinov A.|Moldavsko|2012|||right|29.0|hard|20230703
Bloomfield Hills challenger|1.54|2.38|Zhu E.|USA|2014|70.0|185.0|right|26.0|Nam J.|SouthKorea|2009|80.0|183.0|right|31.0|hard|20230703
Bloomfield Hills challenger|1.56|2.29|Schoolkate T.|Australia|2019|78.0|183.0|right|23.0|Ayeni A.|USA|2015|82.0|191.0|right|25.0|hard|20230703
Bloomfield Hills challenger|1.56|2.29|Horiuchi R.|Japan|2017|||right|25.0|Piatti R.|Monaco|2019|||right||hard|20230703
Bloomfield Hills challenger|2.40|1.45|Bolla A.|Italy|2014|||right|25.0|Martinez L.|Switzerland|2015|||right|25.0|hard|20230703
Bloomfield Hills challenger|2.40|1.45|Schenekenberg G.|Brazil|2022|||right||Ortenzi G.|Italy|2017|||right|24.0|hard|20230703
Bloomfield Hills challenger|2.80|1.33|Zamora N.|USA|2021|||right|21.0|Papa C.|USA|2019|||right||hard|20230703
Bloomfield Hills challenger|4.20|1.15|Amiri A.|USA|2016|||right|22.0|Zapp L.|USA|2018|||right|22.0|hard|20230703
Bloomfield Hills challenger|1.03|7.50|Strode E.|USA|2021|||left|22.0|Crabel A.|USA|2023|||right|22.0|hard|20230703
Bloomfield Hills challenger|4.60|1.12|Overmyer K.|USA|2019|||right|20.0|Sarr J.|USA|2022|||right|20.0|hard|20230703
Bloomfield Hills challenger|1.03|7.50|Revelli G.|GreatBritain|2021|||right|22.0|Leslie Z.|USA|2022|||right|32.0|hard|20230703
Bloomfield Hills challenger|1.10|5.00|Jones A.|USA|2016|||right||Baar B.|USA|2015|||right|26.0|hard|20230703
Bloomfield Hills challenger|1.12|4.60|Neuhaus A.|Switzerland|2017|||right|25.0|Fardanesh M.|USA|2023|||right||hard|20230703
Bloomfield Hills challenger|1.01|9.00|Mckennon M.|USA|2017|||left|22.0|Djakouris A.|Cyprus|2017|||right|22|hard|20230703
Bloomfield Hills challenger|1.10|5.00|Menichella S.|USA|2013|||right|29.0|Horoz Garner J.|GreatBritain|2015|||right|26.0|hard|20230703
Bloomfield Hills challenger|1.05|6.50|Chopra K.|USA|2019|58.0|178.0|right|22.0|Garcia M.|USA|2022|||right|18.0|hard|20230703
Bloomfield Hills challenger|1.12|4.60|Thompkins J.|USA|2011|||right|28.0|Abukusumo A.|USA|2021|||right|21.0|hard|20230703
Bloomfield Hills challenger|1.15|4.20|Smith K.|USA|2016|93.0|198.0|right|26.0|Van Loben Sels E.|USA|2021|||right|19.0|hard|20230703
Bloomfield Hills challenger|4.00|1.17|Djakouris C.|Cyprus|2023|||right|20.0|Ji Z.|China|2022|||right||hard|20230703
Bloomfield Hills challenger|1.20|3.60|Thayne W.|USA|2018|||right|23.0|Giese K.|USA|2022|||right|20|hard|20230703
Bloomfield Hills challenger|1.25|3.30|Rolland D.|France|2021|||right|20.0|Maassen G.|USA|2013|||right|29.0|hard|20230703
Bloomfield Hills challenger|1.20|3.60|Visaya A.|USA|2021|||right||Clark M.|USA|2023|||right||hard|20230703
Bloomfield Hills challenger|1.52|2.34|Freire Da Silva A.|France|2016|||right|25.0|Dalmasso G.|France|2022|||right|21.0|hard|20230703
Bloomfield Hills challenger|1.52|2.34|Crisostomo G.|Italy|2021|||right|21.0|Spadola A.|Italy|2018|||left|21.0|hard|20230703
Bloomfield Hills challenger|1.52|2.34|Trochu P.|France|2020|||right|20.0|Moore E.|GreatBritain|2014|||right|26.0|hard|20230703
Bloomfield Hills challenger|1.11|5.65|Lalami Laaroussi Y.|Morocco|2017|||right|23.0|De Visser T.|Netherlands|2023|||right|20.0|hard|20230703
Bloomfield Hills challenger|1.44|4.42|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|Ghazouani Durand Y.|France|2023|||right|24.0|hard|20230703
Bloomfield Hills challenger|1.44|4.42|Cortegiani A.|Italy|2013|74.0|178.0|right|28.0|Malgaroli L.|Italy|2017|||right|22.0|hard|20230703
Bloomfield Hills challenger|1.44|4.42|Marchetti F.|Italy|2015|||right|23.0|Fumagalli F.|Italy|2020|||right|22.0|hard|20230703
Bloomfield Hills challenger|1.44|4.42|Klier Junior G.|Brazil|2016|||right|24.0|Lobanov A.|Russia|2021|||right|23.0|hard|20230703
Bloomfield Hills challenger|1.44|4.42|Borisiouk M.|Belarus|2015|82.0|191.0|right|24.0|Ilhan M.|Turkey|2002|80.0|191.0|right|37.0|hard|20230703
Bloomfield Hills challenger|1.30|3.13|Corwin F.|USA|2014|82.0|188.0|right|28.0|Pel S.|Netherlands|2019|||right||hard|20230703
Bloomfield Hills challenger|1.30|3.13|Koenig L.|GreatBritain|2020|||right|21.0|Scott A.|RSA|2019|||right||hard|20230703
Bloomfield Hills challenger|1.30|3.13|Inoue G.|Japan|2021|||right|21.0|Rsovac D.|Australia|2021|||right||hard|20230703
Bloomfield Hills challenger|1.25|3.50|Salazar D.|Colombia|2015|||right|23.0|Wedel C.|Germany|2022|||right|24.0|hard|20230703
Bloomfield Hills challenger|1.25|3.50|Ingarao A.|Italy|2016|||right|25.0|Kyratzis S.|Cyprus|2010|||left|29.0|hard|20230703
Bloomfield Hills challenger|1.16|4.38|Respaut C.|France|2014|||right|25.0|Giovannini U.|Italy|2012|||right|26.0|hard|20230703
Bloomfield Hills challenger|1.16|4.38|Heinonen A.|Sweden|2018|||right|21.0|Thanos A.|Greece|2019|||right|23.0|hard|20230703
Bloomfield Hills challenger|3.30|1.28|Hammes T.|Germany|2022|||right|21.0|Schifris J.|Germany|2017|||left|22.0|hard|20230703
Bloomfield Hills challenger|2.25|1.56|Cook E.|Australia|2020|||right|21.0|Cunat M.|France|2019|||right|23.0|hard|20230703
Bloomfield Hills challenger|2.25|1.56|Mikovic N.|Slovenia|2022|||right|20.0|D'Agostino S.|Italy|2017|||right|20.0|hard|20230703
Bloomfield Hills challenger|1.44|2.55|Jansson O.|Sweden|2023|||right||Quayle D.|GreatBritain|2018|||right|24.0|hard|20230703
Bloomfield Hills challenger|1.44|2.55|Boyd K.|USA|2012|||right|27.0|Oliveira C.|Brazil|2016|||right|24.0|hard|20230703
Bloomfield Hills challenger|1.83|1.83|Hess S.|Argentina|2018|||right|23.0|Pourroy L.|France|2016|||right||hard|20230703
Bloomfield Hills challenger|1.83|1.83|Coelho F.|Portugal|2015|||right|24.0|Perego G.|Italy|2019|||right|21.0|hard|20230703
Bloomfield Hills challenger|1.83|1.83|Luis T.|Portugal|2017|||right|22.0|Maia H.|Portugal|2016|||right|23.0|hard|20230703
Bloomfield Hills challenger|1.28|3.21|Van Sambeek F.|Netherlands|2020|||left|22.0|Schonenberg T.|Germany|2008|75.0|185.0|right|33.0|hard|20230703
Bloomfield Hills challenger|1.60|2.05|Petrovic A.|Norway|2018|75.0|187.0|right|24.0|Shandarov R.|Bulgaria|2012|71.0|185.0|right|28.0|hard|20230703
Bloomfield Hills challenger|2.39|1.48|Rietkerk K.|Netherlands|2022|||right||Stanke C.|Germany|2016|||right|25.0|hard|20230703
Bloomfield Hills challenger|2.03|1.73|Baltensperger R.|Switzerland|2013|78.0|185.0|right|26.0|Koch N.|Germany|2014|||right|25.0|hard|20230703
Bloomfield Hills challenger|1.42|2.53|Tanner G.|Switzerland|2019|||right||Schaer R.|Switzerland|2021|||right||hard|20230703
Bloomfield Hills challenger|1.80|1.80|Bruna N.|Chile|2014|||right|25.0|Kyjaci S.|Slovakia|2022|||right|20.0|hard|20230703
Bloomfield Hills challenger|1.52|2.27|Waldner N.|Austria|2018|||right|22.0|Aerne L.|Switzerland|2016|||right|25.0|hard|20230703
Bloomfield Hills challenger|1.16|4.48|Molino J.|Spain|2016|||right|23.0|Branger L.|France|2021|||right|23.0|hard|20230703
Bloomfield Hills challenger|1.08|6.08|Burdet A.|Switzerland|2019|||right||Guerra B.|Switzerland|2021|||right|27.0|hard|20230703
