Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Shimabukuro S.|JPN|Right-Handed|3.07|Yevseyev D.|KAZ|Right-Handed|1.35|0.0|-6.0|1.0|0.0|-6.0|-4.0|1.7199999999999998
clay|Alvarado Berrospi A.|PER|Right-Handed|5.42|De La Fuente S.|ARG|Right-Handed|1.1|1.0||5.0|0.0|-1.0|2.0|4.32
clay|Villanueva G.|ARG|Right-Handed|2.68|Alves M.|BRA|Right-Handed|1.42|0.0|4.0|114.0|-8.0|-9.0|6.0|1.2600000000000002
clay|Serafini M.|ITA|Right-Handed|1.23|Bilardo J.|ITA|Right-Handed|3.66|0.0|1.0|-5.0|0.0|1.0|2.0|-2.43
hard|Evans D.|FRA|Right-Handed|1.83|Uchiyama Y.|JPN|Right-Handed|1.94|0.0|2.0|1573.0|-3.0|-8.0|2.0|-0.10999999999999988
hard|Engel J.|DEU|Right-Handed|2.26|Soriano Barrera A.|COL|Right-Handed|1.58|0.0|-7.0|-5.0|0.0|1.0|-9.0|0.6799999999999997
hard|Machac T.|CZE|Right-Handed|1.59|Humbert U.|FRA|Left-Handed|2.35|1.0||-660.0|0.0|-5.0|-3.0|-0.76
hard|Cornut Chauvinc A.|FRA|Right-Handed|2.28|Sell K.|BRA|Right-Handed|1.58|1.0||5.0|-3.0|1.0|-6.0|0.6999999999999997
clay|Spadola A.|ITA|Left-Handed|2.85|Mura M.|ITA|Right-Handed|1.35|0.0|5.0|-5.0|0.0|1.0|2.0|1.5
clay|Howe P.|AUS|Right-Handed|3.69|Sach T.|AUS|Right-Handed|1.22|1.0||5.0|0.0|-1.0|2.0|2.4699999999999998
clay|Rast E.|DEU|Right-Handed|1.26|Le Meur R.|FRA|Right-Handed|3.4|1.0||5.0|0.0|-1.0|0.0|-2.1399999999999997
clay|Bianchet S.|AUS|Right-Handed|3.69|Takamisawa T.|JPN|Right-Handed|1.22|1.0||5.0|0.0|-1.0|-4.0|2.4699999999999998
hard|Nanda G.|FRA|Right-Handed|1.47|Zahraj P.|DEU|Right-Handed|2.55|0.0|0.0|-5.0|0.0|1.0|-2.0|-1.0799999999999998
hard|Kachmazov A.|RUS|Right-Handed|2.42|Moro Canas A.|ESP|Right-Handed|1.53|1.0||-320.0|0.0|-1.0|-1.0|0.8899999999999999
clay|Zeitune M.|ARG|Right-Handed|1.1|Fishback R.|FRA|Right-Handed|5.42|0.0|-5.0|-5.0|0.0|1.0|-1.0|-4.32
clay|Cook E.|AUS|Right-Handed|3.69|Winter H.|AUS|Right-Handed|1.22|1.0||5.0|0.0|-1.0|0.0|2.4699999999999998
clay|Sharma A.|IND|Right-Handed|3.69|Ehrenschneider N.|DEU|Right-Handed|1.22|1.0||5.0|0.0|-1.0|0.0|2.4699999999999998
hard|Sheehy J.|FRA|Left-Handed|2.85|Baris O.|FRA|Right-Handed|1.38|1.0||5.0|2.0|3.0|7.0|1.4700000000000002
