Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Arnaldi M.|ITA|Right-Handed|Ferrari G.|ITA|Left-Handed|0.0|0.0|-36.5|2.0|2.0|0.0|-2.29
Varioussurfaces|Panta J.|PER|Right-Handed|Villanueva G.|ARG|Right-Handed|1.0||43.5|6.0|8.0|0.0|1.0
clay|Pourroy L.|FRA|Right-Handed|Mertens Y.|BEL|Right-Handed|0.0|-12.0|-80.0|6.0|-3.0|-12.0|2.71
Varioussurfaces|Bickersteth J.|FRA|Right-Handed|Krug C.|DEU|Right-Handed|0.0|-1.0|-60.5|2.0|2.0|-4.0|-0.7
clay|Artnak B.|SVN|Right-Handed|Rikl P.|CZE|Right-Handed|1.0||60.5|-4.0|-2.0|-5.0|4.800000000000001
clay|Soto M.|CHL|Right-Handed|Peliwo F.|POL|Right-Handed|1.0||153.5|4.0|3.0|-5.0|-0.5299999999999998
clay|Frunza N.|ROU|Right-Handed|Sheyngezikht L.|BGR|Right-Handed|0.0|4.0|-60.5|2.0|2.0|3.0|-6.98
clay|Hassan B.|LBN|Right-Handed|Moeller M.|DEU|Right-Handed|1.0||60.5|16.0|5.0|4.0|-0.6499999999999999
clay|Comesana F.|ARG|Right-Handed|Prihodko O.|UKR|Right-Handed|0.0|-3.0|-60.5|1.0|5.0|-3.0|-2.2800000000000002
clay|Hamou M.|FRA|Right-Handed|Brugnerotto M.|ITA|Left-Handed|0.0|2.0|-36.5|5.0|5.0|1.0|-1.57
clay|Holmgren A.|DNK|Right-Handed|Lingua Lavallen A.|ARG|Left-Handed|0.0|2.0|-201.5|2.0|2.0|3.0|0.8599999999999999
clay|Briand J.|FRA|Right-Handed|Alves M.|BRA|Right-Handed|0.0|0.0|97.0|2.0|2.0|2.0|-0.3699999999999999
clay|Shevchenko A.|KAZ|Right-Handed|Zukas M.|ARG|Right-Handed|0.0|-6.0|129.5|-2.0|2.0|-5.0|-0.4600000000000002
clay|Niedner N.|DEU|Right-Handed|Welte M.|DEU|Right-Handed|1.0||60.5|-2.0|-2.0|3.0|5.24
clay|Prihodko O.|UKR|Right-Handed|Comesana F.|ARG|Right-Handed|1.0||60.5|-1.0|-5.0|3.0|2.2800000000000002
clay|Ferrari G.|ITA|Left-Handed|Arnaldi M.|ITA|Right-Handed|1.0||36.5|-2.0|-2.0|0.0|2.29
clay|Lama G.|CHL|Right-Handed|Prechtel S.|DEU|Right-Handed|0.0|5.0|-180.5|4.0|-5.0|3.0|-4.9
clay|Nijboer R.|NLD|Right-Handed|Handel T.|DEU|Right-Handed|0.0|-3.0|-60.5|1.0|-3.0|-2.0|-1.1900000000000002
clay|Lingua Lavallen A.|ARG|Left-Handed|Holmgren A.|DNK|Right-Handed|1.0||201.5|-2.0|-2.0|-3.0|-0.8599999999999999
clay|Joncour R.|FRA|Left-Handed|Ignatik U.|BLR|Right-Handed|0.0|-7.0|88.0|-2.0|5.0|-7.0|5.07
clay|Karlovskiy E.|RUS|Right-Handed|Krutykh O.|UKR|Right-Handed|0.0|6.0|-54.0|9.0|8.0|6.0|-0.3799999999999999
Varioussurfaces|Krug C.|DEU|Right-Handed|Bickersteth J.|FRA|Right-Handed|1.0||60.5|-2.0|-2.0|4.0|0.7
clay|Beloborodko I.|UKR|Right-Handed|Jirousek T.|CZE|Right-Handed|1.0||60.5|-2.0|-2.0|-1.0|-0.32999999999999985
Varioussurfaces|Jovic V.|SRB|Right-Handed|Thirouin J.|FRA|Right-Handed|1.0||60.5|-9.0|-5.0|-4.0|0.0
clay|Tepavac M.|SRB|Right-Handed|Wiskandt M.|DEU|Right-Handed|0.0|7.0|52.5|14.0|10.0|8.0|-4.03
clay|Fenty A.|FRA|Right-Handed|Lazarov A.|BGR|Right-Handed|0.0|-3.0|-60.5|9.0|3.0|-2.0|4.56
clay|Braynin A.|UKR|Right-Handed|Mashtakov M.|UKR|Right-Handed|1.0||60.5|3.0|5.0|0.0|0.24
clay|Mpetshi Perricard G.|FRA|Right-Handed|Uchida K.|JPN|Right-Handed|0.0|-10.0|-147.0|4.0|5.0|-8.0|0.7799999999999998
clay|Zhang Z.|CHN|Right-Handed|Serdarusic N.|HRV|Right-Handed|1.0||129.0|2.0|2.0|0.0|-0.6499999999999999
clay|Klein L.|SVK|Right-Handed|Rune H.|DNK|Right-Handed|1.0||85.0|17.0|8.0|5.0|0.24
clay|Tsitsipas P.|GRC|Right-Handed|Moriya H.|JPN|Right-Handed|0.0|-8.0|-313.0|11.0|17.0|-9.0|4.9399999999999995
clay|Oliel Y.|ISR|Left-Handed|Leshem E.|ISR|Right-Handed|0.0|-3.0|-61.0|8.0|5.0|-3.0|-0.41000000000000014
clay|Catarina L.|MCO|Right-Handed|Tashbulatov D.|KAZ|Right-Handed|0.0|2.0|-104.5|4.0|2.0|3.0|-6.79
clay|Squire H.|DEU|Right-Handed|Bovy A.|BEL|Left-Handed|0.0|3.0|-48.5|2.0|2.0|0.0|-0.5
clay|Burruchaga R.|ARG|Right-Handed|Castelnuovo L.|CHE|Left-Handed|0.0|-5.0|-60.5|2.0|2.0|-5.0|-3.41
clay|Karol M.|SVK|Right-Handed|Peliwo F.|POL|Right-Handed|0.0|-9.0|93.0|18.0|18.0|-9.0|0.09999999999999987
clay|Balzerani R.|ITA|Right-Handed|Agamenone F.|ITA|Right-Handed|1.0||-189.5|-2.0|-3.0|-6.0|3.7800000000000002
clay|Karol M.|SVK|Right-Handed|Pospisil J.|CZE|Right-Handed|0.0|-18.0|-68.0|18.0|20.0|-22.0|1.1199999999999999
clay|Niki T.|JPN|Right-Handed|Fernandez Flores D.|CHL|Right-Handed|1.0||-25.0|-5.0|-2.0|13.0|-0.5100000000000002
Varioussurfaces|Lieberman H.|FRA|Right-Handed|Cenoz J.|ARG|Right-Handed|0.0|-1.0|-60.5|2.0|2.0|1.0|0.5199999999999998
clay|Coelho F.|PRT|Right-Handed|Noskin E.|RUS|Left-Handed|0.0|2.0|-60.5|2.0|2.0|0.0|-2.83
Varioussurfaces|Young G.|FRA|Right-Handed|Lieberman H.|DEU|Right-Handed|0.0|-3.0|-60.5|2.0|2.0|-3.0|-2.64
clay|Cox D.|FRA|Right-Handed|Fancutt T.|AUS|Right-Handed|0.0|7.0|173.0|-4.0|-13.0|4.0|-0.3500000000000001
Varioussurfaces|Borza B.|ROU|Left-Handed|Laurent Y.|FRA|Right-Handed|0.0|-3.0|-60.5|2.0|2.0|-5.0|2.2199999999999998
clay|Loffhagen G.|FRA|Right-Handed|Vanshelboim E.|UKR|Right-Handed|0.0|1.0|-87.5|-3.0|0.0|0.0|0.7199999999999998
Varioussurfaces|Kolisnyk O.|UKR|Right-Handed|Slavic N.|SWE|Right-Handed|0.0|3.0|-60.5|2.0|2.0|5.0|0.0
clay|Terziev S.|BGR|Left-Handed|Donev G.|BGR|Right-Handed|1.0||60.5|6.0|3.0|-2.0|3.06
clay|Miceli M.|ITA|Right-Handed|Cretu C.|ROU|Right-Handed|1.0||60.5|-2.0|-2.0|2.0|0.6100000000000001
clay|Kovalik J.|SVK|Right-Handed|Laaksonen H.|CHE|Right-Handed|1.0||85.0|4.0|-2.0|-1.0|0.52
