Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|Djokovic N.|SRB|Right-Handed|1.01|Xilas I.|GRC|Right-Handed|31.3|0.0|16.0|7271.0|1.0|2.0|14.0|-30.29
clay|Shin S.|KOR|Right-Handed|1.28|Masabayashi T.|JPN|Right-Handed|3.28|1.0||37.0|-3.0|-3.0|1.0|-1.9999999999999998
clay|Merida Aguilar D.|ESP|Right-Handed|1.29|Manzanera Pertusa A.|ESP|Right-Handed|3.22|0.0|0.0|-37.0|-1.0|-2.0|-2.0|-1.9300000000000002
clay|Peliwo F.|POL|Right-Handed|1.78|Blanch D.|AUS|Right-Handed|1.92|0.0|10.0|-260.0|-7.0|-5.0|9.0|-0.1399999999999999
hard|Shelbayh A.|JOR|Left-Handed|1.92|Kudla D.|AUS|Right-Handed|1.81|0.0|-11.0|-175.0|-1.0|3.0|-12.0|0.10999999999999988
hard|Nardi L.|ITA|Right-Handed|1.63|Shimabukuro S.|JPN|Right-Handed|2.18|1.0||25.0|4.0|2.0|-6.0|-0.5500000000000003
clay|Javia D.|IND|Right-Handed|2.4|Bocchi L.|ITA|Right-Handed|1.5|1.0||37.0|1.0|5.0|-4.0|0.8999999999999999
Varioussurfaces|Tange S.|JPN|Right-Handed|1.32|Tanuma R.|JPN|Right-Handed|3.26|1.0||37.0|15.0|5.0|-6.0|-1.9399999999999997
Varioussurfaces|Oliel Y.|ISR|Left-Handed|1.69|Krutykh O.|UKR|Right-Handed|2.03|0.0|1.0|-211.0|-1.0|3.0|0.0|-0.33999999999999986
clay|Sels J.|NLD|Right-Handed|2.24|Den Ouden G.|NLD|Right-Handed|1.6|1.0||37.0|5.0|5.0|7.0|0.6400000000000001
Varioussurfaces|Nakano R.|JPN|Right-Handed|1.32|Hayashi K.|JPN|Right-Handed|3.26|1.0||37.0|1.0|2.0|-1.0|-1.9399999999999997
Varioussurfaces|Benchetrit E.|MAR|Right-Handed|1.13|Arneodo R.|MCO|Right-Handed|5.81|1.0||-189.0|15.0|18.0|-7.0|-4.68
Varioussurfaces|Rolis D.|LVA|Right-Handed|4.66|Setodji T.|FRA|Right-Handed|1.17|1.0||37.0|-4.0|2.0|-9.0|3.49
Varioussurfaces|Nys H.|MCO|Right-Handed|3.31|Dlimi Y.|MAR|Right-Handed|1.31|0.0|11.0|-37.0|-1.0|0.0|12.0|2.0
hard|Tien L.|AUS|Left-Handed|1.26|Tomic B.|AUS|Right-Handed|3.68|0.0|-13.0|-245.0|-13.0|-13.0|-13.0|-2.42
