Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Rome|2.34|1.60|Cilic M.|Croatia|2004|89.0|198.0|right|35.0|Norrie C.|GreatBritain|2013|82.0|188.0|left|28.0|clay|20220511
Rome|1.30|3.55|Sinner J.|Italy|2015|76.0|188.0|right|23.0|Fognini F.|Italy|2002|79.0|178.0|right|37.0|clay|20220511
Rome|3.22|1.35|Wawrinka S.|Switzerland|2001|79.0|182.0|right|39.0|Djere L.|Serbia|2011|82.0|188.0|right|29.0|clay|20220511
Rome|3.17|1.36|Brooksby J.|USA|2015|82.0|188.0|right|23.0|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|clay|20220511
Rome|6.10|1.13|Giron M.|USA|2008|77.0|180.0|right|31.0|Schwartzman D.|Argentina|2008|64.0|170.0|right|32.0|clay|20220511
Rome|1.23|4.25|Tsitsipas S.|Greece|2013|89.0|193.0|right|26.0|Dimitrov G.|Bulgaria|2007|81.0|191.0|right|33.0|clay|20220511
Rome|1.64|2.26|De Minaur A.|Australia|2015|69.0|183.0|right|25.0|Paul T.|USA|2013|82.0|185.0|right|27.0|clay|20220511
Rome|1.09|8.05|Nadal R.|Spain|2001|85.0|185.0|left|38.0|Isner J.|USA|2003|108.0|208.0|right|39.0|clay|20220511
Rome|2.72|1.46|Khachanov K.|Russia|2011|87.0|198.0|right|28.0|Carreno-Busta P.|Spain|2006|78.0|188.0|right|33.0|clay|20220511
Rome|1.22|4.29|Zverev A.|Germany|2011|90.0|198.0|right|27.0|Baez S.|Argentina|2016|70.0|170.0|right|23.0|clay|20220511
Bordeaux challenger|1.84|1.89|Cuevas P.|Uruguay|2002|78.0|180.0|right||Verdasco F.|Spain|2001|90.0|188.0|left|40.0|clay|20220511
Bordeaux challenger|3.19|1.33|Kotov P.|Russia|2015|86.0|191.0|right|25.0|Daniel T.|Japan|2008|80.0|191.0|right|31.0|clay|20220511
Bordeaux challenger|1.94|1.80|Halys Q.|France|2011|78.0|191.0|right|27.0|Sock J.|USA|2009|88.0|191.0|right|31.0|clay|20220511
Bordeaux challenger|1.38|2.87|Ymer E.|Sweden|2012|79.0|183.0|right|28.0|Eubanks C.|USA|2012|82.0|201.0|right|28.0|clay|20220511
Bordeaux challenger|1.21|4.26|Bonzi B.|France|2013|76.0|185.0|right|28.0|Barrere G.|France|2009|80.0|183.0|right|30.0|clay|20220511
Heilbronn challenger|1.43|2.71|Altmaier D.|Germany|2013|88.0|191.0|right|25.0|Lestienne C.|France|2009|77.0|180.0|right|32.0|clay|20220511
Heilbronn challenger|2.26|1.60|Martin A.|Slovakia|2005|83.0|183.0|right|34.0|Krutykh O.|Ukraine|2016|||right|24.0|clay|20220511
Heilbronn challenger|1.16|4.85|Zapata Miralles B.|Spain|2012|82.0|183.0|right|27.0|Molleker R.|Germany|2015|75.0|185.0|right|23.0|clay|20220511
Heilbronn challenger|3.62|1.27|Tirante T.|Argentina|2016|78.0|185.0|right|23.0|Ugo Carabelli C.|Argentina|2015|83.0|185.0|right|25.0|clay|20220511
Heilbronn challenger|1.20|4.38|Tseng C.|ChineseTaipei|2015|65.0|175.0|right|23.0|Squire H.|Germany|2015|||right|23.0|clay|20220511
Heilbronn challenger|1.50|2.49|Ritschard A.|Switzerland|2009|82.0|193.0|right|30.0|Zekic M.|Serbia|2003|79.0|185.0|right|36.0|clay|20220511
Heilbronn challenger|1.20|4.30|Galan D.|Colombia|2011|72.0|191.0|right|28.0|Hassan B.|Lebanon|2013|85.0|183.0|right|29.0|clay|20220511
Heilbronn challenger|2.17|1.64|Forejtek J.|CzechRepublic|2017|71.0|180.0|right|23.0|Bagnis F.|Argentina|2005|82.0|183.0|left|34.0|clay|20220511
Coquimbo challenger|2.51|1.49|Martin Tiffon P.|Spain|2016|73.0|183.0|right|25.0|Lama G.|Chile|2008|82.0|180.0|right|31.0|clay|20220511
Coquimbo challenger|1.11|6.29|Barrios Vera M.|Chile|2013|88.0|191.0|right|26.0|Huertas Del Pino C.|Peru|2012|86.0|188.0|right|28.0|clay|20220511
Coquimbo challenger|2.02|1.73|Boscardin Dias P.|Brazil|2018|73.0|180.0|right|21.0|Heide G.|Brazil|2018|||right|22.0|clay|20220511
Coquimbo challenger|1.39|2.80|Collarini A.|Argentina|2007|80.0|185.0|left|32.0|Andreev A.|Bulgaria|2015|66.0|180.0|right|23.0|clay|20220511
Coquimbo challenger|1.24|3.81|Torres J.|Argentina|2019|||right|22.0|Reis Da Silva J.|Brazil|2015|75.0|175.0|right|24.0|clay|20220511
Coquimbo challenger|1.98|1.78|Comesana F.|Argentina|2017|||right|23.0|Olivieri G.|Argentina|2014|73.0|175.0|right|26.0|clay|20220511
Coquimbo challenger|1.56|2.33|Diaz Acosta F.|Argentina|2017|73.0|183.0|left|23.0|Casanova H.|Argentina|2010|76.0|178.0|right|30.0|clay|20220511
Coquimbo challenger|6.25|1.11|Huertas Del Pino A.|Peru|2017|||right|30.0|Rodriguez Taverna S.|Argentina|2014|82.0|191.0|right|25.0|clay|20220511
Shymkent challenger|1.27|3.58|Nava E.|USA|2016|74.0|183.0|right|22.0|Zhu E.|USA|2014|70.0|185.0|right|26.0|clay|20220511
Shymkent challenger|2.02|1.74|Karlovskiy E.|Russia|2010|85.0|191.0|right|30.0|Yevseyev D.|Kazakhstan|2009|75.0|189.0|right|31.0|clay|20220511
Shymkent challenger|2.25|1.60|Blanch U.|USA|2014|78.0|188.0|right|26.0|Alvarez Varona N.|Spain|2015|80.0|188.0|right|23.0|clay|20220511
Shymkent challenger|3.65|1.26|Lazarov A.|Bulgaria|2015|84.0|191.0|right|26.0|Shevchenko A.|Kazakhstan|2017|70.0|185.0|right|23.0|clay|20220511
Shymkent challenger|2.18|1.64|Fanselow S.|Germany|2007|||right|32.0|Bellier A.|Switzerland|2013|80.0|196.0|left|27.0|clay|20220511
Shymkent challenger|1.58|2.29|Kirkin E.|Turkey|2014|73.0|180.0|right|25.0|Marchenko I.|Ukraine|2003|82.0|185.0|right|36.0|clay|20220511
Shymkent challenger|1.86|1.91|Madaras D.|Sweden|2015|85.0|191.0|left|26.0|Ionel N.|Romania|2017|71.0|183.0|right|21.0|clay|20220511
Shymkent challenger|2.41|1.53|Durasovic V.|Norway|2013|80.0|185.0|right|27.0|Torpegaard M.|Denmark|2011|84.0|193.0|right|30.0|clay|20220511
Zagreb challenger|2.10|1.70|Serdarusic N.|Croatia|2011|85.0|191.0|right|27.0|Kopriva V.|CzechRepublic|2015|69.0|178.0|right|27.0|clay|20220511
Zagreb challenger|1.89|1.86|Ajdukovic D.|Croatia|2015|75.0|185.0|right|23.0|Muller A.|France|2012|75.0|183.0|right|27.0|clay|20220511
Zagreb challenger|1.65|2.15|Kubler J.|Australia|2008|74.0|178.0|right|31.0|Kicker N.|Argentina|2009|75.0|178.0|right|32.0|clay|20220511
Zagreb challenger|1.52|2.42|Gimeno Valero C.|Spain|2016|80.0|188.0|right|23.0|Fatic N.|BosniaandHerzeg.|2010|88.0|191.0|right|29.0|clay|20220511
Zagreb challenger|4.37|1.19|Poljicak M.|Croatia|2020|||right|20.0|Gaio F.|Italy|2008|84.0|180.0|right|32.0|clay|20220511
Zagreb challenger|2.03|1.73|Kopriva V.|CzechRepublic|2015|69.0|178.0|right|27.0|Kuzmanov D.|Bulgaria|2009|77.0|193.0|right|31.0|clay|20220511
Zagreb challenger|2.08|1.70|Basic M.|BosniaandHerzeg.|2006|88.0|188.0|right|33.0|Kuznetsov A.|Russia|2006|71.0|185.0|right|33.0|clay|20220511
Zagreb challenger|1.65|2.15|Misolic F.|Austria|2016|||right|23.0|Shang J.|China|2020|||left|19.0|clay|20220511
Zagreb challenger|1.63|2.19|Wu Y.|China|2015|80.0|183.0|right|24.0|Bonadio R.|Italy|2009|81.0|180.0|right|31.0|clay|20220511
Zagreb challenger|1.04|8.92|Gigante M.|Italy|2019|||left|22.0|Dessi M.|Italy|2016|||right|23.0|clay|20220511
Zagreb challenger|3.27|1.29|La Vela G.|Italy|2018|||right|23.0|Battaglino S.|Italy|2015|||right|26.0|clay|20220511
Zagreb challenger|1.04|9.46|Crawford O.|GreatBritain|2016|84.0|180.0|right|25.0|Gola A.|Italy|2017|70.0|183.0|right|22.0|clay|20220511
Zagreb challenger|1.44|2.58|Bellucci M.|Italy|2018|||left|23.0|Roncalli S.|Italy|2012|73.0|175.0|right|28.0|clay|20220511
Zagreb challenger|1.01|14.33|Geerts M.|Belgium|2013|73.0|178.0|right|29.0|Nicosia M.|USA|2012|||right|30|clay|20220511
Zagreb challenger|1.17|4.36|Harris A.|Australia|2010|81.0|183.0|right|30.0|Haliak M.|Belarus|2014|75.0|183.0|right|26.0|clay|20220511
Zagreb challenger|1.95|1.74|Chessari R.|Italy|2013|||left|28.0|Fiorentini A.|Italy|2018|||right|23.0|clay|20220511
Zagreb challenger|1.04|8.87|Wessels L.|Germany|2014|90.0|198.0|right|25.0|Carlsson Seger T.|Sweden|2022|||right||clay|20220511
Zagreb challenger|1.66|2.09|Sun F.|China|2014|75.0|178.0|right|27.0|Takahashi Y.|Japan|2013|68.0|170.0|right|26.0|clay|20220511
Zagreb challenger|7.61|1.06|Stenberg J.|Sweden|2010|||right|35.0|Ingildsen J.|Denmark|2013|||right|27.0|clay|20220511
Zagreb challenger|1.43|2.60|Freund S.|Sweden|2013|72.0|178.0|right|27.0|Gentzsch T.|Germany|2021|||right|20.0|clay|20220511
Zagreb challenger|2.97|1.34|Pontoglio D.|Italy|2012|68.0|175.0|right|32.0|Claverie L.|Italy|2020|||right|21.0|clay|20220511
Zagreb challenger|1.18|4.27|Giacalone O.|Italy|2008|80.0|180.0|right|32.0|Calvano G.|Italy|2014|||right|26.0|clay|20220511
Zagreb challenger|1.87|1.81|Duda F.|CzechRepublic|2015|||right|25.0|Cerny M.|CzechRepublic|2019|||right|22.0|clay|20220511
Zagreb challenger|1.14|4.79|Minasyan M.|Sweden|2022|||right||Lindstrom E.|Sweden|2022|||left||clay|20220511
Zagreb challenger|2.02|1.70|Parker S.|GreatBritain|2016|||right|27.0|McHugh A.|GreatBritain|2016|70.0|178.0|right|24.0|clay|20220511
Zagreb challenger|1.52|2.37|Sakellaridis S.|Greece|2018|||right|19.0|Bybel N.|USA|2011|||right|30.0|clay|20220511
Zagreb challenger|7.29|1.06|Heinonen A.|Sweden|2018|||right|21.0|Mridha J.|Sweden|2011|75.0|183.0|right|29.0|clay|20220511
Zagreb challenger|7.29|1.06|Friberg K.|Sweden|2014|91.0|185.0|right|25.0|Nedelko I.|Russia|2006|80.0|185.0|right|38.0|clay|20220511
Zagreb challenger|1.61|2.19|Schoolkate T.|Australia|2019|78.0|183.0|right|23.0|Dambrosi G.|Italy|2015|||right|23.0|clay|20220511
Zagreb challenger|1.04|8.80|Harrison C.|USA|2010|77.0|180.0|right|30.0|Hodkin S.|GreatBritain|2016|90.0|185.0|right|25.0|clay|20220511
Zagreb challenger|1.12|5.38|Broom C.|GreatBritain|2015|82.0|178.0|right|26.0|Puttergill C.|Australia|2011|78.0|183.0|right|30.0|clay|20220511
Zagreb challenger|1.28|3.31|Esteve Lobato E.|Spain|2010|83.0|188.0|right|29.0|Satral J.|CzechRepublic|2008|82|188|right|34|clay|20220511
Zagreb challenger|1.45|2.56|Neumayer L.|Austria|2020|||right|21.0|Gengel M.|CzechRepublic|2014|80.0|185.0|right|28.0|clay|20220511
Zagreb challenger|1.07|8.47|Harris B.|GreatBritain|2013|86.0|191.0|right|29.0|Canter A.|GreatBritain|2013|||right|26.0|clay|20220511
Zagreb challenger|6.86|2.68|Bolardt A.|CzechRepublic|2015|||right|26.0|Cukierman D.|Israel|2012|||right|29.0|clay|20220511
Zagreb challenger|1.07|6.30|Capecchi D.|Italy|2012|75.0|180.0|right|28.0|Saidizand J.|Sweden|2022|||right||clay|20220511
Zagreb challenger|4.98|1.16|Sabanin Y.|Russia|2007|88.0|191.0|right|34.0|Bertola R.|Switzerland|2014|||right|25.0|clay|20220511
Zagreb challenger|1.22|3.90|Temirhanov A.|Sweden|2018|||right|20.0|Prinoth P.|Italy|2012|||right|27.0|clay|20220511
Zagreb challenger|4.32|1.17|Speziali F.|Italy|2018|||right|24.0|Galoppini D.|Italy|2012|68.0|175.0|right|29.0|clay|20220511
Zagreb challenger|1.90|1.80|De Rossi M.|SanMarino|2012|||right|27.0|Gramaticopolo B.|Italy|2019|||right||clay|20220511
Zagreb challenger|1.35|2.75|Maestrelli F.|Italy|2017|||right|21.0|Folliot Q.|France|2015|||right|25.0|clay|20220511
Zagreb challenger|6.24|1.09|Bagnolini D.|Italy|2019|||right|21.0|Lock B.|Zimbabwe|2008|86.0|198.0|right|31.0|clay|20220511
Zagreb challenger|1.21|3.91|Weis A.|Italy|2014|83.0|188.0|right|27.0|Serafini M.|Italy|2021|||right|21.0|clay|20220511
Zagreb challenger|2.12|1.55|Bertuccioli F.|Italy|2014|||right|26.0|Martin T.|GreatBritain|2010|78.0|188.0|right|31.0|clay|20220511
Zagreb challenger|1.05|8.00|Brancaccio R.|Italy|2013|72.0|183.0|right|27.0|Takeuchi K.|Japan|2004|||left|36.0|clay|20220511
Zagreb challenger|1.38|2.85|Potenza L.|Italy|2016|||right|24.0|Musialek A.|France|2008|80.0|183.0|right|36.0|clay|20220511
Zagreb challenger|1.01|12.65|Mansouri S.|Tunisia|2010|86.0|193.0|right|29.0|Respaut C.|France|2014|||right|25.0|clay|20220511
Zagreb challenger|1.04|9.05|Riedi L.|Switzerland|2020|||right|22.0|Onuma Y.|GreatBritain|2019|||right||clay|20220511
