Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Parma challenger|1.56|2.39|Cecchinato M.|Italy|2009|78.0|185.0|right|31.0|Kohlschreiber P.|Germany|1998|70.0|178.0|right|40.0|clay|20201008
Parma challenger|1.95|1.80|Popyrin A.|Australia|2013|78.0|196.0|right|25.0|Muller A.|France|2012|75.0|183.0|right|27.0|clay|20201008
Parma challenger|1.33|3.14|Delbonis F.|Argentina|2005|90.0|193.0|left|33.0|Lorenzi P.|Italy|2002|78.0|183.0|right|42.0|clay|20201008
Parma challenger|1.37|2.95|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|Krueger M.|USA|2009|82.0|188.0|right|30.0|clay|20201008
Barcelona challenger|2.45|1.52|Gimeno Valero C.|Spain|2016|80.0|188.0|right|23.0|O'Connell C.|Australia|2011|78.0|183.0|right|30.0|clay|20201008
Barcelona challenger|2.48|1.51|Horansky F.|Slovakia|2009|77.0|191.0|right|31.0|Giustino L.|Italy|2006|83.0|180.0|right|32.0|clay|20201008
Barcelona challenger|1.62|2.24|Bagnis F.|Argentina|2005|82.0|183.0|left|34.0|Popko D.|Kazakhstan|2011|87.0|191.0|right|27.0|clay|20201008
Barcelona challenger|1.26|3.71|Alcaraz C.|Spain|2018|72.0|185.0|right|21.0|Vilella Martinez M.|Spain|2011|74.0|178.0|right|29.0|clay|20201008
Barcelona challenger|1.21|3.94|Borges N.|Portugal|2012|75.0|185.0|right|27.0|Gerch L.|Germany|2011|86.0|193.0|left|29.0|clay|20201008
Barcelona challenger|3.59|1.25|Nakagawa N.|Japan|2011|75.0|180.0|right|27.0|Rune H.|Denmark|2018|68.0|185.0|right|21.0|clay|20201008
Barcelona challenger|1.48|2.45|Lindell C.|Sweden|2008|87.0|193.0|right|32.0|Faria L.|Portugal|2014|||right|25.0|clay|20201008
Barcelona challenger|1.72|2.00|Fanselow S.|Germany|2007|||right|32.0|Furness E.|France|2014|66.0|170.0|right|26.0|clay|20201008
Barcelona challenger|1.90|1.80|Forti F.|Italy|2016|80.0|191.0|right|25.0|Cerundolo J.|Argentina|2016|68.0|183.0|left|22.0|clay|20201008
Barcelona challenger|1.15|4.71|Cuevas M.|Uruguay|2006|90.0|191.0|right|32.0|Moraing O.|Germany|2015|||right|24.0|clay|20201008
Barcelona challenger|1.87|1.83|Juarez F.|Italy|2014|||right|26.0|Tsitsipas P.|Greece|2015|76.0|185.0|right|24.0|clay|20201008
Barcelona challenger|5.59|1.11|Tenti F.|Argentina|2016|74.0|180.0|right|27.0|Rosenkranz M.|Germany|2014|||left|25.0|clay|20201008
Barcelona challenger|1.17|4.43|Yevseyev D.|Kazakhstan|2009|75.0|189.0|right|31.0|Stalder R.|USA|2013|77.0|183.0|right|27.0|clay|20201008
Barcelona challenger|1.25|3.54|Chappell N.|USA|2010|82.0|178.0|left|31.0|Dhoe B.|Belgium|2013|||right|28.0|clay|20201008
Barcelona challenger|1.65|2.13|Reis Da Silva J.|Brazil|2015|75.0|175.0|right|24.0|Johnson L.|GreatBritain|2011|83.0|183.0|right|30.0|clay|20201008
Barcelona challenger|1.26|3.50|Niklas-Salminen P.|Finland|2012|86.0|188.0|left|27.0|Leite W.|Brazil|2008|72.0|178.0|right|32.0|clay|20201008
Barcelona challenger|2.12|1.64|Vilardo F.|Italy|2005|70.0|178.0|right|34.0|Kumar O.|USA|2016|||left|22.0|clay|20201008
Barcelona challenger|1.46|2.49|Alves M.|Brazil|2015|||right|23.0|Olivieri G.|Argentina|2014|73.0|175.0|right|26.0|clay|20201008
Barcelona challenger|2.65|1.41|Topo M.|Germany|2020|||right|20.0|Prechtel S.|Germany|2013|78.0|185.0|right|28.0|clay|20201008
Barcelona challenger|4.19|1.19|Scaglia M.|France|2014|||right|25.0|Bortolotti M.|Italy|2007|72.0|173.0|right|33.0|clay|20201008
Barcelona challenger|1.15|4.67|Corwin F.|USA|2014|82.0|188.0|right|28.0|Stevenson K.|Canada|2005|76.0|183.0|right|34.0|clay|20201008
Barcelona challenger|3.92|1.21|Weightman O.|GreatBritain|2018|||right|22.0|Michalski D.|Poland|2017|77.0|180.0|right|24.0|clay|20201008
Barcelona challenger|1.14|4.90|Grigelis L.|Lithuania|2006|78.0|183.0|right|33.0|Justo G.|Argentina|2017|||right|26.0|clay|20201008
Barcelona challenger|1.50|2.42|Manafov V.|Ukraine|2011|||left|31.0|Vidal Azorin J.|Spain|2010|68.0|178.0|right|31.0|clay|20201008
Barcelona challenger|1.51|2.39|Tirante T.|Argentina|2016|78.0|185.0|right|23.0|Parker S.|GreatBritain|2016|||right|27.0|clay|20201008
Barcelona challenger|1.32|3.06|Sachko V.|Ukraine|2013|68.0|183.0|right|27.0|Yitbarek S.|Sweden|2016|73.0|180.0|right|23.0|clay|20201008
Barcelona challenger|1.22|3.79|Podzus M.|Latvia|2010|87.0|188.0|right|30.0|Capecchi D.|Italy|2012|75.0|180.0|right|28.0|clay|20201008
Barcelona challenger|1.53|2.34|Descotte M.|Argentina|2011|87.0|191.0|right|30.0|Mansouri S.|Tunisia|2010|86.0|193.0|right|29.0|clay|20201008
