Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|Cigna N.|ITA|Right-Handed|Stearns P.|FRA|Left-Handed|1.0||65.0|1.0|0.0|3.0|-2.5
clay|Alam P.|FRA|Right-Handed|Sach T.|AUS|Right-Handed|0.0|-1.0|-65.0|-1.0|0.0|1.0|0.1499999999999999
Varioussurfaces|Lothringer G.|ITA|Right-Handed|Brown L.|FRA|Right-Handed|1.0||65.0|1.0|0.0|0.0|2.2199999999999998
clay|Horak V.|CZE|Right-Handed|Villalon N.|CHL|Right-Handed|1.0||65.0|1.0|0.0|2.0|0.6699999999999999
Varioussurfaces|El Amine H.|MAR|Right-Handed|Missoum A.|MAR|Right-Handed|0.0|2.0|-65.0|-1.0|0.0|0.0|-3.5700000000000003
grass|Stricker D.|CHE|Left-Handed|Evans D.|FRA|Right-Handed|1.0||-1126.0|4.0|10.0|-12.0|0.5500000000000003
Varioussurfaces|De Cuyper J.|FRA|Right-Handed|Chu S.|KOR|Right-Handed|1.0||65.0|1.0|0.0|2.0|-2.5
clay|D'Agostino S.|ITA|Right-Handed|Lorusso L.|ITA|Right-Handed|0.0|-1.0|-65.0|-1.0|0.0|-4.0|-1.2300000000000002
Varioussurfaces|Viiala Z.|AUS|Right-Handed|Danilov S.|RUS|Right-Handed|1.0||65.0|4.0|-3.0|-6.0|-0.030000000000000027
Varioussurfaces|Switzer T.|ITA|Right-Handed|Baker C.|FRA|Right-Handed|1.0||65.0|1.0|0.0|4.0|-2.5
grass|Griekspoor T.|NLD|Right-Handed|Kecmanovic M.|SRB|Right-Handed|0.0|1.0|419.0|10.0|5.0|4.0|-1.85
clay|Michalski D.|POL|Right-Handed|Zima L.|DEU|Right-Handed|0.0|-2.0|-65.0|-2.0|-5.0|0.0|-4.65
Varioussurfaces|Hall F.|NZL|Right-Handed|Ryan Ziegann S.|AUS|Right-Handed|1.0||65.0|1.0|0.0|-2.0|0.9200000000000002
clay|Neumayer L.|AUT|Right-Handed|Marchenko I.|UKR|Right-Handed|0.0|-17.0|-416.0|-4.0|0.0|-15.0|-1.79
clay|Marrero Curbelo I.|ESP|Right-Handed|Cekirge K.|TUR|Right-Handed|0.0|1.0|-65.0|-1.0|0.0|1.0|-0.3699999999999999
Varioussurfaces|Naharro D.|ESP|Right-Handed|Markov V.|BGR|Right-Handed|1.0||65.0|1.0|0.0|2.0|1.77
clay|Batista R.|PRT|Right-Handed|Glinka D.|EST|Left-Handed|1.0||65.0|1.0|0.0|-3.0|9.23
clay|Aguilar J.|CAN|Right-Handed|Martin D.|CAN|Right-Handed|0.0|1.0|240.0|-19.0|-17.0|0.0|0.30000000000000004
clay|Marinescu M.|ROU|Right-Handed|Cretu C.|ROU|Right-Handed|1.0||65.0|1.0|0.0|-1.0|3.8199999999999994
Varioussurfaces|Simonsson F.|SWE|Right-Handed|Kapasi K.|ITA|Right-Handed|0.0|12.0|-387.0|-4.0|3.0|9.0|-1.5599999999999998
clay|Garcia A.|ESP|Right-Handed|Elicha Navas G.|ESP|Right-Handed|1.0||-166.0|1.0|0.0|1.0|-1.9899999999999998
Varioussurfaces|Kozlov B.|FRA|Right-Handed|Jayaraman S.|ITA|Right-Handed|0.0|7.0|-65.0|0.0|0.0|1.0|-1.11
clay|Leite W.|BRA|Right-Handed|Rodriguez Taverna S.|ARG|Right-Handed|1.0||137.0|-10.0|-13.0|7.0|3.0999999999999996
grass|Martineau M.|FRA|Right-Handed|Shapovalov D.|CAN|Left-Handed|1.0||-911.0|1.0|-2.0|0.0|3.09
Varioussurfaces|Cho H.|KOR|Right-Handed|Son J.|KOR|Right-Handed|1.0||65.0|5.0|5.0|-2.0|4.1899999999999995
clay|Vincent Ruggeri S.|ITA|Right-Handed|Gigante M.|ITA|Left-Handed|1.0||65.0|1.0|0.0|0.0|0.77
clay|Gima S.|ROU|Left-Handed|Dodig M.|HRV|Right-Handed|0.0|6.0|-65.0|-1.0|0.0|3.0|1.52
clay|Pecci A.|ITA|Right-Handed|Picchione A.|ITA|Right-Handed|1.0||65.0|1.0|0.0|-3.0|2.4299999999999997
Varioussurfaces|Lima E.|BRA|Right-Handed|Sarr J.|FRA|Right-Handed|1.0||65.0|1.0|0.0|0.0|-1.12
clay|Grevelius E.|SWE|Right-Handed|Trinker J.|AUT|Right-Handed|1.0||65.0|1.0|0.0|-5.0|-0.5599999999999998
clay|Celikbilek A.|TUR|Right-Handed|Bravo A.|ITA|Right-Handed|0.0|10.0|-193.0|-7.0|0.0|7.0|-11.790000000000001
Varioussurfaces|Deari S.|FRA|Right-Handed|Ludoski Z.|SRB|Right-Handed|0.0|17.0|-65.0|-1.0|0.0|16.0|1.39
clay|Scaglia M.|FRA|Right-Handed|Vatutin A.|RUS|Right-Handed|1.0||248.0|10.0|7.0|-6.0|9.11
grass|Safiullin R.|RUS|Right-Handed|Berrettini M.|ITA|Right-Handed|1.0||-449.0|-20.0|-11.0|-1.0|0.8300000000000001
clay|Rodriguez Rodriguez J.|COL|Right-Handed|Chopra K.|ITA|Right-Handed|0.0|0.0|-65.0|20.0|7.0|-2.0|-0.020000000000000018
Varioussurfaces|Fitzgerald P.|AUS|Right-Handed|Nejedly B.|ITA|Right-Handed|0.0|8.0|-65.0|-1.0|0.0|10.0|-2.5
Varioussurfaces|Bennani K.|MAR|Right-Handed|Guerrero Melgar A.|ESP|Right-Handed|0.0|-5.0|-65.0|-1.0|0.0|-4.0|-2.35
grass|Diallo G.|CAN|Right-Handed|Bellucci M.|ITA|Left-Handed|1.0||69.0|1.0|0.0|-1.0|0.19999999999999996
Varioussurfaces|Oh C.|KOR|Right-Handed|Kwag H.|KOR|Right-Handed|0.0|5.0|-65.0|-7.0|-5.0|3.0|-1.68
Varioussurfaces|Kotzen N.|FRA|Right-Handed|Bracks I.|ITA|Right-Handed|0.0|0.0|-65.0|-1.0|0.0|-2.0|-2.8400000000000003
grass|Van De Zandschulp B.|NLD|Right-Handed|McDonald M.|FRA|Right-Handed|1.0||616.0|10.0|10.0|-1.0|-0.17999999999999994
Varioussurfaces|Brown L.|FRA|Right-Handed|Lothringer G.|ITA|Right-Handed|0.0|-1.0|-65.0|-1.0|0.0|0.0|-2.2199999999999998
clay|Fognini F.|ITA|Right-Handed|Dalla Valle E.|ITA|Right-Handed|0.0|11.0|83.0|-11.0|-15.0|11.0|-1.6300000000000001
Varioussurfaces|Sarr J.|FRA|Right-Handed|Lima E.|BRA|Right-Handed|0.0|-1.0|-65.0|-1.0|0.0|0.0|1.12
Varioussurfaces|Yong L.|MYS|Right-Handed|Alhogbani A.|SAU|Right-Handed|1.0||65.0|1.0|0.0|-3.0|2.4800000000000004
clay|Chazal M.|FRA|Right-Handed|Added D.|FRA|Right-Handed|1.0||65.0|0.0|-8.0|6.0|-0.6599999999999999
grass|Huesler M.|CHE|Left-Handed|Bautista-Agut R.|ESP|Right-Handed|1.0||65.0|13.0|13.0|-8.0|0.5
clay|Noce G.|ITA|Right-Handed|Miceli M.|ITA|Right-Handed|0.0|4.0|-65.0|-1.0|0.0|3.0|-0.8400000000000001
Varioussurfaces|Trismuwantara G.|IDN|Right-Handed|Chan B.|SGP|Right-Handed|1.0||65.0|1.0|0.0|5.0|1.64
Varioussurfaces|Danilov S.|RUS|Right-Handed|Viiala Z.|AUS|Right-Handed|0.0|4.0|-65.0|-4.0|3.0|6.0|0.030000000000000027
Varioussurfaces|Chan D.|CAN|Right-Handed|Dal Boni L.|ITA|Right-Handed|0.0|1.0|-65.0|-1.0|0.0|0.0|-1.64
Varioussurfaces|Chan B.|SGP|Right-Handed|Trismuwantara G.|IDN|Right-Handed|0.0|-2.0|-65.0|-1.0|0.0|-5.0|-1.64
clay|Bass F.|ITA|Right-Handed|Palosi S.|ROU|Right-Handed|1.0||65.0|2.0|-5.0|0.0|2.9600000000000004
clay|Molcan A.|SVK|Left-Handed|Ramos-Vinolas A.|ESP|Left-Handed|1.0||-202.0|-3.0|-10.0|-10.0|-0.69
clay|Bonadio R.|ITA|Right-Handed|De Jong J.|NLD|Right-Handed|1.0||-8.0|11.0|0.0|7.0|2.08
clay|Saar A.|SWE|Right-Handed|Novakovic N.|SRB|Right-Handed|1.0||65.0|1.0|0.0|0.0|1.9999999999999998
clay|Carraro L.|ITA|Right-Handed|Ovcharenko O.|UKR|Right-Handed|1.0||65.0|1.0|0.0|4.0|3.43
clay|Barranco Cosano J.|ESP|Left-Handed|Poullain L.|FRA|Right-Handed|0.0|-3.0|-65.0|-7.0|-10.0|-3.0|-2.52
clay|Donald M.|CZE|Right-Handed|Lokoli L.|FRA|Right-Handed|1.0||134.0|1.0|-3.0|-10.0|5.09
clay|Fanselow S.|DEU|Right-Handed|Collignon R.|BEL|Right-Handed|1.0||65.0|1.0|0.0|10.0|3.45
Varioussurfaces|Kwag H.|KOR|Right-Handed|Oh C.|KOR|Right-Handed|1.0||65.0|7.0|5.0|-3.0|1.68
