Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Sorrentino L.|ITA|Right-Handed|Schiessl J.|BRA|Left-Handed|1.0||71.5|-0.5|2.0|6.0|0.0
clay|Hans K.|IND|Right-Handed|Vishwakarma S.|IND|Left-Handed|1.0||71.5|3.5|-6.0|-6.0|1.97
hard|Jubb P.|ITA|Right-Handed|Bertrand R.|FRA|Right-Handed|1.0||9.0|-9.0|-3.0|3.0|-1.3000000000000003
clay|Halys Q.|FRA|Right-Handed|Misolic F.|AUT|Right-Handed|1.0||370.0|0.0|8.0|4.0|-0.6000000000000001
clay|Buse I.|PER|Right-Handed|Martin Tiffon P.|ESP|Right-Handed|0.0|-3.0|-71.5|5.0|0.0|-5.0|-1.78
clay|Broska F.|DEU|Right-Handed|Bielinskyi V.|UKR|Right-Handed|1.0||71.5|-0.5|2.0|5.0|2.79
Varioussurfaces|Van Assendelft J.|NLD|Right-Handed|Maxted L.|ITA|Right-Handed|1.0||71.5|-0.5|2.0|2.0|6.9399999999999995
clay|Rola B.|SVN|Left-Handed|Barnat J.|CZE|Right-Handed|0.0|9.0|114.5|7.5|8.0|10.0|-2.99
clay|Andre S.|SEN|Right-Handed|Blanch D.|ITA|Right-Handed|1.0||71.5|-0.5|2.0|0.0|1.9699999999999998
Varioussurfaces|Hulme M.|AUS|Right-Handed|Chan D.|CAN|Right-Handed|0.0|6.0|-71.5|0.5|-2.0|6.0|0.27
clay|Ferguson C.|AUS|Right-Handed|Bai Y.|CHN|Right-Handed|1.0||103.5|-2.5|0.0|-10.0|5.9399999999999995
clay|Bielinskyi V.|UKR|Right-Handed|Broska F.|DEU|Right-Handed|0.0|-5.0|-71.5|0.5|-2.0|-5.0|-2.79
clay|Matsuoka H.|JPN|Right-Handed|Prihodko O.|UKR|Right-Handed|0.0|-8.0|-71.5|1.0|3.0|-7.0|2.34
clay|Craig C.|ITA|Right-Handed|Jones M.|ITA|Right-Handed|0.0|-6.0|-71.5|0.5|-2.0|-3.0|2.94
clay|Vale D.|PRT|Right-Handed|Sorger S.|AUT|Right-Handed|0.0|6.0|-71.5|-3.5|-2.0|7.0|-0.6400000000000001
clay|Mochizuki Y.|JPN|Right-Handed|Cui J.|CHN|Right-Handed|1.0||71.5|-12.0|-10.0|0.0|1.8199999999999998
clay|Campana Lee G.|KOR|Right-Handed|Schwaerzler J.|AUT|Left-Handed|1.0||71.5|-0.5|2.0|1.0|0.43000000000000016
clay|Bai Y.|CHN|Right-Handed|Ferguson C.|AUS|Right-Handed|0.0|10.0|-103.5|2.5|0.0|10.0|-5.9399999999999995
clay|Sharipov M.|RUS|Right-Handed|Donev G.|BGR|Right-Handed|0.0|-6.0|-71.5|8.0|3.0|-7.0|-0.9400000000000002
clay|Orlov V.|UKR|Right-Handed|Zekic M.|SRB|Right-Handed|1.0||166.5|-2.0|0.0|-7.0|0.3700000000000001
clay|Buldorini P.|ITA|Right-Handed|Carraro L.|ITA|Right-Handed|0.0|-7.0|-71.5|0.5|-2.0|-6.0|0.3599999999999999
clay|Tammaro M.|ITA|Right-Handed|Paty D.|CZE|Right-Handed|1.0||71.5|-0.5|2.0|-4.0|-0.040000000000000036
clay|Beloborodko I.|UKR|Right-Handed|Gonzalez Fernandez M.|ESP|Right-Handed|0.0|1.0|-71.5|0.5|-2.0|1.0|1.1300000000000001
clay|Nesterov P.|BGR|Right-Handed|Chirita I.|ROU|Right-Handed|0.0|1.0|-71.5|0.5|-2.0|0.0|-0.8300000000000001
Varioussurfaces|Arora K.|ITA|Right-Handed|Pankin S.|RUS|Right-Handed|1.0||71.5|-0.5|2.0|0.0|3.8600000000000003
clay|Hornitschek N.|DEU|Right-Handed|Kumasaka T.|JPN|Right-Handed|0.0|0.0|-71.5|6.0|8.0|-1.0|1.2900000000000003
