Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Cretu C.|ROU|Right-Handed|Prihodko O.|UKR|Right-Handed|1.0||37.0|0.5|5.0|-3.0|-0.9000000000000001
clay|Topo M.|DEU|Right-Handed|Biljesko D.|HRV|Right-Handed|0.0|-7.0|-219.0|0.5|0.0|-7.0|-2.26
clay|Sultanov K.|UZB|Right-Handed|Siniakov D.|CZE|Right-Handed|0.0|6.0|-37.0|2.5|-5.0|4.0|-2.72
clay|Lakoseljac C.|CAN|Right-Handed|Anthrop J.|AUS|Right-Handed|1.0||37.0|-0.5|0.0|5.0|2.2199999999999998
indoors|Shevchenko A.|KAZ|Right-Handed|Bergs Z.|BEL|Right-Handed|1.0||-25.0|-13.0|0.0|-2.0|0.9600000000000002
clay|Van Orderlain D.|ARG|Right-Handed|Kadiri Hassani Y.|MAR|Right-Handed|1.0||37.0|-0.5|0.0|5.0|0.4500000000000002
clay|Martinez Martinez J.|ESP|Right-Handed|Braynin A.|UKR|Right-Handed|0.0|3.0|-37.0|0.5|0.0|3.0|-2.0300000000000002
indoors|Pospisil V.|CAN|Right-Handed|Draxl L.|CAN|Right-Handed|0.0|11.0|99.0|10.5|8.0|12.0|-3.54
indoors|Virtanen O.|FIN|Right-Handed|Lofman A.|FIN|Right-Handed|0.0|1.0|225.0|0.5|0.0|1.0|-11.309999999999999
clay|Elsayed A.|EGY|Right-Handed|Shin S.|KOR|Right-Handed|0.0|-4.0|-37.0|3.0|5.0|-2.0|0.9800000000000002
clay|Saville L.|AUS|Right-Handed|Beale J.|AUS|Left-Handed|0.0|6.0|-23.0|0.0|-5.0|1.0|-2.33
clay|Dattatray Kurale S.|IND|Right-Handed|Reddy R.|IND|Right-Handed|0.0|-6.0|-37.0|0.5|0.0|-5.0|3.4
clay|Purtseladze S.|GEO|Right-Handed|Zgirovsky A.|BLR|Right-Handed|0.0|-2.0|-37.0|0.0|-6.0|0.0|-0.010000000000000009
indoors|Johnson S.|AUS|Right-Handed|Heck H.|ARG|Right-Handed|0.0|13.0|219.0|8.5|3.0|12.0|-12.18
clay|Boika L.|ARG|Right-Handed|Rahman Y.|AUS|Right-Handed|1.0||37.0|-0.5|0.0|-6.0|-0.8499999999999999
clay|Osorio J.|COL|Right-Handed|Alvarado P.|ECU|Right-Handed|0.0|-9.0|-37.0|0.5|0.0|-9.0|-1.2900000000000003
Varioussurfaces|Silva J.|AUS|Right-Handed|Fuchs A.|ARG|Right-Handed|0.0|1.0|-54.0|0.5|0.0|-2.0|0.9000000000000001
clay|Cozbinov A.|AUS|Right-Handed|Nettles J.|ARG|Right-Handed|0.0|5.0|-37.0|0.5|0.0|5.0|-5.9799999999999995
clay|Palan D.|CZE|Right-Handed|Eqbal I.|IND|Right-Handed|0.0|-1.0|-37.0|0.5|0.0|-3.0|-3.75
clay|Guillen Meza A.|ECU|Right-Handed|Buse I.|PER|Right-Handed|1.0||37.0|-0.5|0.0|1.0|1.2200000000000002
clay|Rahman Y.|AUS|Right-Handed|Boika L.|ARG|Right-Handed|0.0|0.0|-37.0|0.5|0.0|6.0|0.8499999999999999
