Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
clay|Krawczynski K.|POL|Right-Handed|Kosinski P.|POL|Right-Handed|0.0|4.0|-224.0|0.0|-3.0|4.0|-1.78
clay|Arnaldi M.|ITA|Right-Handed|Roncalli S.|ITA|Right-Handed|0.0|-6.0|-404.0|6.0|10.0|-5.0|-2.42
hard|Tsitsipas S.|GRC|Right-Handed|Thiem D.|AUT|Right-Handed|1.0||-2300.0|10.0|8.0|-5.0|-0.6599999999999999
clay|Gigante M.|ITA|Left-Handed|Bocchi L.|ITA|Right-Handed|0.0|-4.0|-224.0|1.0|5.0|-4.0|-2.42
clay|Miceli M.|ITA|Right-Handed|Pecci A.|ITA|Right-Handed|0.0|4.0|-224.0|0.0|-3.0|2.0|-2.42
clay|D'Agostino S.|ITA|Right-Handed|Crepaldi E.|ITA|Left-Handed|1.0||224.0|27.0|22.0|-14.0|2.42
clay|Pontoglio D.|ITA|Right-Handed|Petrone A.|ITA|Right-Handed|0.0|-6.0|-224.0|-11.0|-13.0|-1.0|-2.42
clay|Kosinski P.|POL|Right-Handed|Krawczynski K.|POL|Right-Handed|1.0||224.0|0.0|3.0|-4.0|1.78
clay|Kulakowski M.|POL|Right-Handed|Ziomber M.|POL|Right-Handed|0.0|-2.0|-224.0|0.0|-3.0|5.0|-1.78
clay|Frinzi M.|ITA|Right-Handed|Noce G.|ITA|Right-Handed|0.0|-4.0|-224.0|0.0|-3.0|-3.0|-2.42
hard|Daciek P.|ITA|Right-Handed|Bernard J.|ITA|Right-Handed|1.0||224.0|0.0|3.0|6.0|0.16999999999999993
clay|Guerrieri A.|ITA|Left-Handed|Mosciatti M.|ITA|Left-Handed|1.0||224.0|14.0|18.0|-2.0|2.42
clay|Orso A.|ITA|Right-Handed|Bolla A.|ITA|Right-Handed|1.0||224.0|0.0|3.0|-3.0|2.42
hard|Grenier H.|FRA|Right-Handed|Martineau M.|FRA|Right-Handed|0.0|1.0|-365.0|9.0|13.0|3.0|-0.26
clay|Wojcik Y.|POL|Left-Handed|Konopko W.|POL|Right-Handed|0.0|4.0|-224.0|-5.0|-3.0|4.0|-14.99
clay|Petrovic D.|SRB|Right-Handed|Cilic M.|HRV|Right-Handed|0.0|-4.0|-897.0|-3.0|5.0|-3.0|2.09
clay|Pecci A.|ITA|Right-Handed|Miceli M.|ITA|Right-Handed|1.0||224.0|0.0|3.0|-2.0|2.42
clay|Khaledan S.|IRN|Right-Handed|Chappell N.|ITA|Left-Handed|1.0||520.0|-3.0|10.0|3.0|2.42
clay|Adamson A.|ITA|Right-Handed|Brymer G.|ITA|Right-Handed|1.0||224.0|18.0|11.0|-3.0|2.58
clay|Arconada J.|ITA|Right-Handed|Schachter N.|ITA|Right-Handed|0.0|6.0|-224.0|-5.0|-8.0|3.0|-1.2600000000000002
clay|Zverev M.|DEU|Left-Handed|King E.|ITA|Left-Handed|0.0|5.0|-94.0|9.0|6.0|5.0|-2.29
clay|Zuk K.|POL|Right-Handed|Wojcik Y.|POL|Left-Handed|0.0|-1.0|-376.0|4.0|-2.0|-2.0|-6.640000000000001
clay|Gold H.|ITA|Right-Handed|Draxl L.|CAN|Right-Handed|1.0||224.0|0.0|3.0|1.0|11.65
hard|Hoang A.|FRA|Right-Handed|Petit G.|FRA|Right-Handed|1.0||51.0|-2.0|3.0|-1.0|-1.1099999999999999
clay|Kielan S.|POL|Right-Handed|Wetoszka K.|POL|Right-Handed|0.0|-3.0|-224.0|17.0|10.0|-3.0|-1.78
clay|Konopko W.|POL|Right-Handed|Wojcik Y.|POL|Left-Handed|1.0||224.0|5.0|3.0|-4.0|14.99
clay|Zverev A.|DEU|Right-Handed|Rublev A.|RUS|Right-Handed|1.0||1666.0|20.0|10.0|1.0|0.5100000000000002
clay|Kielan S.|POL|Right-Handed|Michalski D.|POL|Right-Handed|1.0||224.0|2.0|8.0|-3.0|6.640000000000001
clay|Ziomber M.|POL|Right-Handed|Kulakowski M.|POL|Right-Handed|1.0||224.0|0.0|3.0|-5.0|1.78
clay|Di Nicola G.|ITA|Right-Handed|Passaro F.|ITA|Right-Handed|1.0||468.0|0.0|3.0|5.0|2.42
clay|Dembek M.|POL|Right-Handed|Gajewski K.|POL|Right-Handed|1.0||224.0|14.0|11.0|-2.0|6.640000000000001
hard|Gautier A.|FRA|Right-Handed|Eysseric J.|FRA|Left-Handed|1.0||416.0|-5.0|18.0|-7.0|-0.30999999999999983
clay|Walkow S.|POL|Right-Handed|Grynkowski P.|POL|Right-Handed|1.0||224.0|-8.0|-7.0|-4.0|-0.8599999999999999
clay|Petrone A.|ITA|Right-Handed|Pontoglio D.|ITA|Right-Handed|1.0||224.0|11.0|13.0|1.0|2.42
hard|Moutet C.|FRA|Left-Handed|Popyrin A.|AUS|Right-Handed|0.0|-1.0|157.0|-10.0|-21.0|0.0|0.40000000000000013
hard|Muller A.|FRA|Right-Handed|Laurent T.|FRA|Right-Handed|0.0|2.0|-474.0|-4.0|-5.0|1.0|-0.15999999999999992
clay|Michalski D.|POL|Right-Handed|Kielan S.|POL|Right-Handed|0.0|3.0|-224.0|-2.0|-8.0|3.0|-6.640000000000001
clay|Roncalli S.|ITA|Right-Handed|Arnaldi M.|ITA|Right-Handed|1.0||404.0|-6.0|-10.0|5.0|2.42
hard|Bernard J.|ITA|Right-Handed|Daciek P.|ITA|Right-Handed|0.0|-10.0|-224.0|0.0|-3.0|-6.0|-0.16999999999999993
hard|Bradford C.|ITA|Left-Handed|Bernard J.|ITA|Right-Handed|1.0||224.0|-6.0|-7.0|-3.0|4.4799999999999995
clay|Bolla A.|ITA|Right-Handed|Orso A.|ITA|Right-Handed|0.0|4.0|-224.0|0.0|-3.0|3.0|-2.42
clay|Redlicki M.|ITA|Left-Handed|Karlovskiy E.|RUS|Right-Handed|1.0||331.0|1.0|12.0|0.0|1.3100000000000003
clay|Drzewiecki K.|POL|Right-Handed|Gajewski K.|POL|Right-Handed|1.0||224.0|9.0|6.0|-1.0|-0.1299999999999999
clay|Potenza L.|ITA|Right-Handed|Galoppini D.|ITA|Right-Handed|0.0|-4.0|-224.0|11.0|10.0|-5.0|-2.42
clay|Bocchi L.|ITA|Right-Handed|Gigante M.|ITA|Left-Handed|1.0||224.0|-1.0|-5.0|4.0|2.42
clay|Krawczynski K.|POL|Right-Handed|Zielinski J.|POL|Right-Handed|1.0||224.0|-1.0|8.0|0.0|6.640000000000001
clay|Gajewski K.|POL|Right-Handed|Dembek M.|POL|Right-Handed|0.0|1.0|-224.0|-14.0|-11.0|2.0|-6.640000000000001
clay|Grynkowski P.|POL|Right-Handed|Walkow S.|POL|Right-Handed|0.0|1.0|-224.0|8.0|7.0|4.0|0.8599999999999999
hard|Laurent T.|FRA|Right-Handed|Muller A.|FRA|Right-Handed|1.0||474.0|4.0|5.0|-1.0|0.15999999999999992
clay|Grynkowski P.|POL|Right-Handed|Mikula M.|POL|Right-Handed|0.0|5.0|-224.0|0.0|-3.0|8.0|-6.640000000000001
hard|Lopez F.|ESP|Left-Handed|Goffin D.|BEL|Right-Handed|1.0||-1647.0|18.0|8.0|9.0|0.81
clay|Cias P.|POL|Right-Handed|Kulakowski M.|POL|Right-Handed|0.0|10.0|-224.0|-9.0|-10.0|4.0|-6.640000000000001
clay|Noce G.|ITA|Right-Handed|Frinzi M.|ITA|Right-Handed|1.0||224.0|0.0|3.0|3.0|2.42
hard|Popyrin A.|AUS|Right-Handed|Moutet C.|FRA|Left-Handed|1.0||-157.0|10.0|21.0|0.0|-0.40000000000000013
clay|Ricca G.|ITA|Right-Handed|Picchione A.|ITA|Right-Handed|0.0|5.0|-224.0|0.0|-3.0|3.0|-2.42
clay|Coric B.|HRV|Right-Handed|Krstin P.|SRB|Right-Handed|0.0|0.0|1050.0|5.0|5.0|-2.0|-5.12
clay|Boyer D.|ITA|Right-Handed|Redlicki M.|ITA|Left-Handed|1.0||224.0|-12.0|-13.0|2.0|0.81
clay|Cilic M.|HRV|Right-Handed|Petrovic D.|SRB|Right-Handed|1.0||897.0|3.0|-5.0|3.0|-2.09
clay|Crepaldi E.|ITA|Left-Handed|D'Agostino S.|ITA|Right-Handed|0.0|12.0|-224.0|-27.0|-22.0|14.0|-2.42
clay|Karlovskiy E.|RUS|Right-Handed|Redlicki M.|ITA|Left-Handed|0.0|1.0|-331.0|-1.0|-12.0|0.0|-1.3100000000000003
hard|Bernard J.|ITA|Right-Handed|Bradford C.|ITA|Left-Handed|0.0|-2.0|-224.0|6.0|7.0|3.0|-4.4799999999999995
hard|Thiem D.|AUT|Right-Handed|Tsitsipas S.|GRC|Right-Handed|0.0|3.0|2300.0|-10.0|-8.0|5.0|0.6599999999999999
hard|Paire B.|FRA|Right-Handed|Berrettini M.|ITA|Right-Handed|1.0||-1132.0|-15.0|0.0|7.0|0.79
clay|Picchione A.|ITA|Right-Handed|Ricca G.|ITA|Right-Handed|1.0||224.0|0.0|3.0|-3.0|2.42
clay|Draxl L.|CAN|Right-Handed|Gold H.|ITA|Right-Handed|0.0|2.0|-224.0|0.0|-3.0|-1.0|-11.65
clay|Marek W.|POL|Right-Handed|Kolasinski F.|POL|Right-Handed|1.0||224.0|2.0|8.0|0.0|-1.1800000000000002
clay|Pieczkowski O.|POL|Right-Handed|Rajski M.|POL|Right-Handed|1.0||224.0|-1.0|-5.0|-13.0|6.640000000000001
clay|Kirchheimer S.|ITA|Right-Handed|El Mihdawy A.|ITA|Right-Handed|0.0|-8.0|-224.0|0.0|-3.0|-6.0|-2.6500000000000004
clay|Bronka A.|AUS|Right-Handed|Pieczkowski O.|POL|Right-Handed|1.0||224.0|0.0|3.0|4.0|1.78
