Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Misasi G.|ITA|Right-Handed|5.15|Kivattsev K.|RUS|Right-Handed|1.12|1.0||23.5|-3.0|-10.0|-3.0|4.03
hard|De Almeida G.|BRA|Right-Handed|1.5|Torrealba B.|CHL|Right-Handed|2.42|0.0|0.0|-23.5|2.0|5.0|-1.0|-0.9199999999999999
hard|Koistila larsson K.|SWE|Right-Handed|4.39|Oetzbach A.|DEU|Right-Handed|1.16|1.0||23.5|-3.0|-2.0|-1.0|3.2299999999999995
hard|Frydrych V.|ITA|Left-Handed|3.15|Elsayed A.|EGY|Right-Handed|1.31|1.0||23.5|-2.0|-5.0|-1.0|1.8399999999999999
clay|Mena F.|ARG|Right-Handed|1.38|Ambrogi L.|ARG|Right-Handed|2.81|1.0||44.0|-1.0|-5.0|11.0|-1.4300000000000002
hard|Ouakaa A.|TUN|Right-Handed|1.32|Alujas R.|MEX|Right-Handed|3.1|1.0||23.5|-2.0|-5.0|3.0|-1.78
hard|Ejupovic E.|DEU|Right-Handed|2.75|Erhard M.|FRA|Right-Handed|1.39|1.0||23.5|10.0|5.0|9.0|1.36
hard|Schiessl J.|BRA|Left-Handed|1.11|Coman M.|ROU|Right-Handed|5.38|0.0|-2.0|-23.5|2.0|5.0|1.0|-4.27
hard|Nijboer R.|NLD|Right-Handed|1.7|Heller P.|DEU|Right-Handed|2.02|0.0|-8.0|-23.5|1.0|-5.0|-7.0|-0.32000000000000006
hard|De Jonge D.|NLD|Right-Handed|1.61|Cias P.|POL|Right-Handed|2.16|0.0|-5.0|-23.5|9.0|10.0|-5.0|-0.55
hard|Latinovic S.|SRB|Right-Handed|1.02|Radojicic A.|SRB|Right-Handed|10.84|0.0|6.0|-23.5|2.0|5.0|4.0|-9.82
hard|Lopez Morillo I.|ESP|Right-Handed|2.76|Giustino L.|ITA|Right-Handed|1.39|1.0||82.5|-6.0|3.0|-8.0|1.3699999999999999
hard|Michalski D.|POL|Right-Handed|1.27|Oradini G.|ITA|Left-Handed|3.39|0.0|-5.0|-23.5|0.0|-3.0|-2.0|-2.12
hard|Sanchez Jover C.|ESP|Left-Handed|1.68|Brunold M.|CHE|Right-Handed|2.05|0.0|5.0|-23.5|2.0|5.0|5.0|-0.3699999999999999
hard|Giustino L.|ITA|Right-Handed|1.39|Lopez Morillo I.|ESP|Right-Handed|2.76|0.0|10.0|-82.5|6.0|-3.0|8.0|-1.3699999999999999
hard|Snitari I.|ITA|Right-Handed|1.41|Chepelev A.|RUS|Left-Handed|2.67|0.0|-5.0|-23.5|2.0|5.0|-4.0|-1.26
hard|Fellin P.|ITA|Right-Handed|1.51|Zhu M.|ITA|Right-Handed|2.36|1.0||23.5|0.0|8.0|-9.0|-0.8499999999999999
hard|Krapivin M.|RUS|Right-Handed|6.58|Compagnucci T.|ITA|Right-Handed|1.07|1.0||23.5|-2.0|-5.0|0.0|5.51
hard|Hnidets V.|UKR|Right-Handed|2.31|Visker N.|NLD|Right-Handed|9.1|1.0||23.5|-2.0|-5.0|2.0|-6.789999999999999
hard|Wiskandt M.|DEU|Right-Handed|1.16|Kaukovalta P.|FIN|Right-Handed|4.47|0.0|-5.0|-23.5|2.0|5.0|-3.0|-3.3099999999999996
hard|Cerny M.|CZE|Right-Handed|2.59|Donders D.|NLD|Left-Handed|1.43|0.0|-2.0|-23.5|2.0|5.0|-2.0|1.16
hard|Svrcina D.|CZE|Right-Handed|1.1|Leong M.|MYS|Right-Handed|6.54|0.0|5.0|-92.5|-9.0|-5.0|1.0|-5.4399999999999995
hard|Shah A.|IND|Right-Handed|1.17|Perez B.|VEN|Left-Handed|4.38|1.0||23.5|-6.0|-8.0|-6.0|-3.21
Varioussurfaces|Egea F.|ARG|Right-Handed|1.04|Grippo V.|ARG|Right-Handed|9.0|0.0|11.0|-23.5|2.0|5.0|1.0|-7.96
