Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Young S.|AUS|Right-Handed|5.2|Falck R.|NZL|Right-Handed|1.11|1.0||43.0|2.0|0.0|3.0|4.09
clay|Feldbausch K.|CHE|Right-Handed|2.19|Choinski J.|ITA|Right-Handed|1.62|1.0||-134.0|-3.0|-13.0|-10.0|0.5699999999999998
clay|Tudorica A.|CAN|Right-Handed|1.2|Tonejc V.|HRV|Right-Handed|3.95|0.0|4.0|-43.0|-2.0|0.0|-3.0|-2.75
clay|Guercio L.|ARG|Left-Handed|4.17|Rodrigues P.|BRA|Right-Handed|1.15|1.0||43.0|2.0|0.0|0.0|3.02
hard|Michnev P.|CZE|Right-Handed|1.63|Recek D.|CZE|Right-Handed|2.05|1.0||43.0|7.0|5.0|6.0|-0.41999999999999993
hard|Dumitru M.|AUS|Right-Handed|2.67|Joyce J.|AUS|Right-Handed|1.39|0.0|8.0|-43.0|-4.0|-3.0|10.0|1.28
hard|Babinciuc I.|ITA|Right-Handed|7.5|Cizek J.|CZE|Right-Handed|1.03|1.0||43.0|2.0|0.0|19.0|6.47
hard|Lazaro Juncadella M.|ESP|Right-Handed|1.3|Arce Fernandez M.|ESP|Right-Handed|3.0|1.0||43.0|2.0|0.0|-4.0|-1.7
hard|You D.|CHN|Right-Handed|6.1|Sim S.|KOR|Right-Handed|1.08|1.0||43.0|2.0|0.0|-7.0|5.02
hard|Joyce J.|AUS|Right-Handed|1.39|Dumitru M.|AUS|Right-Handed|2.67|1.0||43.0|4.0|3.0|-10.0|-1.28
clay|Okamura I.|JPN|Right-Handed|4.08|Vithoontien L.|JPN|Left-Handed|1.19|1.0||43.0|-7.0|-13.0|7.0|2.89
hard|Baranec D.|SVK|Right-Handed|1.84|Cizek J.|CZE|Right-Handed|1.81|1.0||43.0|2.0|0.0|4.0|0.030000000000000027
clay|Pedrico Kravtsov A.|ESP|Right-Handed|1.06|Fita Juan S.|ESP|Right-Handed|7.27|0.0|0.0|-43.0|-2.0|0.0|-4.0|-6.209999999999999
hard|Ashjari P.|IRN|Right-Handed|7.5|Shirokyi D.|UKR|Right-Handed|1.03|1.0||43.0|2.0|0.0|5.0|6.47
clay|Vithoontien L.|JPN|Left-Handed|1.19|Okamura I.|JPN|Right-Handed|4.08|0.0|-10.0|-43.0|7.0|13.0|-7.0|-2.89
clay|Rodrigues P.|BRA|Right-Handed|1.15|Guercio L.|ARG|Left-Handed|4.17|0.0|0.0|-43.0|-2.0|0.0|0.0|-3.02
clay|Iamachkine P.|PER|Right-Handed|5.79|Gonzalez Fernandez M.|ESP|Right-Handed|1.1|1.0||43.0|2.0|0.0|6.0|4.6899999999999995
clay|Burruchaga R.|ARG|Right-Handed|1.06|Gomez J.|COL|Right-Handed|9.03|0.0|-11.0|-43.0|-2.0|0.0|-10.0|-7.969999999999999
clay|Toffanin N.|ITA|Right-Handed|1.26|Dolce G.|ITA|Right-Handed|3.46|0.0|0.0|-43.0|-2.0|0.0|-1.0|-2.2
clay|Uta D.|ROU|Right-Handed|6.39|Bartakovics M.|HUN|Right-Handed|1.08|1.0||43.0|2.0|0.0|-9.0|5.31
hard|Schifris J.|DEU|Left-Handed|1.81|Liszka M.|HUN|Right-Handed|1.84|0.0|6.0|-43.0|-2.0|0.0|3.0|-0.030000000000000027
clay|Park S.|KOR|Right-Handed|2.62|Yamanaka T.|JPN|Right-Handed|1.42|1.0||43.0|2.0|0.0|-4.0|1.2000000000000002
hard|Cizek J.|CZE|Right-Handed|1.03|Babinciuc I.|ITA|Right-Handed|7.5|0.0|-19.0|-43.0|-2.0|0.0|-19.0|-6.47
Varioussurfaces|Ena A.|ITA|Right-Handed|3.4|Bulte A.|AUS|Right-Handed|1.3|1.0||43.0|2.0|0.0|1.0|2.0999999999999996
clay|Gomez J.|COL|Right-Handed|9.03|Burruchaga R.|ARG|Right-Handed|1.06|1.0||43.0|2.0|0.0|10.0|7.969999999999999
hard|Bellegy A.|FRA|Right-Handed|2.64|Roddick J.|ITA|Right-Handed|1.46|1.0||43.0|2.0|0.0|1.0|1.1800000000000002
clay|Weber A.|FRA|Left-Handed|1.19|Genier T.|CHE|Right-Handed|4.11|0.0|1.0|-43.0|-2.0|0.0|6.0|-2.9200000000000004
clay|Cigarran T.|ARG|Right-Handed|6.7|Klier Junior G.|BRA|Right-Handed|1.08|0.0|-2.0|-43.0|-2.0|0.0|0.0|5.62
Varioussurfaces|Markov V.|BGR|Right-Handed|1.67|Dous Karpenschif J.|FRA|Right-Handed|2.1|0.0|-2.0|-43.0|-2.0|0.0|-4.0|-0.43000000000000016
clay|Martin Tiffon P.|ESP|Right-Handed|2.12|Maestrelli F.|ITA|Right-Handed|1.66|0.0|1.0|-67.0|-4.0|0.0|4.0|0.4600000000000002
clay|Schwaerzler J.|AUT|Left-Handed|2.67|Taberner C.|ESP|Right-Handed|1.43|1.0||-50.0|-1.0|0.0|-9.0|1.24
clay|Fita Juan S.|ESP|Right-Handed|7.27|Pedrico Kravtsov A.|ESP|Right-Handed|1.06|1.0||43.0|2.0|0.0|4.0|6.209999999999999
clay|Ambrogi L.|ARG|Right-Handed|1.36|Leite W.|BRA|Right-Handed|2.95|0.0|-11.0|-43.0|3.0|5.0|-12.0|-1.59
hard|Singh J.|IND|Left-Handed|2.05|Makzoume Y.|SYR|Right-Handed|1.63|0.0|0.0|-43.0|-2.0|0.0|-1.0|0.41999999999999993
clay|Hess S.|ARG|Right-Handed|1.59|Yamacita F.|BRA|Right-Handed|2.2|1.0||43.0|-1.0|-2.0|-3.0|-0.6100000000000001
hard|Bowers T.|ITA|Right-Handed|2.64|Vasquez Gehrke A.|DEU|Right-Handed|1.46|1.0||43.0|2.0|0.0|-1.0|1.1800000000000002
Varioussurfaces|Schiessl E.|DEU|Right-Handed|2.5|Ahouda W.|MAR|Right-Handed|1.5|0.0|-3.0|-43.0|-2.0|0.0|0.0|1.0
hard|Takada M.|JPN|Right-Handed|1.27|Goldsteiner P.|AUT|Right-Handed|3.28|1.0||43.0|12.0|10.0|-7.0|-2.01
hard|Bai Y.|CHN|Right-Handed|3.37|Shimabukuro S.|JPN|Right-Handed|1.31|0.0|9.0|-152.0|5.0|2.0|8.0|2.06
clay|Bonsach Ganley K.|DNK|Right-Handed|2.94|Perez Contri S.|ESP|Left-Handed|1.35|1.0||43.0|2.0|0.0|-7.0|1.5899999999999999
