Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|McLennaghan W.|ARG|Right-Handed|Lalami Laaroussi Y.|MAR|Right-Handed|1.0||251.0|0.5|-3.0|-1.0|6.47
Varioussurfaces|Vola T.|ITA|Right-Handed|Javia D.|IND|Right-Handed|0.0|-1.0|-70.0|-0.5|3.0|-1.0|-6.48
Varioussurfaces|Pecak S.|CZE|Right-Handed|Schmitz F.|ITA|Right-Handed|0.0|5.0|-70.0|-0.5|3.0|2.0|-2.7600000000000002
Varioussurfaces|Qabazard E.|KWT|Right-Handed|Gillam K.|ARG|Right-Handed|0.0|6.0|-70.0|-0.5|3.0|-5.0|-2.18
hard|Liaonenka A.|BLR|Right-Handed|Bai Y.|CHN|Right-Handed|1.0||49.0|-3.5|-5.0|-10.0|1.27
Varioussurfaces|De Rosa M.|ITA|Right-Handed|Betuker R.|ROU|Left-Handed|0.0|-4.0|-70.0|-0.5|3.0|-4.0|0.0
clay|Fuele M.|HUN|Right-Handed|Agarwal R.|IND|Right-Handed|0.0|-2.0|-70.0|3.0|8.0|-3.0|-1.88
Varioussurfaces|Wang S.|HKG|Right-Handed|Susanto A.|IDN|Right-Handed|1.0||70.0|0.5|-3.0|-8.0|2.2800000000000002
Varioussurfaces|Rodriguez A.|ARG|Right-Handed|Pagnacco F.|ARG|Right-Handed|1.0||70.0|0.5|-3.0|3.0|2.7600000000000002
Varioussurfaces|Davila Godoy S.|ESP|Right-Handed|Simao M.|PRT|Right-Handed|0.0|0.0|-70.0|-0.5|3.0|2.0|-6.73
clay|Agarwal R.|IND|Right-Handed|Fuele M.|HUN|Right-Handed|1.0||70.0|-3.0|-8.0|3.0|1.88
Varioussurfaces|Cislo M.|POL|Right-Handed|Mortasifu M.|ROU|Right-Handed|0.0|1.0|-70.0|-0.5|3.0|2.0|-6.47
Varioussurfaces|Phunsawat C.|THA|Right-Handed|Pearson K.|AUS|Right-Handed|1.0||70.0|16.5|0.0|-1.0|6.48
Varioussurfaces|Pishchelev E.|RUS|Right-Handed|Maric M.|FRA|Right-Handed|1.0||70.0|0.5|-3.0|-1.0|-5.45
Varioussurfaces|Mastalka P.|CZE|Right-Handed|Gula P.|SVK|Right-Handed|1.0||70.0|0.5|-3.0|-1.0|-6.98
Varioussurfaces|Bara F.|ROU|Right-Handed|Guta D.|ROU|Right-Handed|0.0|2.0|-70.0|-0.5|3.0|1.0|5.45
Varioussurfaces|Valsecchi P.|FRA|Left-Handed|Todorovic L.|SRB|Right-Handed|0.0|4.0|-70.0|-0.5|3.0|5.0|-3.04
Varioussurfaces|Sada I.|ITA|Right-Handed|Ricca G.|ITA|Right-Handed|1.0||70.0|0.5|-3.0|-3.0|-5.45
Varioussurfaces|Luis T.|PRT|Right-Handed|Roi S.|FRA|Right-Handed|0.0|6.0|-70.0|-0.5|3.0|2.0|-1.6999999999999997
Varioussurfaces|Rohseano L.|AUT|Right-Handed|Hyte C.|ARG|Right-Handed|0.0|3.0|-70.0|-0.5|3.0|-1.0|2.18
Varioussurfaces|Gervail G.|FRA|Right-Handed|Venturini C.|CHE|Right-Handed|1.0||70.0|0.5|-3.0|11.0|2.18
Varioussurfaces|Yukawa Y.|JPN|Right-Handed|Nejedly B.|ARG|Right-Handed|0.0|0.0|-70.0|-0.5|3.0|5.0|-2.2800000000000002
Varioussurfaces|Bruna N.|CHL|Right-Handed|Ciavarella N.|ITA|Right-Handed|0.0|7.0|-70.0|-0.5|3.0|5.0|5.45
